
[00:00:00.000 --> 00:00:15.340]   ♪ ♪
[00:00:15.340 --> 00:00:20.520]   ♪ I will glory in my Redeemer, ♪
[00:00:20.520 --> 00:00:26.220]   ♪ who carries me on eagle's wings. ♪
[00:00:26.220 --> 00:00:32.900]   ♪ He crowns my life with loving kindness, ♪
[00:00:32.900 --> 00:00:38.100]   ♪ His triumph song I'll ever sing. ♪
[00:00:38.100 --> 00:00:43.440]   ♪ I will glory in my Redeemer, ♪
[00:00:43.440 --> 00:00:49.080]   ♪ who waits for me at gates of gold. ♪
[00:00:49.080 --> 00:00:52.100]   ♪ And when he calls me ♪
[00:00:52.100 --> 00:00:56.720]   ♪ It will be paradise ♪
[00:00:56.720 --> 00:01:01.720]   ♪ His face forever to behold ♪
[00:01:01.720 --> 00:01:07.420]   ♪ His face forever to behold ♪
[00:01:07.420 --> 00:01:12.100]   ♪ His face forever to behold ♪
[00:01:12.100 --> 00:01:14.680]   (gentle music)
[00:01:14.680 --> 00:01:17.260]   (gentle music)
[00:01:17.260 --> 00:01:33.820]   (gentle music)
[00:01:33.820 --> 00:01:36.400]   (gentle music)
[00:01:36.400 --> 00:01:51.140]   ♪ Amazing grace how sweet the sound ♪
[00:01:51.140 --> 00:01:58.340]   ♪ That saved a wretch like me ♪
[00:02:00.920 --> 00:02:05.920]   ♪ I once was lost but now I'm found ♪
[00:02:05.920 --> 00:02:13.600]   ♪ Was blind but now I see ♪
[00:02:13.600 --> 00:02:21.280]   ♪ 'Twas grace that taught my heart to fear ♪
[00:02:21.280 --> 00:02:28.820]   ♪ And grace my fears relieved ♪
[00:02:28.820 --> 00:02:33.820]   ♪ How precious did that grace appear ♪
[00:02:33.820 --> 00:02:41.820]   ♪ The hour I first believed ♪
[00:02:41.820 --> 00:02:47.820]   ♪ My chains are gone ♪
[00:02:47.820 --> 00:02:51.820]   ♪ I've been set free ♪
[00:02:51.820 --> 00:02:56.820]   ♪ My God, my savior has ransomed me ♪
[00:02:56.820 --> 00:03:01.820]   ♪ And like a flood his mercy reigns ♪
[00:03:01.820 --> 00:03:08.820]   ♪ Unending love, amazing grace ♪
[00:03:08.820 --> 00:03:15.400]   (gentle music)
[00:03:16.400 --> 00:03:18.980]   (gentle music)
[00:03:18.980 --> 00:03:33.400]   ♪ The Lord has promised good to me ♪
[00:03:33.400 --> 00:03:41.400]   ♪ His word my hope secures ♪
[00:03:43.400 --> 00:03:48.400]   ♪ He will my shield and push me ♪
[00:03:48.400 --> 00:03:56.400]   ♪ As long as life endures ♪
[00:03:56.400 --> 00:04:01.400]   ♪ My chains are gone ♪
[00:04:01.400 --> 00:04:05.400]   ♪ I've been set free ♪
[00:04:05.400 --> 00:04:10.400]   ♪ My God, my savior has ransomed me ♪
[00:04:12.400 --> 00:04:17.400]   ♪ And like a flood his mercy reigns ♪
[00:04:17.400 --> 00:04:25.400]   ♪ Unending love, amazing grace ♪
[00:04:25.400 --> 00:04:31.400]   ♪ My chains are gone ♪
[00:04:31.400 --> 00:04:35.400]   ♪ I've been set free ♪
[00:04:35.400 --> 00:04:40.400]   ♪ My God, my savior has ransomed me ♪
[00:04:41.400 --> 00:04:46.400]   ♪ And like a flood his mercy reigns ♪
[00:04:46.400 --> 00:04:52.400]   ♪ Unending love, amazing grace ♪
[00:04:52.400 --> 00:05:03.400]   ♪ The earth shall soon dissolve like snow ♪
[00:05:06.400 --> 00:05:11.400]   ♪ The sun forbear to shine ♪
