
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:12.320 --> 00:00:16.400]   (audience chattering continues)
[00:00:16.400 --> 00:00:20.480]   (audience chattering continues)
[00:00:20.480 --> 00:00:24.560]   (audience chattering continues)
[00:00:24.560 --> 00:00:28.640]   (audience chattering continues)
[00:00:28.640 --> 00:00:32.720]   (audience chattering continues)
[00:00:32.720 --> 00:00:36.800]   (audience chattering continues)
[00:00:36.800 --> 00:00:40.880]   (audience chattering continues)
[00:00:40.880 --> 00:00:44.960]   (audience chattering continues)
[00:00:45.120 --> 00:00:49.200]   (audience chattering continues)
[00:00:49.200 --> 00:00:53.200]   (audience chattering continues)
[00:00:53.200 --> 00:00:57.200]   (audience chattering continues)
[00:00:57.760 --> 00:01:01.840]   (audience chattering continues)
[00:01:01.840 --> 00:01:05.840]   (audience chattering continues)
[00:01:05.840 --> 00:01:09.840]   (audience chattering continues)
[00:01:09.840 --> 00:01:13.840]   (audience chattering continues)
[00:01:13.840 --> 00:01:17.840]   (audience chattering continues)
[00:01:17.840 --> 00:01:21.840]   (audience chattering continues)
[00:01:21.840 --> 00:01:25.840]   (audience chattering continues)
[00:01:25.840 --> 00:01:29.840]   (audience chattering continues)
[00:01:29.840 --> 00:01:33.840]   (audience chattering continues)
[00:01:34.840 --> 00:01:38.840]   (audience chattering continues)
[00:01:38.840 --> 00:01:42.760]   (audience chattering continues)
[00:01:42.760 --> 00:01:46.760]   (audience chattering continues)
[00:01:46.760 --> 00:01:50.760]   (audience chattering continues)
[00:01:50.760 --> 00:01:54.760]   (audience chattering continues)
[00:01:54.760 --> 00:01:58.760]   (audience chattering continues)
[00:01:58.760 --> 00:02:02.760]   (audience chattering continues)
[00:02:02.760 --> 00:02:06.760]   (audience chattering continues)
[00:02:06.760 --> 00:02:10.760]   (audience chattering continues)
[00:02:10.760 --> 00:02:14.760]   (audience chattering continues)
[00:02:14.760 --> 00:02:18.760]   (audience chattering continues)
[00:02:18.760 --> 00:02:22.760]   (audience chattering continues)
[00:02:22.760 --> 00:02:26.760]   (audience chattering continues)
[00:02:26.760 --> 00:02:30.760]   (audience chattering continues)
[00:02:30.760 --> 00:02:34.760]   (audience chattering continues)
[00:02:34.760 --> 00:02:38.760]   (audience chattering continues)
[00:02:39.760 --> 00:02:43.760]   (audience chattering continues)
[00:02:44.760 --> 00:02:48.760]   (audience chattering continues)
[00:02:48.760 --> 00:02:52.760]   (audience chattering continues)
[00:02:53.760 --> 00:02:57.760]   (audience chattering continues)
[00:02:57.760 --> 00:03:14.760]   (audience chattering continues)
[00:03:14.760 --> 00:03:18.760]   (audience chattering continues)
[00:03:18.760 --> 00:03:33.760]   (audience chattering continues)
[00:03:34.760 --> 00:03:38.760]   (audience chattering continues)
[00:03:38.760 --> 00:03:50.760]   (audience chattering continues)
[00:03:50.760 --> 00:03:54.760]   (audience chattering continues)
[00:03:54.760 --> 00:04:02.760]   (audience chattering continues)
[00:04:02.760 --> 00:04:12.760]   (audience chattering continues)
[00:04:15.760 --> 00:04:19.760]   (audience chattering continues)
[00:04:19.760 --> 00:04:30.760]   (audience chattering continues)
[00:04:31.760 --> 00:04:35.760]   (audience chattering continues)
[00:04:35.760 --> 00:04:48.760]   (audience chattering continues)
[00:04:49.760 --> 00:04:53.760]   (audience chattering continues)
[00:04:53.760 --> 00:05:06.760]   (audience chattering continues)
[00:05:06.760 --> 00:05:10.760]   (audience chattering continues)
[00:05:10.760 --> 00:05:26.760]   (audience chattering continues)
[00:05:26.760 --> 00:05:30.760]   (audience chattering continues)
[00:05:30.760 --> 00:05:40.760]   (audience chattering continues)
[00:05:40.760 --> 00:05:50.760]   (audience chattering continues)
[00:05:50.760 --> 00:05:54.760]   (audience chattering continues)
