
[00:00:00.000 --> 00:00:04.560]   [music]
[00:00:04.560 --> 00:00:09.640]   We close the week on this Friday, looking forward to our next sermons, Sunday morning.
[00:00:09.640 --> 00:00:15.280]   This is because in just about every Bible text we face unanswerable questions, things
[00:00:15.280 --> 00:00:17.060]   we simply don't know.
[00:00:17.060 --> 00:00:19.960]   So what do preachers and teachers do with those uncertainties?
[00:00:19.960 --> 00:00:22.520]   Do we take creative license?
[00:00:22.520 --> 00:00:24.800]   Do we guess and make things up?
[00:00:24.800 --> 00:00:26.360]   Do we speculate?
[00:00:26.360 --> 00:00:28.800]   Or do we just tell people what we don't know?
[00:00:28.800 --> 00:00:33.080]   It's a great practical question from Mark who lives in Montana.
[00:00:33.080 --> 00:00:34.200]   Dear Pastor John, hello.
[00:00:34.200 --> 00:00:39.840]   Jesus tells us in John 12, 49, "I have not spoken on my own authority, but the Father
[00:00:39.840 --> 00:00:47.080]   who sent me has himself given me a commandment, what to say and what to speak."
[00:00:47.080 --> 00:00:50.400]   And we trust that all scripture is breathed out by God.
[00:00:50.400 --> 00:00:52.880]   That's 2 Timothy 3, 16.
[00:00:52.880 --> 00:00:58.760]   So I have long struggled with how much embellishment and speculation we should bring into the pulpit.
[00:00:58.760 --> 00:01:03.600]   Scripture does not include every possible detail for us, and the Church throughout the
[00:01:03.600 --> 00:01:08.720]   ages has in many cases tried to fill in those gaps.
[00:01:08.720 --> 00:01:13.280]   Commentaries frequently say things like, "this may refer to," or they use qualifiers like
[00:01:13.280 --> 00:01:17.840]   "possibly" and "probably" to explain meanings that are uncertain.
[00:01:17.840 --> 00:01:19.720]   So here's my question.
[00:01:19.720 --> 00:01:25.960]   Is it okay for teachers and preachers to conjecture about what the Bible doesn't say?
[00:01:25.960 --> 00:01:30.920]   How much speculation should we bring into our sermons?
[00:01:30.920 --> 00:01:34.200]   Well, let's start with the easy part.
[00:01:34.200 --> 00:01:42.120]   A pastor, a preacher, above all things, should be honest.
[00:01:42.120 --> 00:01:49.560]   If he's not honest, none of his other qualities, not even his faith or his love, will count
[00:01:49.560 --> 00:01:55.040]   for anything, because the people simply won't be able to trust him.
