
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:06.360]   - APJ listeners, hello.
[00:00:06.360 --> 00:00:08.140]   Welcome to this special episode,
[00:00:08.140 --> 00:00:11.220]   an update from Pastor John's life and ministry,
[00:00:11.220 --> 00:00:13.640]   and a little summary of all our labors
[00:00:13.640 --> 00:00:15.680]   at DesiringGod.org.
[00:00:15.680 --> 00:00:17.880]   As some of you know, our ministry year runs
[00:00:17.880 --> 00:00:20.160]   July 1st to June 30th.
[00:00:20.160 --> 00:00:22.600]   So we close out fiscal year 2020
[00:00:22.600 --> 00:00:25.980]   and enter into fiscal year 2021 in just a few days.
[00:00:25.980 --> 00:00:29.280]   And of course, we are fully supported by God's people.
[00:00:29.280 --> 00:00:31.140]   Listeners like you.
[00:00:31.140 --> 00:00:33.240]   So this episode is also a big thank you
[00:00:33.240 --> 00:00:34.660]   to all of our partners,
[00:00:34.660 --> 00:00:36.560]   and we'd love for more of you to join us.
[00:00:36.560 --> 00:00:40.100]   And I'll explain how in just a little bit.
[00:00:40.100 --> 00:00:42.500]   It's been an incredible year for this podcast
[00:00:42.500 --> 00:00:44.800]   as we near episode 1500.
[00:00:44.800 --> 00:00:45.940]   That's unreal to me.
[00:00:45.940 --> 00:00:49.460]   That episode, episode 1500 should drop in mid-July.
[00:00:49.460 --> 00:00:51.140]   And when it does, we will take some time
[00:00:51.140 --> 00:00:53.600]   to talk more about APJ and to explore
[00:00:53.600 --> 00:00:55.560]   some of the productivity takeaways
[00:00:55.560 --> 00:00:57.260]   of Pastor John's ministry
[00:00:57.260 --> 00:01:00.780]   as we approach the eighth anniversary
[00:01:00.780 --> 00:01:02.740]   of Ask Pastor John.
[00:01:02.740 --> 00:01:03.620]   Wow.
[00:01:03.620 --> 00:01:06.580]   More broadly, when you look at all the resources
[00:01:06.580 --> 00:01:09.340]   at DesiringGod.org, the books, the articles,
[00:01:09.340 --> 00:01:11.920]   the podcasts, the look at the book videos,
[00:01:11.920 --> 00:01:14.280]   when you combine the reach of them all,
[00:01:14.280 --> 00:01:17.900]   we've seen about 200 million resource views
[00:01:17.900 --> 00:01:20.980]   across all of our platforms this fiscal year.
[00:01:20.980 --> 00:01:23.540]   Those numbers are staggering as well.
[00:01:23.540 --> 00:01:24.800]   And of course, most recently,
[00:01:24.800 --> 00:01:27.220]   the Coronavirus and Christ book has seen
[00:01:27.220 --> 00:01:30.260]   over a million downloads globally
[00:01:30.260 --> 00:01:32.260]   and is being made freely available
[00:01:32.260 --> 00:01:35.860]   in almost 30 different languages now.
[00:01:35.860 --> 00:01:39.100]   It's been a crazy spring for everyone,
[00:01:39.100 --> 00:01:41.580]   but here in this transition as we close off one year
[00:01:41.580 --> 00:01:44.340]   and look ahead to the next year ahead,
[00:01:44.340 --> 00:01:46.520]   I wanted to take a moment to ask you, Pastor John,
[00:01:46.520 --> 00:01:48.340]   about our past year.
[00:01:48.340 --> 00:01:50.460]   But first, I would love a personal update.
[00:01:50.460 --> 00:01:54.060]   What has life been like for you during this pandemic
[00:01:54.060 --> 00:01:56.280]   and now, especially with the protests
[00:01:56.280 --> 00:01:59.020]   and the riots happening just within blocks
[00:01:59.020 --> 00:02:00.500]   of your home in Minneapolis?
[00:02:00.500 --> 00:02:01.340]   Right.
[00:02:01.340 --> 00:02:05.260]   Well, the most important thing to say
[00:02:05.260 --> 00:02:07.860]   about what has happened here in Minneapolis
[00:02:07.860 --> 00:02:10.400]   in the last week, and I know this is being played
[00:02:10.400 --> 00:02:12.380]   a couple of weeks later than we're recording it,
[00:02:12.380 --> 00:02:14.560]   in the last week, that is about a week
[00:02:14.560 --> 00:02:18.180]   since the death of George Floyd,
[00:02:18.180 --> 00:02:21.660]   the most important thing to say, I believe,
[00:02:21.660 --> 00:02:26.540]   is that the authority and holiness of God
[00:02:26.540 --> 00:02:30.460]   was defied by a policeman who put his knee
[00:02:30.460 --> 00:02:34.180]   on a man's neck for seven minutes until he died,
[00:02:34.180 --> 00:02:37.100]   ignoring all legitimate pleas
[00:02:37.100 --> 00:02:41.700]   that he was sufficiently subdued and dying.
[00:02:41.700 --> 00:02:46.700]   That's the main reality of this moment here in Minneapolis.
[00:02:46.700 --> 00:02:50.220]   And of course, the burning and the looting
[00:02:50.220 --> 00:02:53.400]   of hundreds of businesses about a mile from my house,
[00:02:53.400 --> 00:02:57.860]   down on Lake Street, is also defiance
[00:02:57.860 --> 00:03:01.620]   against the authority and the holiness of God.
[00:03:01.620 --> 00:03:05.860]   And as I've been pondering these things,
[00:03:05.860 --> 00:03:08.900]   my thoughts about the wars on the streets
[00:03:08.900 --> 00:03:11.240]   and the hundreds of fires and the looting
[00:03:11.240 --> 00:03:15.860]   and the coronavirus, what presses in on me
[00:03:15.860 --> 00:03:19.160]   is that there's a war beneath the wars
[00:03:19.160 --> 00:03:21.740]   and there's a looting beneath the looting
[00:03:21.740 --> 00:03:24.060]   and there's a virus beneath the virus.
[00:03:24.060 --> 00:03:25.220]   Everything is deeper.
[00:03:25.220 --> 00:03:27.740]   Nothing is merely what you see.
[00:03:27.740 --> 00:03:32.500]   James asks, "What causes wars and fightings among you?
[00:03:32.500 --> 00:03:37.500]   Is it not that your passions are at war within you?
[00:03:37.500 --> 00:03:41.740]   You desire and do not have, so you murder."
[00:03:41.740 --> 00:03:45.740]   In other words, beneath the wars of knees on necks
[00:03:45.740 --> 00:03:50.740]   and wars of reprisal in the war of looting,
[00:03:50.740 --> 00:03:56.400]   there's a war of soul going on with murderous effects
[00:03:56.400 --> 00:04:00.840]   of unsatisfied desires, James 4.1.
[00:04:00.840 --> 00:04:03.760]   And underneath the looting, there's another looting,
[00:04:03.760 --> 00:04:04.840]   the looting of heaven.
[00:04:04.840 --> 00:04:08.680]   We have stolen God's honor, robbed him of glory
[00:04:08.680 --> 00:04:11.000]   10,000 times.
[00:04:11.000 --> 00:04:14.240]   And beneath the coronavirus is an unfathomably,
[00:04:14.240 --> 00:04:18.980]   oh, have I been impressed with the power of sin,
[00:04:18.980 --> 00:04:23.980]   unfathomable power and deadly virus of God belittling sin.
[00:04:23.980 --> 00:04:28.480]   It is absolutely resistant to every cure,
[00:04:28.480 --> 00:04:31.440]   but the blood of Jesus.
[00:04:31.440 --> 00:04:34.740]   So that's where my mind has been, Tony, in these days,
[00:04:34.740 --> 00:04:37.540]   the war beneath the war, the looting beneath the looting,
[00:04:37.540 --> 00:04:39.800]   the virus beneath the virus.
[00:04:39.800 --> 00:04:42.660]   And what is our calling?
[00:04:42.660 --> 00:04:46.560]   What is the calling of desiring God?
[00:04:46.560 --> 00:04:49.000]   You might say that the coronavirus has created
[00:04:49.000 --> 00:04:52.540]   the kind of solitude for me,
[00:04:52.540 --> 00:04:57.260]   and the street wars have created the kind of urgency
[00:04:57.260 --> 00:05:02.260]   in my mind and heart that blows away the fog
[00:05:02.260 --> 00:05:06.140]   of worldliness and confusion,
[00:05:06.140 --> 00:05:10.380]   and brings a good deal of clarity to what life is really for,
[00:05:10.380 --> 00:05:15.380]   even 74-year-old John Piper life.
[00:05:15.380 --> 00:05:19.800]   You know, we've had to cancel all our travels
[00:05:19.800 --> 00:05:24.300]   in recent months and indefinitely into the future,
[00:05:24.300 --> 00:05:28.640]   and turn all our regular meetings into Zoom meetings.
[00:05:28.640 --> 00:05:31.520]   But this has been very clarifying for me
[00:05:31.520 --> 00:05:35.880]   because it has confirmed something God was doing,
[00:05:35.880 --> 00:05:40.880]   a stirring in my own heart that focusing on the study
[00:05:40.880 --> 00:05:45.540]   and the teaching of God's word through,
