
[00:00:00.000 --> 00:00:05.000]   [Music]
[00:00:05.000 --> 00:00:09.440]   We're talking about C.S. Lewis again in light of the coming Desiring God National Conference
[00:00:09.440 --> 00:00:13.480]   devoted to Lewis's legacy later this fall.
[00:00:13.480 --> 00:00:18.240]   Pastor John, you met, in a sense, C.S. Lewis in 1964, a year after he died.
[00:00:18.240 --> 00:00:19.280]   How did you meet him?
[00:00:19.280 --> 00:00:22.280]   What were your early thoughts of his works?
[00:00:22.280 --> 00:00:31.000]   As I've tried to ponder Lewis's impact on me, my memory is not good enough to be completely
[00:00:31.000 --> 00:00:34.560]   accurate about this, so let me answer it this way.
[00:00:34.560 --> 00:00:43.320]   From 1964, when I went to Wheaton College as an 18-year-old, to 1968, Wheaton College,
[00:00:43.320 --> 00:00:49.720]   Clyde Kilby, professor of Romantic Literature, the foremost Lewis scholar in America at that
[00:00:49.720 --> 00:00:56.440]   time, and C.S. Lewis in his writings all merge into one big impact.
[00:00:56.440 --> 00:01:01.600]   So it's very hard for me to sort out, was it Lewis, was it Kilby, was it the very atmosphere
[00:01:01.600 --> 00:01:03.200]   of Wheaton?
[00:01:03.200 --> 00:01:12.000]   But here are the pieces that I recall as exploding with significance for me in those four years.
[00:01:12.000 --> 00:01:21.840]   And here are the key words—lucidity, or lucid, logical, illuminating, large-hearted,
[00:01:21.840 --> 00:01:24.240]   joyful longing—all those L's.
[00:01:24.240 --> 00:01:29.280]   And here they are, I'll just give you a nutshell, a little bullet with each one.
[00:01:29.280 --> 00:01:30.880]   Lucid.
[00:01:30.880 --> 00:01:37.160]   Lewis was a man of crystal clarity in his thinking and writing.
[00:01:37.160 --> 00:01:40.600]   Definitions really mattered to Lewis.
[00:01:40.600 --> 00:01:45.720]   What you don't mean matters, so he made clear, "Here's what I don't mean, not just what
[00:01:45.720 --> 00:01:47.040]   I do mean."
[00:01:47.040 --> 00:01:51.080]   People get clear if you hear them say, "I don't mean this, and I do mean this."
[00:01:51.080 --> 00:01:55.760]   If you leave out the "don't," you don't really get what they're saying, usually.
[00:01:55.760 --> 00:02:01.540]   A whole worldview lies behind Lewis's crystal clarity.
[00:02:01.540 --> 00:02:05.320]   He loves to say what he thinks, and he wants you to know what he thinks.
[00:02:05.320 --> 00:02:11.640]   He's not piddling around with fancy efforts at ambiguity to leave you hanging in midair.
[00:02:11.640 --> 00:02:16.160]   He really has views of things, and he wants you to see them, and he's good at it.
[00:02:16.160 --> 00:02:17.960]   And secondly, there's logic.
[00:02:17.960 --> 00:02:21.560]   I was a philosophy minor at Wheaton.
[00:02:21.560 --> 00:02:27.160]   Lewis taught philosophy for at least a year at Oxford before he became professor of medieval
[00:02:27.160 --> 00:02:34.760]   literature, and he was simply brilliant in his relentless exposure of shoddy thinking.
[00:02:34.760 --> 00:02:39.480]   I had a teacher like that, Stuart Hackett at Wheaton, that I just love, because he took
[00:02:39.480 --> 00:02:46.200]   the law of non-contradiction and he applied it so effectively to all the views that vaunted
[00:02:46.200 --> 00:02:49.320]   themselves over Jesus Christ.
[00:02:49.320 --> 00:02:58.320]   Lewis saw holes everywhere in weak arguments, and he was amazingly constructive, not just
[00:02:58.320 --> 00:02:59.320]   destructive.
[00:02:59.320 --> 00:03:03.700]   In other words, when he wrecked somebody's argument, he was building something.
[00:03:03.700 --> 00:03:08.700]   He didn't take pleasure in just putting things down or getting things out of the way.
[00:03:08.700 --> 00:03:19.920]   He was one of the most constructive writers, and so it was this logic that I loved so much.
[00:03:19.920 --> 00:03:31.640]   We find reality—Lewis finds reality in all of its blazing, glorious, dazzling there-ness,
