
[00:00:00.000 --> 00:00:05.000]   [music]
[00:00:05.000 --> 00:00:10.560]   The new book on the Definite Atonement is out from Crossway, titled "From Heaven He
[00:00:10.560 --> 00:00:14.360]   Came and Sought Her." You contributed a chapter to the book, Pastor John, and some
[00:00:14.360 --> 00:00:17.800]   initial reviews are starting to pop up online, and I know you read some of them.
[00:00:17.800 --> 00:00:22.840]   Any initial responses to the book reviews that you've read so far? I've
[00:00:22.840 --> 00:00:29.440]   read some of these interviews, I mean these reviews, Tony, and this morning I
[00:00:29.440 --> 00:00:37.320]   was reading in 1 John a very common verse opposing definite atonement or
[00:00:37.320 --> 00:00:43.800]   limited atonement, and so I thought I'd throw together these two, my thoughts
[00:00:43.800 --> 00:00:51.160]   from my devotions and my response to some of these reviews like this. My main
[00:00:51.160 --> 00:00:54.360]   response is to encourage people, everybody who's listening to this,
[00:00:54.360 --> 00:01:00.720]   anybody who reads the book, reads the Bible, reads the review, whenever you hear
[00:01:00.720 --> 00:01:06.960]   somebody make a comment about the death of Christ, be sure that you ask, "What do
[00:01:06.960 --> 00:01:15.520]   you think that means?" In other words, if somebody says, "Jesus died for all people,"
[00:01:15.520 --> 00:01:23.680]   fine. I'm not going to disagree with that until I ask, "What do you think that
[00:01:23.680 --> 00:01:29.080]   means?" So when you're in an argument or a conversation with somebody about the
[00:01:29.080 --> 00:01:35.840]   extent or the effectiveness of the atonement, don't smash each other
[00:01:35.840 --> 00:01:41.520]   with slogans. It's useless just to keep saying, "He did die for everybody. He
[00:01:41.520 --> 00:01:44.400]   didn't die for everybody. He did die for everybody. He didn't die for everybody." Well that's just
[00:01:44.400 --> 00:01:51.120]   useless. You've got to stop and say, "What do you mean when you say He died for
[00:01:51.120 --> 00:01:55.440]   everybody?" The controversy around this doctrine, it seems to me, perhaps more
[00:01:55.440 --> 00:02:00.960]   than any other, starts spinning its wheels on the ice, getting nowhere,
[00:02:00.960 --> 00:02:06.760]   because people are quoting verses to each other without asking, "Now what do
[00:02:06.760 --> 00:02:13.000]   you think that means?" So for example, I was listening to my father
[00:02:13.000 --> 00:02:18.640]   preach last Sunday. He's been in heaven for six years, and I've got numerous
[00:02:18.640 --> 00:02:23.640]   recordings of his preaching. I love to listen to my dad preach. So he's
[00:02:23.640 --> 00:02:27.200]   preaching a sermon called "The Secrets of Spiritual Power." My wife and I are
[00:02:27.200 --> 00:02:31.520]   listening at a bed-and-breakfast where we were celebrating our 45th wedding
[00:02:31.520 --> 00:02:38.000]   anniversary, and he suddenly stopped and said, "Do you believe Jesus died for
[00:02:38.000 --> 00:02:45.080]   everyone? Aren't you glad Jesus died for everyone?" I just loved it, and we looked
[00:02:45.080 --> 00:02:48.800]   at each other, and well, I looked at each other. The next thing out of his mouth was
[00:02:48.800 --> 00:02:54.920]   this, "For God so loved the world that He gave His only begotten Son that whosoever
[00:02:54.920 --> 00:02:59.680]   believeth in Him should not perish but have Him." So immediately I know exactly
[00:02:59.680 --> 00:03:06.480]   what my father's thinking. He's thinking, "Jesus died for everyone in the sense
