
[00:00:00.000 --> 00:00:05.560]   Yeah, last sermon.
[00:00:05.560 --> 00:00:09.000]   Well, we'll see how things go from here on out.
[00:00:09.000 --> 00:00:12.560]   Yeah, turn with me to Matthew chapter 21.
[00:00:12.560 --> 00:00:19.280]   Again, this is the Lord's Day, and especially in kicking off Palm Sunday, Passion Week,
[00:00:19.280 --> 00:00:23.760]   it would be appropriate for us to just look over the Palm Sunday account.
[00:00:23.760 --> 00:00:29.200]   And so in Matthew chapter 21, verses 1 through 11, that's where we'll be.
[00:00:29.200 --> 00:00:34.280]   And even as I come up here, I know you guys have been at this church for about almost
[00:00:34.280 --> 00:00:35.280]   10 years now.
[00:00:35.280 --> 00:00:40.000]   And every year, there's a Passion Week.
[00:00:40.000 --> 00:00:42.720]   So you read the Palm Sunday account.
[00:00:42.720 --> 00:00:45.720]   You read about Jesus clearing the temple.
[00:00:45.720 --> 00:00:53.840]   And the question that I come to is, how do I make something that I already know new?
[00:00:53.840 --> 00:00:57.560]   Isn't that the struggle that we have when we read the Bible?
[00:00:57.560 --> 00:01:00.880]   We read the same things over and over again in Paul's letters.
[00:01:00.880 --> 00:01:03.120]   And it's like, we've been set free.
[00:01:03.120 --> 00:01:05.240]   It's no longer I who live, but Christ who lives in me.
[00:01:05.240 --> 00:01:10.980]   And you read it, and you're just kind of like, okay, I know that already.
[00:01:10.980 --> 00:01:14.920]   And I remember one thing that Pastor Peter would always remind me, especially when it
[00:01:14.920 --> 00:01:19.840]   comes to scripture, is it's the living Word of God.
[00:01:19.840 --> 00:01:24.100]   It's designed to tell us something new each time we come to it.
[00:01:24.100 --> 00:01:29.720]   And so with this Palm Sunday account, what I'm hoping to accomplish is to have you guys
[00:01:29.720 --> 00:01:34.760]   look at the Palm Sunday account from a new perspective.
[00:01:34.760 --> 00:01:41.240]   Not necessarily my perspective, but from the perspective of someone who has been transformed,
[00:01:41.240 --> 00:01:47.160]   has been changed because he and his friend encountered Christ.
[00:01:47.160 --> 00:01:52.720]   And so what makes Palm Sunday unique in my mind is not necessarily the account of what
[00:01:52.720 --> 00:01:57.120]   took place, but what took place before Jesus entered Jerusalem, right?
[00:01:57.120 --> 00:02:01.760]   So in Matthew chapter 20, verses 29 to 34, you have the account of the healing of two
[00:02:01.760 --> 00:02:05.640]   blind men in Jericho.
[00:02:05.640 --> 00:02:06.960]   Now I want you to consider that.
[00:02:06.960 --> 00:02:07.960]   They were blind.
[00:02:07.960 --> 00:02:10.400]   I mean, they can't see anything.
[00:02:10.400 --> 00:02:14.800]   They're at the mercies of their friends and of strangers.
[00:02:14.800 --> 00:02:17.180]   I mean, they can't see anything.
[00:02:17.180 --> 00:02:22.040]   But in Matthew chapter 20, verses 29 to 34, what we have here is this encounter that these
[00:02:22.040 --> 00:02:25.320]   two blind men have with Jesus Christ.
[00:02:25.320 --> 00:02:30.200]   They're calling out to him, "Son of David, Son of David," trying to get his attention.
[00:02:30.200 --> 00:02:32.200]   And they do.
[00:02:32.200 --> 00:02:35.640]   Despite the crowd trying to suppress them and say, "Hey, just be quiet.
[00:02:35.640 --> 00:02:37.200]   You're nobody."
[00:02:37.200 --> 00:02:44.120]   They yelled out more, "Son of David, Son of David, have mercy on us."
[00:02:44.120 --> 00:02:50.000]   And so Jesus called for them and he gathers the two blind men to him and he asked him,
[00:02:50.000 --> 00:02:52.160]   "What do you want me to do?"
[00:02:52.160 --> 00:02:56.760]   And simply put, they ask him, "Give us back our sight."
[00:02:56.760 --> 00:03:03.420]   And in verse 34, it says, "Jesus, in pity, touched their eyes and immediately they recovered
[00:03:03.420 --> 00:03:07.040]   their sight and followed him."
[00:03:07.040 --> 00:03:12.440]   In Mark's account, we know that one of these blind men was named Bartimaeus.
[00:03:12.440 --> 00:03:17.000]   And I'll reiterate his name throughout this message.
[00:03:17.000 --> 00:03:20.120]   And imagine being in their shoes.
[00:03:20.120 --> 00:03:25.280]   They've been blind for, I don't know, for how long, but for whatever period of time,
[00:03:25.280 --> 00:03:27.360]   they had no sight.
[00:03:27.360 --> 00:03:30.080]   All they saw was darkness.
[00:03:30.080 --> 00:03:34.520]   And then they encountered the Son of David, Jesus Christ.
[00:03:34.520 --> 00:03:37.520]   And now their eyes have been made open.
[00:03:37.520 --> 00:03:42.520]   And what is the first things that they see as they follow Jesus?
[00:03:42.520 --> 00:03:44.920]   The Passion Week.
[00:03:44.920 --> 00:03:50.720]   They're seeing, for the first time, Jesus going through Palm Sunday, going through the
[00:03:50.720 --> 00:03:57.080]   cleaning of the temple on Monday, Silent Wednesday, and finally Good Friday.
[00:03:57.080 --> 00:04:02.640]   And so what I want to do this morning is pick up three observations of Christ as he goes
[00:04:02.640 --> 00:04:07.840]   through Palm Sunday from the perspective of Bartimaeus and his friends.
[00:04:07.840 --> 00:04:08.840]   Okay?
[00:04:08.840 --> 00:04:11.680]   And so what we'll do this morning is instead of reading the whole account, we're just going
[00:04:11.680 --> 00:04:17.480]   to read verses four and five in Matthew chapter 21, and then we'll pray and we'll get started.
[00:04:17.480 --> 00:04:20.720]   Matthew chapter 21, verses four and five.
[00:04:20.720 --> 00:04:25.560]   This took place to fulfill what was spoken by the prophet, saying, "Say to the daughter
[00:04:25.560 --> 00:04:32.280]   of Zion, 'Behold, your king is coming to you, humble and mounted on a donkey, on a colt,
[00:04:32.280 --> 00:04:34.720]   the foal of a beast of burden.'"
[00:04:34.720 --> 00:04:36.600]   Let's pray.
[00:04:36.600 --> 00:04:45.360]   Heavenly Father, we thank you again for this time to exalt Christ through your Word.
[00:04:45.360 --> 00:04:52.360]   And especially, Lord God, in light of Passion Week, this is a time where all of your people,
[00:04:52.360 --> 00:04:56.400]   believers who have confessed Christ as their Lord and Savior, this is a time for us to
[00:04:56.400 --> 00:05:01.920]   recalibrate and refocus, Lord God, on what is most important, on who is most important
[00:05:01.920 --> 00:05:04.120]   in our lives.
[00:05:04.120 --> 00:05:09.120]   And so God, I pray, and I know the leaders are praying and people in this room are praying.
[00:05:09.120 --> 00:05:13.880]   We pray, Lord God, that this Passion Week will not just simply be another week that
[00:05:13.880 --> 00:05:19.320]   just goes by, but rather this would be a week in which our passion and our focus for you
[00:05:19.320 --> 00:05:25.440]   could be reignited, that we would see with much more clarity how different we are to
[00:05:25.440 --> 00:05:27.920]   be from this world.
[00:05:27.920 --> 00:05:33.240]   And Lord God, as we study about Christ this morning, again, Lord, help us to be in awe
[00:05:33.240 --> 00:05:34.920]   and wonder of our Lord and Savior.
[00:05:34.920 --> 00:05:36.520]   And so we thank you.
[00:05:36.520 --> 00:05:39.520]   In your name we pray, amen.
[00:05:39.520 --> 00:05:45.160]   Alright, so if I was Bartimaeus and his friend who just recently received sight, I'm coming
[00:05:45.160 --> 00:05:51.720]   up to Palm Sunday, and I'm looking at what's going on, and I see Jesus, and the first observation
[00:05:51.720 --> 00:05:55.980]   that I would take note of if I was Bartimaeus is that he is a commander.
[00:05:55.980 --> 00:05:56.980]   He is a commander.
[00:05:56.980 --> 00:05:59.800]   Alright, look at verses 1 and 2.
[00:05:59.800 --> 00:06:04.960]   Now when they drew near to Jerusalem and came to Bethphage, the mountain of olives, then
[00:06:04.960 --> 00:06:12.000]   Jesus sent two disciples saying to them, "Go into the village in front of you, and immediately
