
[00:00:00.000 --> 00:00:02.000]   I
[00:00:02.000 --> 00:00:11.340]   Lehman and I'm gonna be reading from verse 4 through 10 filemen verse 4 through 10
[00:00:11.340 --> 00:00:21.760]   Reading out of the ESV
[00:00:21.760 --> 00:00:26.600]   I thank my God always when I remember you in my prayers because I hear of your love and of the faith that you have
[00:00:26.600 --> 00:00:32.240]   Toward the Lord Jesus and for all the Saints and I pray that the sharing of your faith may become effective for the full knowledge
[00:00:32.240 --> 00:00:34.920]   Of every good thing that is in us for the sake of Christ
[00:00:34.920 --> 00:00:42.100]   For I have derived much joy and comfort from your love my brother because the hearts of the Saints have been refreshed through you
[00:00:42.100 --> 00:00:48.520]   Accordingly though I am bold enough in Christ to command you to do what is required yet for love's sake
[00:00:48.520 --> 00:00:53.360]   I prefer to appeal to you. I Paul an old man and now a prisoner also for Christ
[00:00:53.360 --> 00:01:00.480]   I appeal to you for my child onesimus whose father I became in I became in my imprisonment. Let's pray
[00:01:00.480 --> 00:01:07.440]   Gracious and loving father we thank you so much for this morning
[00:01:07.440 --> 00:01:12.920]   We asked Lord God that what proceeds from this pulpit would be your words
[00:01:12.920 --> 00:01:17.360]   That your children would hear your voice and follow you
[00:01:17.360 --> 00:01:20.400]   Protect us Lord God from wrong thinking
[00:01:21.320 --> 00:01:24.020]   That we may have right application. I
[00:01:24.020 --> 00:01:31.240]   Pray that through this time your church may be sanctified that your word may be preached and Christ may be exalted
[00:01:31.240 --> 00:01:35.320]   We pray for your blessing and your presence with us in Jesus name. We pray. Amen
[00:01:35.320 --> 00:01:38.200]   Yeah, as you guys know
[00:01:38.200 --> 00:01:40.120]   Like we talked about last week
[00:01:40.120 --> 00:01:46.200]   you know the book of Philemon is a powerful book not because it has an exposition of the gospel or
[00:01:46.320 --> 00:01:51.360]   Or tells us the details about what propitiation is and all of these things are very essential to our faith
[00:01:51.360 --> 00:01:56.000]   But at the core of it it is the proof of the power of the gospel
[00:01:56.000 --> 00:01:58.920]   You know we can talk about
[00:01:58.920 --> 00:02:05.240]   How precious Jesus is and we can exposit scripture and know what the verses mean and and all the systematic theology
[00:02:05.240 --> 00:02:09.560]   But if there is no power all it becomes after a while just religious talk
[00:02:09.560 --> 00:02:12.620]   It doesn't have any practical effect in our lives
[00:02:12.620 --> 00:02:19.360]   It doesn't affect the way that we make decision or we raise our children. The gospel was meant to be powerful
[00:02:19.360 --> 00:02:25.160]   Not just something to be regurgitated not just something for us to hold on to for security blanket
[00:02:25.160 --> 00:02:29.040]   But to challenge us to flip our world upside down
[00:02:29.040 --> 00:02:37.880]   That's what Philemon is Philemon is a testimony of how the gospel has changed the lives of these particular these three men
[00:02:37.880 --> 00:02:42.440]   Now we know the author Paul he's writing this letter in prison
[00:02:42.440 --> 00:02:43.580]   and
[00:02:43.580 --> 00:02:45.580]   You know we try to
[00:02:45.580 --> 00:02:52.300]   Sociologists always try to explain why the Christianity grew so fast and why so many people embrace Christianity
[00:02:52.300 --> 00:02:55.720]   2,000 years ago, and they'll try to put a psychological sociological
[00:02:55.720 --> 00:03:02.580]   Economical spin to it say maybe the poor people are attracted because Jesus promised riches
[00:03:02.580 --> 00:03:08.420]   You know maybe maybe the people who had nothing it was a way Avenue for them to gain something
[00:03:08.420 --> 00:03:11.440]   But you look at Paul's life. It doesn't fit any of that
[00:03:12.000 --> 00:03:15.800]   Paul is a man who was made possibly a member of the Sanhedrin
[00:03:15.800 --> 00:03:18.400]   leaders of one of the Senate's
[00:03:18.400 --> 00:03:19.560]   senators
[00:03:19.560 --> 00:03:22.140]   He was already come from a very rich family
[00:03:22.140 --> 00:03:26.520]   it was a Roman citizen and he lost all of that because he became a Christian and
[00:03:26.520 --> 00:03:31.460]   Now he's sitting in prison and instead of worrying about himself
[00:03:31.460 --> 00:03:38.960]   He's not writing a letter concerned about this runaway slave that he may be restored back to his former master as a brother
[00:03:40.060 --> 00:03:44.940]   So again, you look at the life of Paul and in the very author of this letter
[00:03:44.940 --> 00:03:50.300]   You see the power of the cross in his life. You see on estimates a runaway slave
[00:03:50.300 --> 00:03:52.780]   you know, he became a Christian as
[00:03:52.780 --> 00:03:56.800]   Apostle Paul sitting in prison and continue to share the gospel with him and
[00:03:56.800 --> 00:04:01.040]   For him to go back to where he came from. I mean he escaped
[00:04:01.040 --> 00:04:06.800]   Imagine he risked his life. He risked everything to leave behind all of that and then he came out now
[00:04:07.320 --> 00:04:10.040]   Because he met Christ he's going back
[00:04:10.040 --> 00:04:11.760]   now
