
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:00:02.740 --> 00:00:05.820]   the questions together.
[00:00:05.820 --> 00:00:08.100]   But I do hope that in your own time,
[00:00:08.100 --> 00:00:11.720]   you guys are able to really dive into those questions,
[00:00:11.720 --> 00:00:13.620]   'cause I'm trying to use those questions now
[00:00:13.620 --> 00:00:15.740]   as also like major,
[00:00:15.740 --> 00:00:20.460]   setups for the major points that we are studying, okay?
[00:00:20.460 --> 00:00:21.560]   And to tell you honestly,
[00:00:21.560 --> 00:00:24.340]   sometimes coming up with these questions are pretty hard.
[00:00:24.340 --> 00:00:26.980]   Coming up with discussion questions is like extra difficult.
[00:00:26.980 --> 00:00:28.340]   If you guys have, like,
[00:00:28.340 --> 00:00:30.280]   as you're doing your own observation and stuff,
[00:00:30.280 --> 00:00:31.460]   email me through the week, like,
[00:00:31.460 --> 00:00:33.200]   "Hey, this seems really interesting
[00:00:33.200 --> 00:00:36.660]   "and hard to decide how to interpret."
[00:00:36.660 --> 00:00:38.060]   All your observations and questions,
[00:00:38.060 --> 00:00:39.140]   you can shoot me emails,
[00:00:39.140 --> 00:00:42.980]   and then I'll be sure to bring them up too in the study,
[00:00:42.980 --> 00:00:44.140]   okay?
[00:00:44.140 --> 00:00:46.060]   So again, for next week,
[00:00:46.060 --> 00:00:48.580]   if you guys are studying the passage,
[00:00:48.580 --> 00:00:50.600]   please email me, okay?
[00:00:50.600 --> 00:00:52.820]   Well, let's take a road
[00:00:52.820 --> 00:00:55.280]   of just kind of reviewing what's been happening
[00:00:55.280 --> 00:00:57.420]   by looking at the flow of thought, okay?
[00:00:57.420 --> 00:00:59.100]   So I'm not gonna say, "Oh, first is this,
[00:00:59.100 --> 00:01:00.380]   "then this is exactly this,"
[00:01:00.380 --> 00:01:02.980]   but looking more so at the flow of thought
[00:01:02.980 --> 00:01:04.980]   that's been happening with Apostle Paul
[00:01:04.980 --> 00:01:07.900]   writing this letter to the Corinthians.
[00:01:07.900 --> 00:01:11.420]   So these are all kind, some of them are really obvious,
[00:01:11.420 --> 00:01:14.740]   so I want you guys to just yell it out, okay?
[00:01:14.740 --> 00:01:16.940]   In the first section, as he opens this letter,
[00:01:16.940 --> 00:01:18.660]   he thanks God that they are.
[00:01:26.420 --> 00:01:28.060]   I saw all of you guys go over to write,
[00:01:28.060 --> 00:01:29.460]   but what did you guys write?
[00:01:29.460 --> 00:01:32.300]   He thanks God that they are?
[00:01:32.300 --> 00:01:35.460]   Saints, yeah, that they're saints and they're saved, okay?
[00:01:35.460 --> 00:01:39.300]   And then, in the next section,
[00:01:39.300 --> 00:01:42.540]   he quickly goes into, "But," this is what I hear,
[00:01:42.540 --> 00:01:44.740]   he hears that there are?
[00:01:44.740 --> 00:01:46.540]   Divisions among you, all right?
[00:01:46.540 --> 00:01:47.820]   Divisions among you.
[00:01:47.820 --> 00:01:49.900]   And he believes that these divisions exist
[00:01:49.900 --> 00:01:51.500]   because there is worldly,
[00:01:51.500 --> 00:01:54.500]   what was that?
[00:01:55.360 --> 00:01:58.280]   Worldly wisdom, okay?
[00:01:58.280 --> 00:02:01.300]   They have this worldly wisdom that's divisive,
[00:02:01.300 --> 00:02:03.840]   and typically, I mentioned that the worldly wisdom,
[00:02:03.840 --> 00:02:06.240]   typically, think about all the advice you get
[00:02:06.240 --> 00:02:08.040]   when you're young about how to date,
[00:02:08.040 --> 00:02:10.320]   what career to pick, and how to choose this path
[00:02:10.320 --> 00:02:13.000]   and that path, and it's all about becoming greater.
[00:02:13.000 --> 00:02:15.000]   There's a sense of pride, right?
[00:02:15.000 --> 00:02:18.900]   And I showed you that the topic of arrogance and pride
[00:02:18.900 --> 00:02:21.520]   came up in almost every chapter, right?
[00:02:21.520 --> 00:02:23.680]   And we just listed those off.
[00:02:23.680 --> 00:02:26.720]   And number four, Apostle Paul counteracts that
[00:02:26.720 --> 00:02:31.160]   by saying God's wisdom is superior.
[00:02:31.160 --> 00:02:33.680]   So what you have is him explaining to you,
[00:02:33.680 --> 00:02:36.240]   this is the difference between the world's wisdom
[00:02:36.240 --> 00:02:39.860]   and God's wisdom, and God's wisdom is permanent.
[00:02:39.860 --> 00:02:42.880]   God's wisdom is powerful, okay?
[00:02:42.880 --> 00:02:47.760]   And then, he not only talks about God's wisdom in general,
[00:02:47.760 --> 00:02:49.560]   but he points to the people and says,
[00:02:49.560 --> 00:02:51.480]   think about your humble,
[00:02:52.440 --> 00:02:54.680]   (audience member speaks off mic)
[00:02:54.680 --> 00:02:58.880]   close, beginning, or calling, okay?
[00:02:58.880 --> 00:03:01.760]   So that goes hand in hand.
[00:03:01.760 --> 00:03:04.480]   When you were called, what was your life circumstance, right?
[00:03:04.480 --> 00:03:07.080]   So you can say, think about your humble calling.
[00:03:07.080 --> 00:03:09.720]   And I made mention of this fact,
[00:03:09.720 --> 00:03:11.400]   Apostle Paul's kind of getting personal.
[00:03:11.400 --> 00:03:13.520]   He's like, so there's these divisions, huh?
[00:03:13.520 --> 00:03:16.280]   You guys are sitting there trying to one-up each other.
[00:03:16.280 --> 00:03:18.360]   You guys are saying, I'm of Apollos, and I'm of Paul.
[00:03:18.360 --> 00:03:20.560]   Some of you are saying, I'm just of Jesus only,
[00:03:20.560 --> 00:03:23.160]   'cause I don't need any of you guys and all this stuff.
[00:03:23.160 --> 00:03:25.560]   And they have this arrogance, and he says,
[00:03:25.560 --> 00:03:28.840]   personally, think about yourself, right?
[00:03:28.840 --> 00:03:32.560]   Now, in so doing, Apostle Paul showed us
[00:03:32.560 --> 00:03:36.360]   that God functions upon completely different standards
[00:03:36.360 --> 00:03:37.280]   than the world.
[00:03:37.280 --> 00:03:40.440]   The world functions on stuff like strength,
[00:03:40.440 --> 00:03:43.880]   stature, birth order, nobility.
[00:03:43.880 --> 00:03:45.800]   And God, he says, his standards are,
[00:03:45.800 --> 00:03:48.880]   his wise standards come from things of righteousness,
[00:03:48.880 --> 00:03:51.240]   holiness, and redemption, right?
[00:03:51.240 --> 00:03:54.600]   In this last, or in this next section
[00:03:54.600 --> 00:03:56.600]   that we're gonna study today,
[00:03:56.600 --> 00:03:59.200]   he's still on this whole train of thought,
[00:03:59.200 --> 00:04:01.320]   and that's why we have to review.
[00:04:01.320 --> 00:04:03.280]   He's still in the train of thought,
[00:04:03.280 --> 00:04:05.360]   and in still talking about it, he says,
[00:04:05.360 --> 00:04:10.360]   okay, think about you, but now also think about my preaching.
[00:04:10.360 --> 00:04:11.400]   Okay?
