
[00:00:00.000 --> 00:00:07.000]   Genesis chapter 16.
[00:00:07.000 --> 00:00:14.160]   And as you're turning over there, I want to say I'm so glad that every single one of you
[00:00:14.160 --> 00:00:16.660]   are here in this room.
[00:00:16.660 --> 00:00:22.880]   There are moments in which this room, it is a spiritual house, but this room can become
[00:00:22.880 --> 00:00:25.040]   a scary place.
[00:00:25.040 --> 00:00:29.960]   Every Thursday and Friday I lock up the building, and some nights we lock it up real late, and
[00:00:29.960 --> 00:00:32.920]   especially on Fridays when the collegians are hanging out, we have a great time and everybody
[00:00:32.920 --> 00:00:37.120]   leaves, it can be like 11 o'clock, sometimes even later than that.
[00:00:37.120 --> 00:00:40.500]   And after everybody leaves, I turn off all the lights and I come over walking this way
[00:00:40.500 --> 00:00:45.440]   to set the alarm, and in my mind I'm thinking, "Oh my gosh, I gotta go, I gotta go, I gotta
[00:00:45.440 --> 00:00:46.440]   go."
[00:00:46.440 --> 00:00:51.040]   Because it's not just dark, I mean at that time it's just pitch black.
[00:00:51.040 --> 00:00:53.400]   In a big room for some reason there's a weird hum.
[00:00:53.400 --> 00:00:55.800]   Have you guys ever felt that?
[00:00:55.800 --> 00:00:59.920]   And then in certain bigger rooms you hear weird creaking noises, and you're just like,
[00:00:59.920 --> 00:01:00.920]   "Hurry!"
[00:01:00.920 --> 00:01:01.920]   And then you just want to go.
[00:01:01.920 --> 00:01:06.480]   Well, at some nights, some people are gracious and then they say, "Hey, I'll just lock up
[00:01:06.480 --> 00:01:07.480]   with you."
[00:01:07.480 --> 00:01:08.480]   Like Alex does that a lot.
[00:01:08.480 --> 00:01:13.360]   And I look over at him and I'll be like, "I'm so glad you're here."
[00:01:13.360 --> 00:01:17.120]   It's because it's just kind of unsettling, you know what I mean?
[00:01:17.120 --> 00:01:20.320]   The fear of the unknown in the pitch black ginormous room.
[00:01:20.320 --> 00:01:23.180]   And I'll tell you a hilarious story.
[00:01:23.180 --> 00:01:29.380]   One time we cleared the entire sanctuary for an event, and I was locking up after, and
[00:01:29.380 --> 00:01:31.480]   I set the alarm and I just started running.
[00:01:31.480 --> 00:01:35.080]   I started running that way, and lo and behold, all of a sudden, boom!
[00:01:35.080 --> 00:01:39.020]   And I just fall head over, and I'm like rolling over like, "What is that?"
[00:01:39.020 --> 00:01:43.260]   Someone left one chair, like right smack in the middle.
[00:01:43.260 --> 00:01:44.260]   And nobody saw.
[00:01:44.260 --> 00:01:48.220]   I just ducked my head and slowly walked out the church all hurting.
[00:01:48.220 --> 00:01:52.340]   And it was just a miserable time.
[00:01:52.340 --> 00:01:59.180]   I tell you these stories because sometimes having somebody with you just helps a lot.
[00:01:59.180 --> 00:02:00.180]   Okay?
[00:02:00.180 --> 00:02:06.700]   I mean, it's not like if seriously, I don't know, a demon or somebody comes out that just
[00:02:06.700 --> 00:02:11.340]   having one person is going to save the day, but it's just what helps.
[00:02:11.340 --> 00:02:15.780]   And the thing about it is we live in a generation, and we've always lived in a generation, in
[00:02:15.780 --> 00:02:21.300]   a world with a lot of pain, with a lot of hurt, with various things that frustrate,
[00:02:21.300 --> 00:02:22.300]   with all this anxiety.
[00:02:22.300 --> 00:02:27.780]   And in reality, it just helps a lot to have somebody around.
[00:02:27.780 --> 00:02:31.700]   And the story that I want to read to you is a story about an interesting character that's
[00:02:31.700 --> 00:02:34.180]   typically not highlighted in the Bible.
[00:02:34.180 --> 00:02:35.180]   Her name is Hagar.
[00:02:35.180 --> 00:02:37.740]   She is an Egyptian slave.
[00:02:37.740 --> 00:02:39.900]   She is a maidservant.
[00:02:39.900 --> 00:02:45.060]   And although in previous times I've read this passage, I might have glossed over her character,
[00:02:45.060 --> 00:02:48.900]   this time I want to highlight for you that this is an individual who experienced a great
[00:02:48.900 --> 00:02:53.860]   amount of affliction, but found help in the presence of one.
[00:02:53.860 --> 00:02:56.820]   Let's take a moment to read this story.
[00:02:56.820 --> 00:03:01.340]   Go over again in chapter 16.
[00:03:01.340 --> 00:03:04.260]   In verse 1, this is what it says in chapter 16.
[00:03:04.260 --> 00:03:10.680]   "Now Sarai, Abram's wife, had born him no children, and she had an Egyptian mate whose
[00:03:10.680 --> 00:03:11.680]   name was Hagar."
[00:03:11.680 --> 00:03:15.420]   I'm going to give you a little background story and then read the rest of the passage.
[00:03:15.420 --> 00:03:21.060]   It starts with Abraham, who at this moment is still Abram, okay?
[00:03:21.060 --> 00:03:26.180]   He was called, he got a call from God, not the phone call, he got a call from God from
[00:03:26.180 --> 00:03:29.980]   when he was living in the Ur of Chaldees, which is modern day Saudi Arabia, and God
[00:03:29.980 --> 00:03:33.740]   said you need to leave your family, you need to leave your home, and I want you to journey
