
[00:00:00.000 --> 00:00:04.240]   [AUDIO OUT]
[00:00:04.240 --> 00:00:06.960]   --in India.
[00:00:06.960 --> 00:00:10.760]   The area that we went to India is not typically a place that--
[00:00:10.760 --> 00:00:12.760]   if somebody says they went to India for missions,
[00:00:12.760 --> 00:00:15.400]   this is not the typical place that they go to.
[00:00:15.400 --> 00:00:18.400]   Usually, they'll go to Delhi or Mumbai or maybe even Bangalore,
[00:00:18.400 --> 00:00:21.080]   but this is about five hours into the countryside.
[00:00:21.080 --> 00:00:25.000]   So the nearest airport of any kind, local or international,
[00:00:25.000 --> 00:00:27.920]   is about five hours' drive away.
[00:00:27.920 --> 00:00:30.800]   So I shared this with you last year
[00:00:30.800 --> 00:00:33.120]   when we were going in there.
[00:00:33.120 --> 00:00:35.440]   I didn't know a single Westerner or any foreigner
[00:00:35.440 --> 00:00:36.520]   that's been in that area.
[00:00:36.520 --> 00:00:39.960]   And so when I told this to my Southern Baptist friends,
[00:00:39.960 --> 00:00:41.680]   they were actually a little bit concerned.
[00:00:41.680 --> 00:00:43.440]   They'd been praying for us last year,
[00:00:43.440 --> 00:00:45.940]   and they prayed for us this year throughout the whole trip.
[00:00:45.940 --> 00:00:50.280]   So I was texting with my wife and a local pastor
[00:00:50.280 --> 00:00:53.960]   here because they were having prayer meetings for us
[00:00:53.960 --> 00:00:56.240]   throughout their meetings, and he wanted an update
[00:00:56.240 --> 00:00:57.360]   on what's going on.
[00:00:57.360 --> 00:01:00.040]   So going in this year, I thought I'd
[00:01:00.040 --> 00:01:02.880]   be a little bit less anxious because we have experience
[00:01:02.880 --> 00:01:03.520]   from last year.
[00:01:03.520 --> 00:01:07.040]   But to my surprise, I think all the things
[00:01:07.040 --> 00:01:09.320]   that I've been reading in the last year, the persecution
[00:01:09.320 --> 00:01:14.840]   going on, is concentrated up in North where we were not,
[00:01:14.840 --> 00:01:16.600]   but also in the Southern area.
[00:01:16.600 --> 00:01:18.880]   And in the Southern area, in that little strip
[00:01:18.880 --> 00:01:22.080]   where the heaviest concentration of unreached people groups
[00:01:22.080 --> 00:01:24.200]   are in that local area.
[00:01:24.200 --> 00:01:26.680]   And those pastors are actively pursuing
[00:01:26.680 --> 00:01:28.200]   to share the gospel.
[00:01:28.200 --> 00:01:31.280]   And so the reason why we made contact
[00:01:31.280 --> 00:01:34.480]   is because I met this pastor in one of the earlier trips
[00:01:34.480 --> 00:01:37.800]   that I went with other pastors to do pastoral training.
[00:01:37.800 --> 00:01:40.680]   And as I got to spend time with him,
[00:01:40.680 --> 00:01:42.060]   his English was good enough where
[00:01:42.060 --> 00:01:44.880]   he was sharing with me about his father's testimony.
[00:01:44.880 --> 00:01:47.480]   And again, the more I heard his father's testimony,
[00:01:47.480 --> 00:01:48.160]   it intrigued me.
[00:01:48.160 --> 00:01:50.520]   It's like, wow, there's people actually doing this.
[00:01:50.520 --> 00:01:51.760]   And I share this again.
[00:01:51.760 --> 00:01:53.480]   I'm not going to go too much into detail,
[00:01:53.480 --> 00:01:55.080]   but his father became a Christian,
[00:01:55.080 --> 00:01:57.920]   used to be a Hindu priest, and converted.
