
[00:00:00.000 --> 00:00:12.000]   As a reminder, next week, David Rims and Mike Tang's group is doing snacks.
[00:00:12.000 --> 00:00:18.000]   David Rims and Mike Tang's group is doing snacks for next week.
[00:00:18.000 --> 00:00:22.000]   Week after that is Cheryl.
[00:00:22.000 --> 00:00:25.000]   By yourself.
[00:00:25.000 --> 00:00:33.000]   And the other groups, I'm not going to tell you now. You're going to forget anyway.
[00:00:33.000 --> 00:00:39.000]   Alright, let's take a look at chapter 26 and 27.
[00:00:39.000 --> 00:00:47.000]   As I started saying, chapter 26 and 27 is really directly linked to chapter 24 and 25.
[00:00:47.000 --> 00:00:52.000]   The theme is pretty similar. It's kind of like an apocalyptic view of the last times.
[00:00:52.000 --> 00:00:58.000]   Remember what we said, that God's judgment upon the previous chapters?
[00:00:58.000 --> 00:01:04.000]   What was the difference between starting from 24 to what we're starting now versus what he was saying in the previous chapters?
[00:01:04.000 --> 00:01:08.000]   What was the biggest difference?
[00:01:08.000 --> 00:01:11.000]   Remember last week?
[00:01:11.000 --> 00:01:14.000]   [inaudible]
[00:01:14.000 --> 00:01:22.000]   Okay, so it's a worldwide judgment. It's not geared toward Babylon or it's not geared toward Assyria in particular.
[00:01:22.000 --> 00:01:26.000]   It is mankind basically is being judged, right?
[00:01:26.000 --> 00:01:30.000]   Okay, so that theme is going to continue to run through.
[00:01:30.000 --> 00:01:39.000]   This section, chapter 26 on, there's prophecies and then there's response from God's people in the midst of God's judgment.
[00:01:39.000 --> 00:01:46.000]   Where the nation of Israel or God's people in particular are basically singing praises in the midst of this judgment.
[00:01:46.000 --> 00:01:50.000]   And so that's what you're seeing in chapter 26 and 27.
[00:01:50.000 --> 00:01:55.000]   So let's begin.
[00:01:55.000 --> 00:02:01.000]   But before we do this, what is the lofty city?
[00:02:01.000 --> 00:02:06.000]   What does that signify?
[00:02:06.000 --> 00:02:17.000]   I think you kind of have to have some sense of what the lofty city is because the whole thing is about this lofty city.
[00:02:17.000 --> 00:02:26.000]   Yes, if you're referring to the generic understanding of Babylon, not Babylon as a nation.
