
[00:00:00.000 --> 00:00:04.040]   [BLANK_AUDIO]
[00:00:04.040 --> 00:00:07.400]   We thank you for the proofs that we have to come and study your word.
[00:00:07.400 --> 00:00:10.640]   We pray Lord God that you would give us refreshment.
[00:00:10.640 --> 00:00:15.280]   I know that a lot of brothers and sisters in this room have come from a long week
[00:00:15.280 --> 00:00:20.560]   of working and maybe studying and need Lord God to meet and
[00:00:20.560 --> 00:00:26.800]   to be reminded of your grace and love and why we move and live and have our being in you.
[00:00:26.800 --> 00:00:31.560]   We pray that your word would not just be just empty words, but
[00:00:31.560 --> 00:00:35.080]   that we would be able to hear your voice, that we would understand your heart.
[00:00:35.080 --> 00:00:41.400]   And that we may find our comfort Lord God knowing that you are a God who is gracious
[00:00:41.400 --> 00:00:46.680]   and loving, that you are consistent, that you're somebody that we can put our hope in,
[00:00:46.680 --> 00:00:48.160]   in all things.
[00:00:48.160 --> 00:00:51.160]   So we pray Father that you would search our hearts.
[00:00:51.160 --> 00:00:55.920]   And again, if our brothers and sisters here are in need Lord God of
[00:00:55.920 --> 00:00:59.280]   just a reminder of your love toward us.
[00:00:59.280 --> 00:01:01.680]   I pray that this evening would serve that purpose.
[00:01:01.680 --> 00:01:03.040]   In Jesus name we pray, amen.
[00:01:03.040 --> 00:01:06.840]   All right, so let's look at Isaiah 28 and 29.
[00:01:06.840 --> 00:01:11.760]   Again, within the larger context of end times judgment.
[00:01:11.760 --> 00:01:14.840]   And so as we get closer and closer to chapter 40,
[00:01:14.840 --> 00:01:19.240]   you'll see that there is gonna be an increase in mention of the coming Messiah.
[00:01:19.240 --> 00:01:23.120]   So the whole thing that we see all the way to chapter 39,
[00:01:23.120 --> 00:01:28.120]   the theme is Israel who is deserving of judgment.
[00:01:28.120 --> 00:01:31.160]   And along with that all the other nations that are tied up with that, right?
[00:01:31.160 --> 00:01:33.400]   So we have the similar judgment.
[00:01:33.400 --> 00:01:38.280]   But the end part of what we're dealing with, all the way up to chapter 39,
[00:01:38.280 --> 00:01:42.240]   is again, not just only talking about,
[00:01:42.240 --> 00:01:45.080]   there are some specific historical things that are taking place.
[00:01:45.080 --> 00:01:48.920]   But there's a lot of language that are very similar to the book of Revelation.
[00:01:48.920 --> 00:01:53.440]   And I've been trying to point that out as much as I can as we're going.
[00:01:53.440 --> 00:01:56.760]   But again, we're in that section, first chapter 20 to 29.
[00:01:56.760 --> 00:01:59.480]   So let's just jump into it, okay?
[00:01:59.480 --> 00:02:06.440]   So, upon what and whom does Isaiah pronounce woe in chapter 28?
[00:02:06.440 --> 00:02:08.560]   I know that, how many of you guys use ESV?
[00:02:08.560 --> 00:02:12.080]   Okay, how many of you guys don't use ESV?
[00:02:12.080 --> 00:02:15.400]   Say it loud, say it proud.
[00:02:15.400 --> 00:02:16.000]   Okay, I don't even.
[00:02:16.000 --> 00:02:17.200]   >> [LAUGH]
[00:02:17.200 --> 00:02:18.440]   >> Okay, so what do you use?
[00:02:18.440 --> 00:02:19.240]   >> Message.
[00:02:19.240 --> 00:02:23.560]   >> [LAUGH]
[00:02:23.560 --> 00:02:24.200]   >> Huh?
[00:02:24.200 --> 00:02:25.160]   What do you use, James?
[00:02:25.160 --> 00:02:27.120]   >> NIV and ESV.
[00:02:27.120 --> 00:02:27.960]   >> And ESV?
[00:02:27.960 --> 00:02:28.600]   >> Yeah.
[00:02:28.600 --> 00:02:29.960]   >> Okay, what do you use, James?
[00:02:29.960 --> 00:02:30.680]   >> NASV.
[00:02:30.680 --> 00:02:31.920]   >> NASV?
[00:02:31.920 --> 00:02:33.360]   NASV?
[00:02:33.360 --> 00:02:34.760]   No more?
[00:02:34.760 --> 00:02:35.520]   ESV?
[00:02:35.520 --> 00:02:38.640]   Okay, how many of you guys use NASV?
[00:02:38.640 --> 00:02:41.440]   How many of you guys use NIV?
[00:02:41.440 --> 00:02:47.920]   How many of you guys use something not ESV, not NASV, not, what did I miss, NASV?
[00:02:47.920 --> 00:02:49.520]   Okay, so just kind of different place.
[00:02:49.520 --> 00:02:51.760]   All right, so most of you guys use ESV.
[00:02:51.760 --> 00:02:54.120]   All right, so this question when I asked you about the woe,
[00:02:54.120 --> 00:02:58.680]   you probably had some, like, okay, well, where is this woe, right?
[00:02:58.680 --> 00:03:04.320]   Actually, the word that is translated in the ESV, ah, if you look at the NIV,
[00:03:04.320 --> 00:03:09.680]   I think the NASV has that too, right, in some parts where it's translated woe.
[00:03:09.680 --> 00:03:10.760]   That's basically what it is.
[00:03:10.760 --> 00:03:13.560]   It's woe as in like, wait a second, take a look, and
[00:03:13.560 --> 00:03:16.280]   it is a pronouncement of judgment coming.
[00:03:16.280 --> 00:03:20.800]   And so, NAS, ESV, for whatever the reason, has decided to translate it, ah.
[00:03:20.800 --> 00:03:24.400]   So if you look at these texts, there's six different places in the next four or
[00:03:24.400 --> 00:03:27.680]   five chapters where the word woe just appears.
[00:03:27.680 --> 00:03:30.040]   And it kind of connects the section together.
[00:03:30.040 --> 00:03:33.800]   So it's meant to be understood together because of these woes that
[00:03:33.800 --> 00:03:35.600]   connect them together, okay?
[00:03:35.600 --> 00:03:39.480]   So I think most of you who guys just using the ESV probably had a hard time,
[00:03:39.480 --> 00:03:41.360]   it's like, what woe is he referring to?
[00:03:41.360 --> 00:03:42.560]   That's what we're referring to, okay?
[00:03:44.640 --> 00:03:49.040]   What is the main pronouncement of judgment against Ephraim?
[00:03:49.040 --> 00:03:52.280]   It says, because they become proud, right?
[00:03:52.280 --> 00:03:53.440]   It's the way that he says it.
[00:03:53.440 --> 00:03:56.920]   He says, woe, the proud crown of the drunkard of Ephraim.
[00:03:56.920 --> 00:04:04.400]   So you get the kind of sarcasm in the way that he describes their sin, right?
[00:04:04.400 --> 00:04:08.400]   Their pride is in their drunkenness, right?
[00:04:08.400 --> 00:04:10.280]   So in other words, instead of being ashamed,
[00:04:10.880 --> 00:04:14.760]   you're glorying in something that you should really be ashamed about, right?
[00:04:14.760 --> 00:04:16.600]   And said, because of that, God's gonna bring judgment.
[00:04:16.600 --> 00:04:19.880]   The Lord has one who is mighty and strong, and a storm overflowing.
[00:04:19.880 --> 00:04:24.360]   So you'll see in between as there is pronouncement of judgment,
[00:04:24.360 --> 00:04:26.640]   there's also pronouncement of the Messiah.
[00:04:26.640 --> 00:04:31.120]   And again, as I mentioned before, the closer we get to the chapter 40,
[00:04:31.120 --> 00:04:36.280]   you're gonna see that the theme where right now it's predominantly judgment and
[00:04:36.280 --> 00:04:37.720]   Messiah's coming.
[00:04:37.720 --> 00:04:42.160]   And then starting from 40 and on, you're gonna see a greater emphasis on
[00:04:42.160 --> 00:04:45.280]   the Messiah coming in the midst of judgment, okay?
[00:04:45.280 --> 00:04:47.680]   So there's gonna be a subtle change, and we see more of that.
[00:04:47.680 --> 00:04:52.440]   So in between here, he says, behold, the Lord has one who is mighty and strong.
[00:04:52.440 --> 00:04:53.760]   So who's the one he's referring to?
[00:04:53.760 --> 00:04:55.320]   It's pretty obvious, right?
[00:04:55.320 --> 00:04:57.000]   He's talking about the Messiah.
[00:04:57.000 --> 00:05:00.240]   Judgment is coming because of your stubbornness, because of your pride and
[00:05:00.240 --> 00:05:01.120]   drunkenness.
[00:05:01.120 --> 00:05:04.960]   But the Lord has one who's going to come, and he's going to bring judgment.
[00:05:05.960 --> 00:05:11.560]   All right, the next verses, verses one through four, again,
[00:05:11.560 --> 00:05:17.960]   it is a detailed description of how they became proud over their external beauty,
[00:05:17.960 --> 00:05:22.320]   right, the things that they had, but how it's going to be fading, right?
[00:05:22.320 --> 00:05:27.800]   Verse one talks about their like fading flowers, comes and goes, right?
[00:05:27.800 --> 00:05:31.320]   We see that language in the New Testament, right?
[00:05:31.320 --> 00:05:36.320]   That all man fades like this flower, but the word of God lasts forever.
[00:05:36.320 --> 00:05:42.200]   Again, the proud crown of the drunkard will be trodden underfoot, and
[00:05:42.200 --> 00:05:45.440]   these are all description of Ephraim, right?
[00:05:45.440 --> 00:05:53.680]   Their beauty is attractive, but here, one day gone the other, it's only temporary.
[00:05:53.680 --> 00:05:58.440]   So whatever is the source of your pride that's causing you to be arrogant before
[00:05:58.440 --> 00:06:02.800]   God and disobey, he said it's only here for a minute, it's like a fading flower,
[00:06:02.800 --> 00:06:03.640]   right?
[00:06:03.640 --> 00:06:07.320]   It's beautiful one day, and it's withered the next day, right?
[00:06:07.320 --> 00:06:09.280]   And that's the condition of man.
[00:06:09.280 --> 00:06:14.920]   Everything that we're tempted by, right, in time, it fades, it's nothing.
[00:06:14.920 --> 00:06:17.360]   So if you really think about it,
[00:06:17.360 --> 00:06:22.360]   think about the things that you desired so much when you were younger, right?
[00:06:22.360 --> 00:06:25.240]   In high school, that pants you wanted, you know what I mean?
[00:06:25.240 --> 00:06:29.040]   That car that you thought was like, if I just had that car, and
[00:06:29.040 --> 00:06:31.920]   think how outdated it is now, right?
[00:06:31.920 --> 00:06:36.720]   That sunglass you wanted, think how, think all these things that like at that time,
[00:06:36.720 --> 00:06:39.960]   that's gripped your heart, but when you look back at it now, how foolish it is.
[00:06:39.960 --> 00:06:41.400]   So when you think about it like that,
[00:06:41.400 --> 00:06:44.120]   think about all the things that grip our heart today, and
[00:06:44.120 --> 00:06:46.080]   it's just a matter of time, right?
[00:06:46.080 --> 00:06:47.680]   And that's just a fact.
[00:06:47.680 --> 00:06:50.400]   So how much we are entangled with things that are temporary, and so
[00:06:50.400 --> 00:06:51.760]   that's what he's saying.
[00:06:51.760 --> 00:06:56.040]   E-frame chased after superficial booty, not booty, beauty, sorry.
[00:06:56.040 --> 00:06:58.040]   >> [LAUGH]
[00:06:58.040 --> 00:07:05.520]   >> [LAUGH]
[00:07:05.520 --> 00:07:07.200]   >> They were judged for that too, right?
[00:07:07.200 --> 00:07:08.520]   >> [LAUGH]
[00:07:08.520 --> 00:07:09.020]   >> Yeah.
[00:07:09.020 --> 00:07:11.640]   >> [LAUGH]
[00:07:11.640 --> 00:07:12.640]   >> I erased that part,
[00:07:12.640 --> 00:07:13.440]   I erased that part.
[00:07:13.440 --> 00:07:16.160]   >> [LAUGH]
[00:07:16.160 --> 00:07:17.680]   >> All right.
[00:07:17.680 --> 00:07:18.800]   Pay attention to the vibe.
[00:07:18.800 --> 00:07:27.800]   >> [LAUGH]
[00:07:27.800 --> 00:07:29.440]   >> So for whom would the Lord be a
[00:07:29.440 --> 00:07:31.000]   crown of glory and diadem?
[00:07:31.000 --> 00:07:34.240]   So again, every time there's a pronouncement of judgment,
[00:07:34.240 --> 00:07:35.720]   he always talks about restoration.
[00:07:35.720 --> 00:07:37.280]   But is the restoration for everybody?
[00:07:37.280 --> 00:07:41.920]   No, it's for the few, for the remnants, right?
[00:07:41.920 --> 00:07:45.000]   These are the people who end up repenting and returning to the Lord, and
[00:07:45.000 --> 00:07:45.800]   it is not everybody.
[00:07:45.800 --> 00:07:49.360]   So he's not saying all the people who are experiencing judgment,
[00:07:49.360 --> 00:07:50.960]   that all of a sudden God's gonna turn this around.
[00:07:50.960 --> 00:07:54.200]   He said that because of the judgment, he's going to prune the nation of Israel,
[00:07:54.200 --> 00:07:59.000]   and the ones who return and repent, there is a promise of glory, right?
[00:07:59.000 --> 00:08:02.040]   So the Lord of Hosts will be a crown of glory to the remnant of his people.
[00:08:02.040 --> 00:08:06.400]   In other words, God's people will not run to shallow beauty, but
[00:08:06.400 --> 00:08:08.560]   only to true beauty in Christ.
[00:08:08.560 --> 00:08:12.960]   After the judgment period is over, right, there's gonna be a period of
[00:08:12.960 --> 00:08:15.880]   the remnant who are returning to God who's going to experience this.
[00:08:15.880 --> 00:08:20.880]   Okay?
[00:08:20.880 --> 00:08:23.680]   And then if you look at verse six, again, when this happens,
[00:08:23.680 --> 00:08:27.760]   one of the judgments against Israel is, in that day, verse five, that the Lord of
[00:08:27.760 --> 00:08:31.960]   hosts will be a crown of glory and diadem of beauty to remnant of his people.
[00:08:31.960 --> 00:08:34.920]   And a spirit of justice to him who sits in judgment.
[00:08:34.920 --> 00:08:37.880]   And strength to those who turn back and battle at the gate, right?
[00:08:39.560 --> 00:08:43.720]   So again, he's saying that the only one that can carry out true justice
