
[00:00:00.000 --> 00:00:02.320]   Okay, my glasses here.
[00:00:02.320 --> 00:00:05.160]   Okay, good morning.
[00:00:05.160 --> 00:00:07.360]   It's good to see everybody starting the day
[00:00:07.360 --> 00:00:10.620]   giving God the first fruits of their morning.
[00:00:10.620 --> 00:00:15.040]   I'll be covering the events of Jesus's day on Monday
[00:00:15.040 --> 00:00:18.540]   of the Passion Week, and let us begin by reading
[00:00:18.540 --> 00:00:21.120]   the passage for this morning, which is,
[00:00:21.120 --> 00:00:25.120]   please turn your Bibles to Mark chapter 11,
[00:00:25.120 --> 00:00:27.900]   verse 12 through 19.
[00:00:29.400 --> 00:00:34.160]   I'll give you a little time to find the passage.
[00:00:34.160 --> 00:00:41.160]   Okay, so I'll go ahead and read and just follow along.
[00:00:41.160 --> 00:00:45.800]   On the following day, when they came from Bethany,
[00:00:45.800 --> 00:00:48.520]   he was hungry, and seeing in the distance
[00:00:48.520 --> 00:00:51.420]   a fig tree and leaf, he went to see
[00:00:51.420 --> 00:00:54.060]   if he could find anything on it.
[00:00:54.060 --> 00:00:57.320]   When he came to it, he found nothing but leaves,
[00:00:57.320 --> 00:01:00.080]   for it was not the season for figs.
[00:01:00.080 --> 00:01:03.200]   And he said to it, may no one ever eat fruit
[00:01:03.200 --> 00:01:06.280]   from you again, and his disciples heard it.
[00:01:06.280 --> 00:01:10.240]   And they came to Jerusalem, and he entered the temple
[00:01:10.240 --> 00:01:12.840]   and began to drive out those who sold
[00:01:12.840 --> 00:01:15.040]   and those who bought in the temple.
[00:01:15.040 --> 00:01:17.960]   And he overturned the tables of the money changers
[00:01:17.960 --> 00:01:20.960]   and the seats of those who were sold pigeons.
[00:01:20.960 --> 00:01:23.720]   And he would not allow anyone to carry anything
[00:01:23.720 --> 00:01:25.360]   through the temple.
[00:01:25.360 --> 00:01:27.900]   And he was teaching them and saying to them,
[00:01:27.900 --> 00:01:31.000]   is it not written, my house shall be called
[00:01:31.000 --> 00:01:33.980]   a house of prayer for all the nations?
[00:01:33.980 --> 00:01:36.480]   But you have made it a den of robbers.
[00:01:36.480 --> 00:01:39.040]   And the chief priests and the scribes heard it
[00:01:39.040 --> 00:01:41.560]   and were seeking a way to destroy him.
[00:01:41.560 --> 00:01:44.360]   For they feared him, because all the crowd
[00:01:44.360 --> 00:01:46.600]   was astonished at his teaching.
[00:01:46.600 --> 00:01:49.820]   And when evening came, they went out of the city.
[00:01:49.820 --> 00:01:52.320]   Let us pray.
[00:01:52.320 --> 00:01:54.480]   (silence)
[00:01:54.480 --> 00:02:00.840]   Dear Heavenly Father, we thank you Lord for this morning.
[00:02:00.840 --> 00:02:05.220]   We thank you for everyone who is gathered here, Lord God.
[00:02:05.220 --> 00:02:09.340]   We are here this morning because this week
[00:02:09.340 --> 00:02:12.960]   is so important in our own Christian walk, Lord God,
[00:02:12.960 --> 00:02:17.120]   because what it stands for, that the son of God
[00:02:17.120 --> 00:02:21.720]   humbled himself, made himself nothing,
[00:02:21.720 --> 00:02:24.480]   and became a servant for our sake.
[00:02:24.480 --> 00:02:27.840]   Lived among us, Lord, so lovingly and sacrificially.
[00:02:27.840 --> 00:02:33.920]   And eventually died on the cross for our sake.
[00:02:33.920 --> 00:02:38.920]   Those you came for rejected you, and you sacrificed.
[00:02:38.920 --> 00:02:43.160]   Lord, I pray that as we listen to your word
[00:02:43.160 --> 00:02:46.760]   and your passage, Father, your word in the events
[00:02:46.760 --> 00:02:50.320]   of this week is powerful in themselves, Father.
[00:02:50.320 --> 00:02:53.440]   And I pray that we would put it into proper context
[00:02:53.440 --> 00:02:56.680]   of importance in their lives, and that you would
[00:02:56.680 --> 00:02:59.920]   help us, Lord God, as we start this day
[00:02:59.920 --> 00:03:03.560]   meditating on your word and what you did on Monday.
[00:03:03.560 --> 00:03:05.720]   That you would continue it on through the day,
[00:03:05.720 --> 00:03:08.520]   continue it on throughout the week, Lord,
[00:03:08.520 --> 00:03:12.280]   so that we can remember what Christ has done.
[00:03:12.280 --> 00:03:17.200]   We could remember all that we have received in Christ,
[00:03:17.200 --> 00:03:20.760]   and we could rejoice for what we have in Christ,
[00:03:20.760 --> 00:03:23.000]   with the hope that we have, Lord God.
[00:03:23.000 --> 00:03:26.120]   We thank you, pray all this in Jesus' name, amen.
[00:03:26.120 --> 00:03:32.120]   Okay, so let me set the stage for events of Monday.
[00:03:32.120 --> 00:03:36.640]   It is morning time, Jesus is walking towards Jerusalem
[00:03:36.640 --> 00:03:41.640]   from Bethany, and Bethany was Jesus' base station.
[00:03:42.960 --> 00:03:47.880]   So during this time in Jerusalem, there are,
[00:03:47.880 --> 00:03:50.360]   Pastor Peter mentioned yesterday that over a million
[00:03:50.360 --> 00:03:53.640]   people would come to Jerusalem, so the place
[00:03:53.640 --> 00:03:58.640]   was very crowded, so even if the Jesus and disciples
[00:03:58.640 --> 00:04:03.080]   wanted to find housing there, probably there was
[00:04:03.080 --> 00:04:08.080]   no housing, so they stayed in a nearby city,
[00:04:08.080 --> 00:04:11.360]   Bethany, house of Martha, Mary,
[00:04:11.360 --> 00:04:14.600]   (microphone feedback)
[00:04:14.600 --> 00:04:31.520]   See, okay, so we see what's happening here
[00:04:31.520 --> 00:04:34.560]   is that that morning, so Jesus is walking
[00:04:34.560 --> 00:04:37.440]   with his disciples, coming from Bethany,
[00:04:40.360 --> 00:04:45.360]   all right, okay, is that okay?
[00:04:45.360 --> 00:04:48.080]   All right, so we see Jesus and his disciples
[00:04:48.080 --> 00:04:52.040]   are coming from Bethany, and Jesus sees a fig tree,
[00:04:52.040 --> 00:04:55.480]   and a strange thing happens, and in Mark's account,
[00:04:55.480 --> 00:04:58.160]   this is what it says, on the following day,
[00:04:58.160 --> 00:05:00.400]   when they came from Bethany, he was hungry,
[00:05:00.400 --> 00:05:04.560]   and seeing in the distance a fig tree and leaf,
[00:05:04.560 --> 00:05:07.680]   he went to see if he could find anything on it.
[00:05:07.680 --> 00:05:10.680]   When he came to it, he found nothing but leaves,
[00:05:10.680 --> 00:05:15.040]   for it was not the season for figs, and he said to it,
[00:05:15.040 --> 00:05:18.400]   may no one ever eat fruit from you again,
[00:05:18.400 --> 00:05:20.280]   and his disciples heard it.
[00:05:20.280 --> 00:05:26.440]   In Matthew 21, 19, it says the fig tree withered at once.
[00:05:26.440 --> 00:05:29.400]   This is a relative term, as far as at once,
[00:05:29.400 --> 00:05:33.040]   the tree may have died at once, but in Mark's account,
[00:05:33.040 --> 00:05:36.800]   11, 14, suggests that the withering and the visible
[00:05:36.800 --> 00:05:40.520]   image of the withering actually happened the next day,
[00:05:40.520 --> 00:05:43.960]   so we see that as they were coming back on Tuesday
[00:05:43.960 --> 00:05:47.160]   to Jerusalem, the disciples saw the withered tree.
[00:05:47.160 --> 00:05:51.480]   Often, the Old Testament refers to the nation of Israel
[00:05:51.480 --> 00:05:55.920]   as a fig tree, so we see that Jesus pronounces judgment
[00:05:55.920 --> 00:05:59.760]   upon the fig tree, and says, may no one ever eat fruit
[00:05:59.760 --> 00:06:00.840]   from you again.
[00:06:00.840 --> 00:06:05.380]   The withering of the tree is a foreshadow of the judgment
[00:06:05.380 --> 00:06:08.500]   that is to come upon Israel in AD 70.
[00:06:08.500 --> 00:06:10.520]   We know what happened in AD 70, right?
[00:06:10.520 --> 00:06:15.300]   The Romans came and completely destroyed Israel.
[00:06:15.300 --> 00:06:20.180]   As from time of AD 70, there was no nation of Israel,
[00:06:20.180 --> 00:06:24.980]   and all the genealogy that dates back to who is from
[00:06:24.980 --> 00:06:27.700]   the Levitical tribe, who is from this tribe,
[00:06:27.700 --> 00:06:31.340]   and all that was destroyed, 'cause they completely
[00:06:31.340 --> 00:06:35.320]   destroyed it, they took it away, and they took captive
[00:06:35.320 --> 00:06:38.940]   the Israelites, so we see the pronouncement of the judgment,
[00:06:38.940 --> 00:06:43.420]   and we see that this judgment that is pronounced,
[00:06:43.420 --> 00:06:47.100]   Jesus was looking, and it was pronouncing,
[00:06:47.100 --> 00:06:50.820]   this was symbolic of what was gonna happen to Israel,
[00:06:50.820 --> 00:06:53.460]   and we know that as he was doing this,
[00:06:53.460 --> 00:06:56.500]   Jesus' heart was very heavy, and we know that
[00:06:56.500 --> 00:07:00.140]   because in Luke's account in chapter 13, 41 to 44,
[00:07:00.140 --> 00:07:02.940]   and Pastor Peter mentioned it yesterday,
[00:07:02.940 --> 00:07:06.160]   and I'll read, just follow along,
[00:07:06.160 --> 00:07:08.440]   and when he drew near and saw the city,
[00:07:08.440 --> 00:07:12.200]   he wept over it, saying, "Would that you, even you,
[00:07:12.200 --> 00:07:16.020]   "had known on this day the things that make for peace,
[00:07:16.020 --> 00:07:19.000]   "but now they are hidden from your eyes,
