
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:00:04.000 --> 00:00:08.000]   underlying point.
[00:00:08.000 --> 00:00:12.000]   Okay, primarily judgment, right? Restoration as well,
[00:00:12.000 --> 00:00:16.000]   but primarily judgment. So chapter 1 through 39 is
[00:00:16.000 --> 00:00:20.000]   primarily about why judgment is coming upon Israel, why judgment is coming upon
[00:00:20.000 --> 00:00:24.000]   the nations, right? For those who basically attacked Israel.
[00:00:24.000 --> 00:00:28.000]   And then we said, so chapter 1 through 39 is about why judgment
[00:00:28.000 --> 00:00:32.000]   is coming. Chapter 40 to 66, primarily
[00:00:32.000 --> 00:00:36.000]   what do we say?
[00:00:36.000 --> 00:00:40.000]   Restoration, right?
[00:00:40.000 --> 00:00:44.000]   So chapter, again, we're not saying that every single chapter, every verse is that way,
[00:00:44.000 --> 00:00:48.000]   but generally speaking 1 through 39 establishes why judgment
[00:00:48.000 --> 00:00:52.000]   is coming. And then chapter 40
[00:00:52.000 --> 00:00:56.000]   to 66 establishes why the need for the Messiah, why is the
[00:00:56.000 --> 00:01:00.000]   Messiah coming, right? So if we were to kind of put it in another way,
[00:01:00.000 --> 00:01:04.000]   basically chapter 1 through 39 is the Old Testament, and
[00:01:04.000 --> 00:01:08.000]   chapter 40 through 66 is the New Testament, if you want to see it in
[00:01:08.000 --> 00:01:12.000]   a kind of broad picture. So if you skim
[00:01:12.000 --> 00:01:16.000]   through the 39 chapters, then by the time we come to the Messiah we're going to
[00:01:16.000 --> 00:01:20.000]   say, "Oh, it's great the Messiah came." But if you kind of wrestle through
[00:01:20.000 --> 00:01:24.000]   what He was saying, and wrestle through why judgment is coming, there's a reason why God
[00:01:24.000 --> 00:01:28.000]   spends so much time detailing why the sin,
[00:01:28.000 --> 00:01:32.000]   why the judgment, how the judgment is coming, what the sin looks like, what God thinks about
[00:01:32.000 --> 00:01:36.000]   the sin, right? So that by the time we come and He begins to introduce the Messiah,
[00:01:36.000 --> 00:01:40.000]   that there is a clear answer to all of this
[00:01:40.000 --> 00:01:44.000]   problem, right? So if you don't know the problem well, you're not going to know the
[00:01:44.000 --> 00:01:48.000]   answer well either, right? If you skim through the sin, you're
[00:01:48.000 --> 00:01:52.000]   not going to, by the time you come to salvation, it's going to be like, "Oh yeah, He just saved us.
[00:01:52.000 --> 00:01:56.000]   We were bad, He saved us because we were bad." Right?
[00:01:56.000 --> 00:02:00.000]   There's a reason why God spends two-thirds of the Old Testament
[00:02:00.000 --> 00:02:04.000]   talking about and studying through the judgment that's coming upon
[00:02:04.000 --> 00:02:08.000]   the world, right? The curses. So again,
[00:02:08.000 --> 00:02:12.000]   I know some of you guys are having a hard time going through Isaiah, you're kind of like,
[00:02:12.000 --> 00:02:16.000]   "Oh, I don't get it. It's kind of all over the place." I told you from the beginning that Isaiah is like
[00:02:16.000 --> 00:02:20.000]   that. It's not organized thematically, like chapter 1, 2,
[00:02:20.000 --> 00:02:24.000]   3 is this and 4, 5, 6 is like that. He jumps around. Even historically,
[00:02:24.000 --> 00:02:28.000]   sometimes He'll talk about something. Remember Isaiah chapter 6 is
[00:02:28.000 --> 00:02:32.000]   about the calling of Isaiah? You know, you would think that would
[00:02:32.000 --> 00:02:36.000]   begin at the beginning of the book, but it actually happens in chapter 6. The whole book
[00:02:36.000 --> 00:02:40.000]   is like that. He'll just kind of interject thematically where He feels like it's the best place
[00:02:40.000 --> 00:02:44.000]   to come in. So if you feel like, "You know, I don't get the flow of
[00:02:44.000 --> 00:02:48.000]   Isaiah." Don't worry about it, okay? Just know the chapters that we're
[00:02:48.000 --> 00:02:52.000]   studying, what is the theme of that, okay? And then hopefully
[00:02:52.000 --> 00:02:56.000]   later on, next time you read it, you'll see a little bit better connection.
[00:02:56.000 --> 00:03:00.000]   But from the beginning, if you try to swallow or digest too much, you're going to end up not
[00:03:00.000 --> 00:03:04.000]   catching even the smaller stuff, okay? So if you're wrestling with that, don't feel
[00:03:04.000 --> 00:03:08.000]   too bad. Just kind of pay attention to what's in front of you. And another thing I want to remind
[00:03:08.000 --> 00:03:12.000]   you is that Isaiah is not one of those studies that if you come in
[00:03:12.000 --> 00:03:16.000]   not prepared, right? If you come in not prepared, just kind of
[00:03:16.000 --> 00:03:20.000]   you skim through it and you don't really know what's going on in the chapters that we're studying,
[00:03:20.000 --> 00:03:24.000]   it's going to be very difficult for you to catch because I'm not there going to say, "Look at
[00:03:24.000 --> 00:03:28.000]   verse 3 and what does that word mean and how it relates to this verse?" Because we're going over
[00:03:28.000 --> 00:03:32.000]   two, sometimes four chapters at a time. And in the 30, 40
[00:03:32.000 --> 00:03:36.000]   minutes that we have, there is no way that we're going to be able to do it expositionally like that.
[00:03:36.000 --> 00:03:40.000]   So I have to just assume that the questions that I ask you, you're wrestling, at least
[00:03:40.000 --> 00:03:44.000]   you know when I mention it that you know what I'm talking about, right?
[00:03:44.000 --> 00:03:48.000]   So again, just as a reminder, there's a reason why the Bible studies
[00:03:48.000 --> 00:03:52.000]   have been divided that way so that you guys can take plenty
[00:03:52.000 --> 00:03:56.000]   of time to wrestle with it so that we can unpack what you wrestled with. But if you didn't
[00:03:56.000 --> 00:04:00.000]   wrestle with it before you came, when we unpack it, it's going to be a lot harder for you to
[00:04:00.000 --> 00:04:04.000]   grasp. Okay? Just as a reminder. Now having said that,
[00:04:04.000 --> 00:04:08.000]   chapter 40 and on is a little bit easier. It's easier
[00:04:08.000 --> 00:04:12.000]   because it is, one, the theme is about restoration
[00:04:12.000 --> 00:04:16.000]   and secondly, there is a little bit more connection
[00:04:16.000 --> 00:04:20.000]   in 40 and on than there is the first 39 chapters. And we'll see that
[00:04:20.000 --> 00:04:24.000]   when we go. Okay? Alright, so let's jump into
[00:04:24.000 --> 00:04:28.000]   chapter 34 and 35. Chapter 34 and 35
[00:04:28.000 --> 00:04:32.000]   is connected to the previous chapters where it's talking about the judgment.
[00:04:32.000 --> 00:04:36.000]   Chapter 34, right, who's
[00:04:36.000 --> 00:04:40.000]   God's judgment directed toward in verses 1 through 7?
[00:04:40.000 --> 00:04:44.000]   Even though it is, if you look into
[00:04:44.000 --> 00:04:48.000]   details, it's probably related to the Assyrians. But again,
[00:04:48.000 --> 00:04:52.000]   it's not just to them. If you look at the language, it's very public.
[00:04:52.000 --> 00:04:56.000]   He says, "Draw near, O nations, O hear, and give attention, O peoples."
[00:04:56.000 --> 00:05:00.000]   In other words, he's about to bring judgment, but this is
[00:05:00.000 --> 00:05:04.000]   not done privately. And it is not done in secret. He's telling
[00:05:04.000 --> 00:05:08.000]   the whole nations, what I'm about to do, I'm doing it very publicly.
