
[00:00:00.000 --> 00:00:04.000]   [audio cuts out]
[00:00:04.000 --> 00:00:10.800]   the various cultures that are more expressive, dramatic, and passionate.
[00:00:10.800 --> 00:00:15.600]   And I think about those who perhaps, maybe in the Old Testament, saints who,
[00:00:15.600 --> 00:00:19.800]   when they feel conviction, they would tear their clothes, throw ash in the air,
[00:00:19.800 --> 00:00:22.800]   and cover themselves with sackcloth.
[00:00:22.800 --> 00:00:26.600]   They're a lot more expressive than perhaps our generation is.
[00:00:26.600 --> 00:00:30.400]   And I also think about how, in previous generations,
[00:00:30.400 --> 00:00:36.400]   when someone would have a grievance, they would do things like burn books or burn a flag, you know?
[00:00:36.400 --> 00:00:42.600]   And did you know that for the longest time in American history, it was illegal to do such a thing?
[00:00:42.600 --> 00:00:46.400]   To be expressive enough to burn the American flag.
[00:00:46.400 --> 00:00:52.400]   With the rise of just more freedom and people fighting for freedom of speech, it's not illegal anymore.
[00:00:52.400 --> 00:00:57.200]   And there's two camps who debate back and forth, is it right, is it not?
[00:00:57.200 --> 00:01:05.000]   But both agree that that act is a strong symbolic statement, right?
[00:01:05.000 --> 00:01:07.600]   And there's meaning behind what we do.
[00:01:07.600 --> 00:01:12.400]   And likewise for us, I would like us to think about the idea of symbolism,
[00:01:12.400 --> 00:01:19.600]   and how symbolism tries to get all of our attention upon the meaning of what we're doing.
[00:01:19.600 --> 00:01:25.000]   There's a passage in 1 Peter 3, verse 21-22 that says this,
[00:01:25.000 --> 00:01:29.000]   "Baptism, which corresponds to this, now saves you,
[00:01:29.000 --> 00:01:34.000]   not as a removal of dirt from the body, but as an appeal to God for a good conscience
[00:01:34.000 --> 00:01:39.200]   through the resurrection of Jesus Christ, who has gone into heaven and is at the right hand of God,
[00:01:39.200 --> 00:01:43.400]   with angels' authorities and powers having been subjected to him."
[00:01:43.400 --> 00:01:50.600]   So, this passage is quite profound because it says here, "Baptism now saves you."
[00:01:50.600 --> 00:01:54.200]   So does this baptism save the people who are being baptized?
[00:01:54.200 --> 00:01:55.600]   Obviously not.
[00:01:55.600 --> 00:02:00.200]   He says very clearly that the mechanical act of going into the water and coming out,
[00:02:00.200 --> 00:02:05.800]   yes, you might get clean, you might get wet, but it doesn't save you.
[00:02:05.800 --> 00:02:12.800]   But what it does do is explicitly tells us what is true of them spiritually.
[00:02:12.800 --> 00:02:20.200]   These individuals are trying to express, proclaim, and tell us what's true of them that we can't see with our eyes.
[00:02:20.200 --> 00:02:26.000]   And so today, they hope to not necessarily be saved by the baptism,
[00:02:26.000 --> 00:02:29.800]   but in their baptism, they're following through with what is already a reality.
[00:02:29.800 --> 00:02:35.600]   What is already a reality in their inner person, what is already a reality in what God has done for them.
[00:02:35.600 --> 00:02:43.000]   The physical baptism represents that they have repented and appealed, it says, to God for forgiveness of their sin.
[00:02:43.000 --> 00:02:49.000]   And that this is made possible by the death, the burial, and the resurrection of Christ.
[00:02:49.000 --> 00:02:56.400]   And so because of what this means, today actually, I mean, although, yes, the baptism does not save them,
[00:02:56.400 --> 00:02:58.600]   we wouldn't change what we do.
[00:02:58.600 --> 00:03:04.600]   I mean, perhaps before you guys got to this worship service, you guys thought, "Wow, 12 people.
[00:03:04.600 --> 00:03:09.800]   Typically, we have anywhere from six to seven, so 12, it can be a little bit long."
[00:03:09.800 --> 00:03:13.600]   Well, my thing, to make this more efficient, let's just stand them up here in a row,
[00:03:13.600 --> 00:03:17.800]   take a garden hose and just hose them down, you know, all together.
[00:03:17.800 --> 00:03:20.000]   But obviously, what would that mean?
[00:03:20.000 --> 00:03:27.400]   What would that signify for them, that opportunity they get to proclaim and profess the name of Christ and their union with them?
[00:03:27.400 --> 00:03:30.200]   How would it express that, right?
[00:03:30.200 --> 00:03:32.000]   How would it communicate?
[00:03:32.000 --> 00:03:36.800]   And so, with that said, there's actually an encouragement for all of us.
[00:03:36.800 --> 00:03:43.400]   If we have truly been clothed with Christ, if we've truly been united with Him, if His death is my death,
[00:03:43.400 --> 00:03:50.200]   if His resurrection truly is my resurrection and my victory, then we actually need to proclaim that as well.
[00:03:50.200 --> 00:03:57.400]   Whether it's already in baptism you've done, and also in our daily lives, there is this admonition for us.
[00:03:57.400 --> 00:04:04.000]   We need to be expressive. If we're not passionate and we're not dramatic people, that's okay.
[00:04:04.000 --> 00:04:09.800]   But when things matter, when certain things mean something so weighty and so powerful,
[00:04:09.800 --> 00:04:11.400]   there has to be expressed in our lives.
[00:04:11.400 --> 00:04:16.400]   It cannot be something hidden. It cannot be something that only I know, right?
[00:04:16.400 --> 00:04:25.800]   But rather, this gospel message that's true for us, God has ordained that we would share it and shine it as a light to the rest of the world. Amen?
[00:04:25.800 --> 00:04:30.600]   So today what we have is the 12 brothers and sisters taking their time,
