
[00:00:00.000 --> 00:00:04.000]   (Pause)
[00:00:04.000 --> 00:00:09.300]   Alright, if you can turn your Bibles with me to Romans 6.
[00:00:09.300 --> 00:00:11.400]   We're going to be mainly focused on verse 8-11,
[00:00:11.400 --> 00:00:18.260]   but let's read from verse 5-11 this morning.
[00:00:18.260 --> 00:00:19.700]   Reading out of the ESV,
[00:00:19.700 --> 00:00:22.960]   "For if we have been united with Him in a death like His,
[00:00:22.960 --> 00:00:26.800]   we shall certainly be united with Him in a resurrection like His.
[00:00:26.800 --> 00:00:29.160]   We know that our old self was crucified with Him
[00:00:29.160 --> 00:00:31.800]   in order that the body of sin might be brought to nothing,
[00:00:31.800 --> 00:00:34.700]   so that we would no longer be enslaved to sin.
[00:00:34.700 --> 00:00:37.600]   For one who has died has been set free from sin.
[00:00:37.600 --> 00:00:39.200]   Now if we have died with Christ,
[00:00:39.200 --> 00:00:41.700]   we believe that we will also live with Him.
[00:00:41.700 --> 00:00:43.400]   We know that Christ being raised from the dead
[00:00:43.400 --> 00:00:44.460]   will never die again.
[00:00:44.460 --> 00:00:47.060]   Death no longer has dominion over Him.
[00:00:47.060 --> 00:00:49.760]   For the death He died, He died to sin once for all.
[00:00:49.760 --> 00:00:52.000]   But the life He lives, He lives to God.
[00:00:52.000 --> 00:00:54.900]   So you also must consider yourselves dead to sin
[00:00:54.900 --> 00:00:56.860]   and alive to God in Christ Jesus."
[00:00:56.860 --> 00:01:03.060]   Let's pray.
[00:01:03.060 --> 00:01:05.600]   Heavenly Father, we thank You again for this morning.
[00:01:05.600 --> 00:01:09.100]   We pray, Father God, that You would anoint Your Word,
[00:01:09.100 --> 00:01:12.700]   You would soften our hearts, open our ears,
[00:01:12.700 --> 00:01:15.360]   and we pray, Lord God, that as we have come to worship You,
[00:01:15.360 --> 00:01:18.400]   that it would truly be from the bottom of our hearts.
[00:01:18.400 --> 00:01:20.840]   I pray that Your name may be exalted,
[00:01:20.840 --> 00:01:24.040]   that Your children may be able to hear from You,
[00:01:24.040 --> 00:01:25.160]   and You alone.
[00:01:25.160 --> 00:01:26.660]   We thank You in Jesus' name, we pray.
[00:01:26.660 --> 00:01:30.100]   Amen.
[00:01:30.100 --> 00:01:34.500]   You know, years ago when I was young in marriage,
[00:01:34.500 --> 00:01:36.660]   I think I was about two or three years in marriage,
