
[00:00:00.000 --> 00:00:05.000]   - Hi everybody.
[00:00:05.000 --> 00:00:07.760]   We're gonna jump right into our Bible study today.
[00:00:07.760 --> 00:00:11.320]   And today I don't have a PowerPoint for us.
[00:00:11.320 --> 00:00:14.280]   We're gonna be walking through a big,
[00:00:14.280 --> 00:00:16.200]   like many chunks of scripture.
[00:00:16.200 --> 00:00:18.080]   So please get your Bibles handy.
[00:00:18.080 --> 00:00:22.800]   And by way of kind of wrapping things
[00:00:22.800 --> 00:00:26.440]   and connecting the dots of what we've been studying.
[00:00:26.440 --> 00:00:30.160]   We've been studying about having a high view of God, right?
[00:00:30.160 --> 00:00:32.040]   And another way you can phrase that is,
[00:00:32.040 --> 00:00:34.200]   we've been studying about the holiness,
[00:00:34.200 --> 00:00:39.200]   the character traits, you know, the aspect of who God is.
[00:00:39.200 --> 00:00:40.660]   And another way you can phrase that is,
[00:00:40.660 --> 00:00:43.840]   we've been just studying an accurate view of God.
[00:00:43.840 --> 00:00:47.520]   We've been seeing, we've been trying to see him as he is.
[00:00:47.520 --> 00:00:50.480]   And how that's effective or how that affects
[00:00:50.480 --> 00:00:53.560]   our personal lives and our corporate lives as well, okay?
[00:00:53.560 --> 00:00:56.720]   So the idea is to see God in a high way
[00:00:56.720 --> 00:00:59.520]   is essentially to see him in an accurate way.
[00:00:59.520 --> 00:01:02.480]   And I wanna use this term accuracy
[00:01:02.480 --> 00:01:05.520]   to emphasize what we're gonna be talking about today.
[00:01:05.520 --> 00:01:08.720]   Because in order to have an accurate view of God,
[00:01:08.720 --> 00:01:11.800]   we absolutely have to have an accurate view
[00:01:11.800 --> 00:01:13.620]   of the word of God, right?
[00:01:13.620 --> 00:01:17.720]   We have to have an accurate understanding of the scriptures.
[00:01:17.720 --> 00:01:21.200]   And so today's main question is going to be,
[00:01:21.200 --> 00:01:24.520]   how do you view scripture, right?
[00:01:24.520 --> 00:01:28.720]   Now, there is just a basic question of how we ought to view,
[00:01:28.720 --> 00:01:30.940]   we should view scriptures highly.
[00:01:30.940 --> 00:01:32.340]   Just as we view God highly,
[00:01:32.340 --> 00:01:34.400]   we need to view the scriptures highly.
[00:01:34.400 --> 00:01:38.680]   But I hope that today would be an evaluation very deeply
[00:01:38.680 --> 00:01:41.800]   about your own personal heart and your faith
[00:01:41.800 --> 00:01:43.640]   of how you view the word of the Lord.
[00:01:43.640 --> 00:01:47.440]   The interesting thing about the word of God
[00:01:48.360 --> 00:01:52.280]   is that in a tangible humanistic sense,
[00:01:52.280 --> 00:01:54.760]   what we have before us is a book, right?
[00:01:54.760 --> 00:01:57.520]   Like many others.
[00:01:57.520 --> 00:01:59.400]   Other religions have scriptures.
[00:01:59.400 --> 00:02:02.700]   In a secular way, in a secular fashion,
[00:02:02.700 --> 00:02:05.800]   humanistically speaking, we have a collection of writing
[00:02:05.800 --> 00:02:07.280]   that's been handed down,
[00:02:07.280 --> 00:02:11.040]   just like many other books are handed down.
[00:02:11.040 --> 00:02:13.240]   And so the unbelieving world sees the scriptures
[00:02:13.240 --> 00:02:15.460]   like this is scripture.
[00:02:15.460 --> 00:02:17.080]   Yes, it's sacred.
[00:02:17.080 --> 00:02:20.480]   Yes, people revere it, but it's just writing.
[00:02:20.480 --> 00:02:23.280]   We might call it perhaps a collection of quotes.
[00:02:23.280 --> 00:02:27.240]   We might call it perhaps a collection of moral teaching,
