
[00:00:00.000 --> 00:00:10.620]   All right, we're gonna jump into the text in Romans chapter 7 verse 13 through 25
[00:00:10.620 --> 00:00:15.080]   Elder Joe read that passage for us, but I'm gonna read it again
[00:00:15.080 --> 00:00:20.960]   And I'm let me set this up before we get in okay
[00:00:20.960 --> 00:00:25.240]   If you came in this morning just kind of casually, I don't want to be engaged
[00:00:25.240 --> 00:00:28.760]   Just tell me the truth the application today
[00:00:29.440 --> 00:00:31.000]   Is gonna be a hard time
[00:00:31.000 --> 00:00:31.500]   Okay
[00:00:31.500 --> 00:00:36.200]   Because the text that we're looking at as I was wrestling with this tax and how to present it
[00:00:36.200 --> 00:00:39.480]   Because there's so much going on here and so much to discuss
[00:00:39.480 --> 00:00:44.840]   that if I just jump to the conclusion it may cause more confusion because again because of
[00:00:44.840 --> 00:00:47.480]   what this text
[00:00:47.480 --> 00:00:48.520]   contains
[00:00:48.520 --> 00:00:49.580]   This is again
[00:00:49.580 --> 00:00:54.020]   I one of the key questions that I asked if you again if you're not in the habit of going on Facebook to check
[00:00:54.160 --> 00:00:59.760]   Either on Friday or Saturday to see what the message is gonna be and I usually put up about two or three questions
[00:00:59.760 --> 00:01:01.840]   To prepare you for Sunday message
[00:01:01.840 --> 00:01:06.300]   It'll help you to be better listeners and you'll get more out of the sermons if you do do that
[00:01:06.300 --> 00:01:12.520]   But today in particular the main question that I asked is is this a Christian or non-christian?
[00:01:12.520 --> 00:01:14.800]   is Paul speaking as a
[00:01:14.800 --> 00:01:16.880]   Christian and
[00:01:16.880 --> 00:01:21.920]   Frustration with with wrestling with sin as a Christian or is he talking about a non-christian experience?
[00:01:22.600 --> 00:01:24.600]   Connected to what he's been saying previously
[00:01:24.600 --> 00:01:28.920]   Okay. Now, let me just tell you right off the bat in
[00:01:28.920 --> 00:01:35.840]   Church history in the last 2,000 years, you know, there's been kind of shifts in opinions back and forth
[00:01:35.840 --> 00:01:39.480]   Early on right off the bat the early church
