
[00:00:00.000 --> 00:00:12.560]   If you can turn your Bibles to Romans chapter 8 verses 5 through 11, Romans chapter 8 verses 5
[00:00:12.560 --> 00:00:17.080]   through 11, we're going to be continuing on the subject of the Holy Spirit and the law and the
[00:00:17.080 --> 00:00:24.480]   flesh. Again, all of these messages really needs to be understood all together because it is
[00:00:24.480 --> 00:00:28.440]   connected. Paul is making an argument, obviously all the whole book of Romans is written like that,
[00:00:28.440 --> 00:00:34.280]   but in particular chapter 6, 7, and 8, because if you just come in in the middle, some of the stuff
[00:00:34.280 --> 00:00:40.240]   may not make a whole lot of sense. Not that you're not going to be able to understand it, but really
[00:00:40.240 --> 00:00:45.080]   you need to kind of get the mindset of what he said and then what he's going to say. So again,
[00:00:45.080 --> 00:00:48.600]   just to give you a heads up that what we're talking about in the Holy Spirit today, it is
[00:00:48.600 --> 00:00:54.440]   not comprehensive. It is a part of what he says in the larger picture. So I'm sure a lot of questions
[00:00:54.440 --> 00:00:59.800]   may come up, but some of those things will be addressed in the later part of the book of Romans.
[00:00:59.800 --> 00:01:06.120]   Romans chapter 8 verse 5 through 11, "For those who live according to the flesh set their minds
[00:01:06.120 --> 00:01:09.360]   in the things of the flesh, but those who live according to the Spirit set their minds in the
[00:01:09.360 --> 00:01:14.240]   things of the Spirit. For to set the mind on the flesh is death, but to set the mind on the Spirit
[00:01:14.240 --> 00:01:19.040]   is life and peace. For the mind that is set on the flesh is hostile to God, for it does not submit
[00:01:19.040 --> 00:01:25.480]   to God's law. Indeed, it cannot, those who are in the flesh cannot please God. You, however, are not
[00:01:25.480 --> 00:01:30.160]   in the flesh, but in the Spirit, if in fact the Spirit of God dwells in you. Anyone who does not
[00:01:30.160 --> 00:01:35.520]   have the Spirit of Christ does not belong to him. But if Christ is in you, although the body is
[00:01:35.520 --> 00:01:40.240]   dead because of sin, the Spirit is life because of righteousness. If the Spirit of him who raised
[00:01:40.240 --> 00:01:45.240]   Jesus from the dead dwells in you, he who raised Christ Jesus from the dead will also give life to
[00:01:45.240 --> 00:01:56.880]   your mortal bodies through his Spirit who dwells in you." Let's pray. Gracious Father, we pray that
[00:01:56.880 --> 00:02:07.080]   your Word would be your words, Lord God, and not mine, not man's, not our opinions, but the authority
[00:02:07.080 --> 00:02:13.040]   that you have placed. I pray, Father God, that your Word would go forth. Cause us to see clearly who
[00:02:13.040 --> 00:02:19.000]   you are, what it is that we have in Christ. That our understanding of the gift of the Spirit, our
[00:02:19.000 --> 00:02:25.920]   salvation, Christ crucified, all of these things, Lord God, that may be correctly understood. That
[00:02:25.920 --> 00:02:31.000]   our minds, our thoughts, and our worship may be thoroughly influenced, Lord God, by who you are.
[00:02:31.000 --> 00:02:37.640]   We ask for your anointing over this time. In Jesus' name we pray. Amen. As we've been talking about
