
[00:00:00.000 --> 00:00:08.400]   Okay, all right.
[00:00:08.400 --> 00:00:15.440]   Well let us take a moment to turn our Bibles over to 1 Peter chapter 5, verse 1 through
[00:00:15.440 --> 00:00:18.320]   4.
[00:00:18.320 --> 00:00:20.640]   And I'll read the section for us.
[00:00:20.640 --> 00:00:25.680]   We'll pray and jump into our study for tonight, okay?
[00:00:25.680 --> 00:00:32.280]   It says, "Therefore I exhort the elders among you, as your fellow elder and witness of the
[00:00:32.280 --> 00:00:37.640]   suffering of Christ, and a partaker also of the glory that is to be revealed, shepherd
[00:00:37.640 --> 00:00:43.800]   the flock of God among you, exercising oversight not under compulsion, but voluntarily according
[00:00:43.800 --> 00:00:48.680]   to the will of God, not for sword gain, but with eagerness.
[00:00:48.680 --> 00:00:53.300]   Nor yet as lording it over those allotted to your charge, but proving to be examples
[00:00:53.300 --> 00:00:58.340]   to the flock, and when the chief shepherd appears, you will receive the unfading crown
[00:00:58.340 --> 00:00:59.340]   of glory."
[00:00:59.340 --> 00:01:00.340]   Amen.
[00:01:00.340 --> 00:01:01.340]   Let's take a moment to pray.
[00:01:01.340 --> 00:01:07.160]   All right, God, we want to ask again, Lord, that you would truly by your Spirit enlighten
[00:01:07.160 --> 00:01:13.580]   our eyes, that you would move in our hearts so that both our affection, our commitment,
[00:01:13.580 --> 00:01:16.720]   and our minds would really draw near to your word.
[00:01:16.720 --> 00:01:24.580]   Father, we are praying that as we talk today about church, the leadership, ministry, I
[00:01:24.580 --> 00:01:28.900]   ask, Lord, that you grant to us just a great vision of what you are doing, Lord.
[00:01:28.900 --> 00:01:30.900]   We thank you in Christ's name.
[00:01:30.900 --> 00:01:31.900]   Amen.
[00:01:31.900 --> 00:01:35.780]   I'm going to give a silly introduction.
[00:01:35.780 --> 00:01:41.880]   So have you guys seen that TV show, The Dog Whisperer, Cesar Millan, who does an amazing
[00:01:41.880 --> 00:01:49.380]   job imitating dogs, but he also does an amazing job basically transforming troublesome pets,
[00:01:49.380 --> 00:01:50.580]   troublesome dogs.
[00:01:50.580 --> 00:01:54.660]   So you've got this wild like chihuahua or whatever who's like, "Brrr."
[00:01:54.660 --> 00:01:59.260]   And then the owner is so sad, and every time I watch those episodes, you know, owners are
[00:01:59.260 --> 00:02:03.180]   crying and me not being a pet person, I'm just like, "Why?
[00:02:03.180 --> 00:02:05.340]   Why would you put yourself through that?"
[00:02:05.340 --> 00:02:08.700]   Well, anyway, the owner is all crying and wondering, "Should I let go of my animal
[00:02:08.700 --> 00:02:09.700]   or not?
[00:02:09.700 --> 00:02:12.020]   Should I give it one last try?
[00:02:12.020 --> 00:02:13.020]   Call Cesar Millan."
[00:02:13.020 --> 00:02:15.260]   So Cesar Millan shows up and the dog is all crazy.
[00:02:15.260 --> 00:02:16.420]   He like bites people.
[00:02:16.420 --> 00:02:19.660]   He yarps and yells and barks and all that stuff.
[00:02:19.660 --> 00:02:23.220]   And the owner is like, "See, I can't handle this anymore."
[00:02:23.220 --> 00:02:28.660]   And then Cesar Millan comes over and it's like, you know, and the dog is just like,
[00:02:28.660 --> 00:02:32.180]   and everything's like crazy, like transformation immediately.
[00:02:32.180 --> 00:02:35.220]   And I think that's the draw of the whole TV show, right?
[00:02:35.220 --> 00:02:38.020]   Because after you watch one, like every episode is the same.
[00:02:38.020 --> 00:02:43.540]   But anyway, what ends up happening is there's a moment when Cesar Millan looks at the dog
[00:02:43.540 --> 00:02:48.500]   and he's like, "Oh, he's just been X, Y, and Z, and he needs to be in this pack."
[00:02:48.500 --> 00:02:52.620]   And then he goes, "But you have to be a good pack leader," right?
[00:02:52.620 --> 00:02:55.660]   And he's like, "Why aren't you calm and assertive?
[00:02:55.660 --> 00:02:58.020]   And why aren't you being a good leader?"
[00:02:58.020 --> 00:02:59.020]   Right?
[00:02:59.020 --> 00:03:03.620]   Well, here's an interesting thing is we've been talking about, you know, congregation,
[00:03:03.620 --> 00:03:05.460]   congregations, should I say.
[00:03:05.460 --> 00:03:10.060]   Because remember he's addressing flocks in different areas, different regions of Macedonia,
[00:03:10.060 --> 00:03:11.380]   different regions of Asia.
[00:03:11.380 --> 00:03:15.140]   And he says to these churches, you know, in the midst of your suffering, and he had said
[00:03:15.140 --> 00:03:20.580]   a lot, and we studied a lot, everything from this is your great gospel you have, this is
[00:03:20.580 --> 00:03:24.020]   the preciousness of the truth you have, and the great salvation you have.
[00:03:24.020 --> 00:03:26.780]   You know, this is the high calling of God in the midst of your suffering.
[00:03:26.780 --> 00:03:28.180]   This is God's purpose for you.
[00:03:28.180 --> 00:03:31.580]   This is what God is doing, and all this kind of stuff, right?
[00:03:31.580 --> 00:03:37.820]   But then here in chapter 5, he says, "Therefore," and then he looks at the elders, and he says,
[00:03:37.820 --> 00:03:39.660]   "I charge you.
[00:03:39.660 --> 00:03:42.220]   I exhort you," right?
[00:03:42.220 --> 00:03:46.780]   And here and now we come to this portion where the exhortation of Apostle Peter is very,
[00:03:46.780 --> 00:03:48.780]   very strong and emphatic.
[00:03:48.780 --> 00:03:52.020]   As a matter of fact, in some of your translations it might be a little bit different.
[00:03:52.020 --> 00:03:57.660]   The first point we're looking at is his exhortation, and the NIV says like, "I appeal to you,"
[00:03:57.660 --> 00:03:58.660]   you know?
[00:03:58.660 --> 00:03:59.660]   In some translations, "I urge you."
[00:03:59.660 --> 00:04:05.700]   The NASB, the one I'm studying off of, will say, "I exhort you," you know?
[00:04:05.700 --> 00:04:07.020]   And what is this command?
[00:04:07.020 --> 00:04:10.420]   It's to shepherd the flock among you.
[00:04:10.420 --> 00:04:14.780]   So this passage was kind of an interesting passage to study, and in many ways as I'm
[00:04:14.780 --> 00:04:17.700]   studying and I'm preaching at myself, you know?
[00:04:17.700 --> 00:04:23.100]   But I just want to introduce it by saying there is a time when as Apostle Peter is addressing
[00:04:23.100 --> 00:04:29.100]   the congregation, here and now it's very clear he's addressing the leadership, right?
[00:04:29.100 --> 00:04:35.500]   And in so doing, he's going to give various commands, but we could all benefit from learning.
[00:04:35.500 --> 00:04:42.260]   As he's explaining the task at hand, as he's explaining how they're supposed to lead, we
[00:04:42.260 --> 00:04:48.640]   actually get an exhortation for all of us that we, as we participate in the ministry
[00:04:48.640 --> 00:04:54.540]   of God's kingdom, what kind of attitude, you know, what we're buying into, what kind of
[00:04:54.540 --> 00:04:59.780]   tasks God has given to the church, or maybe even specifically to the leadership of the
[00:04:59.780 --> 00:05:04.740]   church, that we might not go against it, but that we might be fully engaged into the work
[00:05:04.740 --> 00:05:07.060]   of ministry, okay?
[00:05:07.060 --> 00:05:09.220]   So let's take a look here again.
[00:05:09.220 --> 00:05:14.060]   He says, "Therefore I exhort you, the elders among you, as your fellow elder, witnesses
[00:05:14.060 --> 00:05:19.180]   of the sufferings of Christ, and partake also of the glory that is revealed, shepherd the
[00:05:19.180 --> 00:05:22.180]   flock of God among you," right?
[00:05:22.180 --> 00:05:23.860]   That's what it had said.
[00:05:23.860 --> 00:05:31.500]   Now here's one of the questions that I'd asked you to do was to look at the passage and ask,
[00:05:31.500 --> 00:05:36.380]   "Hmm, what is the characteristic, the character traits of a good shepherd?"
[00:05:36.380 --> 00:05:37.460]   Right?
[00:05:37.460 --> 00:05:42.500]   And actually there's a lot to glean even just from verse 1 and that first little section
[00:05:42.500 --> 00:05:45.460]   of verse 2, the command itself.
[00:05:45.460 --> 00:05:47.100]   Let's take a look really quick.
[00:05:47.100 --> 00:05:52.780]   The first element that I observe is this, "A good shepherd must understand," sorry,
[00:05:52.780 --> 00:06:00.420]   "A good shepherd understands the common witness and hope of all saints, but understands the
[00:06:00.420 --> 00:06:02.580]   weight of his responsibility."
[00:06:02.580 --> 00:06:04.220]   Okay?
[00:06:04.220 --> 00:06:08.820]   So the first element of a good shepherd that I observed just from verse 1 is that a good
[00:06:08.820 --> 00:06:15.020]   shepherd understands the common witness and hope of all saints, but understands the weight
[00:06:15.020 --> 00:06:17.340]   of his responsibility.
[00:06:17.340 --> 00:06:23.260]   He understands that what has been delegated to him is a great, serious exhortation.
[00:06:23.260 --> 00:06:25.260]   It's an incredible stewardship.
[00:06:25.260 --> 00:06:28.700]   It is to shepherd the flock of God, right?
[00:06:28.700 --> 00:06:30.780]   To shepherd the flock of God.
[00:06:30.780 --> 00:06:36.840]   And the way that you see Apostle Peter talking is in line with this concept that he received
[00:06:36.840 --> 00:06:41.060]   from Jesus Christ himself when Jesus was resurrected.
[00:06:41.060 --> 00:06:42.460]   Do you recall?
