
[00:00:00.000 --> 00:00:09.200]   All right, let's start.
[00:00:09.200 --> 00:00:14.320]   All right, we're looking at Revelations chapter 9.
[00:00:14.320 --> 00:00:21.480]   We're looking at the two of the three woes, the fifth and sixth trumpets.
[00:00:21.480 --> 00:00:26.960]   Okay, so we're going to be dealing with, again, the in between the sixth and seventh, and
[00:00:26.960 --> 00:00:29.360]   then seventh and on afterwards.
[00:00:29.360 --> 00:00:30.760]   Let me pray for us before we get in.
[00:00:30.760 --> 00:00:37.360]   Gracious and loving Father, we thank you for this evening.
[00:00:37.360 --> 00:00:44.280]   We pray, Father, that you would continue to draw your people to yourself, help us to lean
[00:00:44.280 --> 00:00:50.120]   on you and not on our own efforts or our own understanding.
[00:00:50.120 --> 00:00:56.560]   I pray, Father God, that your word would come alive and strengthen and empower us, Lord
[00:00:56.560 --> 00:00:57.560]   God.
[00:00:57.560 --> 00:01:00.760]   And this is time to you, Lord, in Jesus' name we pray, amen.
[00:01:00.760 --> 00:01:01.840]   Can somebody do me a favor?
[00:01:01.840 --> 00:01:05.480]   You know the glass doors over there because all the AC is on?
[00:01:05.480 --> 00:01:11.880]   If we have both of them opened, all the AC cold air will go out.
[00:01:11.880 --> 00:01:12.880]   Okay.
[00:01:12.880 --> 00:01:23.960]   All right, if we're looking at Revelation chapter 6, 1 through 21.
[00:01:23.960 --> 00:01:26.240]   Okay.
[00:01:26.240 --> 00:01:31.880]   So the first four, again, on the top of the page, the first four trumpet plagues only
[00:01:31.880 --> 00:01:33.200]   took six verses to cover.
[00:01:33.200 --> 00:01:35.600]   If you remember, it was pretty rapid fire.
[00:01:35.600 --> 00:01:40.800]   It was kind of like the first part of it was the seventh seal, and then as soon as that
[00:01:40.800 --> 00:01:44.320]   was done, we jumped into the trumpets.
[00:01:44.320 --> 00:01:47.520]   And then the first four trumpets, it was pretty rapid fire.
[00:01:47.520 --> 00:01:50.640]   In fact, it only covered six verses from one after another.
[00:01:50.640 --> 00:01:55.920]   But we're getting into the last time chapter 8 finished was saying that there's three woes
[00:01:55.920 --> 00:01:56.920]   coming.
[00:01:56.920 --> 00:01:59.000]   And it says, "Woe, woe, woe is coming."
[00:01:59.000 --> 00:02:02.200]   And so it signified the intensity of the judgment that's coming.
[00:02:02.200 --> 00:02:07.120]   And so if you've read through it and you studied it before you came, you already know that
[00:02:07.120 --> 00:02:11.400]   what we're covering today is far more intense than what happened prior.
[00:02:11.400 --> 00:02:16.360]   So there's an increasing level of judgment upon each one of these trumpets.
[00:02:16.360 --> 00:02:21.600]   And so we're going to be covering the two, and then the third and the significant woe
[00:02:21.600 --> 00:02:22.600]   that's coming.
[00:02:22.600 --> 00:02:26.280]   And so again, it keeps increasing, and then by the time we get to the seal judgments,
[00:02:26.280 --> 00:02:27.520]   it's even more intense than that.
[00:02:27.520 --> 00:02:32.520]   So you can imagine, if you haven't read, you can imagine just how intense it will be that
[00:02:32.520 --> 00:02:38.800]   up to this point, a third of humanity is killed and tortured, and yet the third woe hasn't
[00:02:38.800 --> 00:02:39.800]   even come yet.
[00:02:39.800 --> 00:02:45.480]   And then the real severity is actually coming in the seal judgments.
[00:02:45.480 --> 00:02:50.680]   So again, the first part of it, again, just by the sheer number of verses that we're going
[00:02:50.680 --> 00:02:59.160]   to be covering, the first woe is a severe torment, is carried out by the demonic forces
[00:02:59.160 --> 00:03:00.640]   of the abyss.
[00:03:00.640 --> 00:03:05.800]   It doesn't say abyss, but again, the judgment seems to be coming from the abyss, and most
[00:03:05.800 --> 00:03:10.760]   commentaries believe that these are demonic presence that God is using to bring about
[00:03:10.760 --> 00:03:11.760]   judgment.
[00:03:11.760 --> 00:03:15.920]   So he unleashes them, and he gives them specific assignments.
[00:03:15.920 --> 00:03:21.440]   And so this first woe that's going to be coming out in the form of locust and through what
[00:03:21.440 --> 00:03:24.520]   they're doing is going to be tormenting the earth.
[00:03:24.520 --> 00:03:28.760]   This torment is going to be so severe that the people who are affected by it are going
[00:03:28.760 --> 00:03:33.440]   to be seeking death for relief, but do not find it.
[00:03:33.440 --> 00:03:37.880]   So I asked one of the questions, like, what would cause somebody to desire death and then
[00:03:37.880 --> 00:03:39.120]   not be able to find it?
[00:03:39.120 --> 00:03:43.840]   And I think that's one of the study questions that I asked you, and I'll give you an opportunity
[00:03:43.840 --> 00:03:45.840]   to discuss it with your group.
[00:03:45.840 --> 00:03:51.960]   But imagine how severe the pain is that they would have preferred death over the torment
[00:03:51.960 --> 00:03:53.120]   that they're experiencing.
[00:03:53.120 --> 00:03:55.560]   So again, this is not just a simple disease.
[00:03:55.560 --> 00:03:59.880]   This is excruciatingly painful, and this is not for all mankind.
