
[00:00:00.000 --> 00:00:05.000]   forgiveness of our trespasses.
[00:00:05.000 --> 00:00:10.000]   When the Bible talks about a redemption, it typically personifies power, like I said.
[00:00:10.000 --> 00:00:13.000]   It personifies the power of sin from whom we have been redeemed.
[00:00:13.000 --> 00:00:16.000]   Sin is our slave master.
[00:00:16.000 --> 00:00:21.000]   But not only does he personify sin, he talks about the sin that comes from us,
[00:00:21.000 --> 00:00:26.000]   the wrong and the offenses that we personally commit, the vomit that we throw up.
[00:00:26.000 --> 00:00:32.000]   Even though we have been manipulated, deceived, and oppressed by the power of sin to violate the laws of God,
[00:00:32.000 --> 00:00:35.000]   we are not exempt from the guilt of our crimes. We still merit judgment.
[00:00:35.000 --> 00:00:41.000]   Because of sin, we sin. But because we sinned, we deserve to be damned.
[00:00:41.000 --> 00:00:47.000]   But just as the Lord saved us from the sin that is over us, God saves us from the sin that comes from us.
[00:00:47.000 --> 00:00:52.000]   When the Lord Jesus Christ offered himself as the price for our redemption, he took upon himself our iniquities.
[00:00:52.000 --> 00:00:56.000]   He suffered the wrath of God and died a death that we deserve.
[00:00:56.000 --> 00:01:03.000]   And there is nothing, there is nothing on this earth and there is nothing in hell that can condemn us.
[00:01:03.000 --> 00:01:08.000]   Because at the end of the day, God is the one who justifies. Christ is the one who died for us.
[00:01:08.000 --> 00:01:12.000]   All the powers of hell can bring their case to the courts of heaven above.
[00:01:12.000 --> 00:01:18.000]   And they can contest our pardon, but they will never be able to condemn because Christ is the one who died.
[00:01:18.000 --> 00:01:25.000]   Spurgeon says this, "Luther tells us of the devil appearing to him in a dream and bringing before him the long rolls of sins."
[00:01:25.000 --> 00:01:32.000]   And when he brought them, Luther said, "Now right at the bottom, the blood of Jesus Christ, God's Son, cleanses us from all sin."
[00:01:32.000 --> 00:01:35.000]   Oh, that blessed word, "all."
[00:01:35.000 --> 00:01:42.000]   From all sin, great sin and little sin, sins of our youth and sins of our gray hair, sins by night and sins by day, sins of actions, sins of thought,
[00:01:42.000 --> 00:01:50.000]   all God, blessed Savior, precious blood, omnipotent redeemer, mighty Red Sea that drowns every Egyptian.
[00:01:50.000 --> 00:01:56.000]   We are forgiven from our sins because he was damned for all our sins.
[00:01:56.000 --> 00:02:00.000]   It is in him that we have the forgiveness of trespasses.
[00:02:00.000 --> 00:02:05.000]   That is God's plan for your salvation.
[00:02:05.000 --> 00:02:12.000]   And it's a joyous truth, something in which we exult.
[00:02:12.000 --> 00:02:16.000]   But like I said, it goes beyond you.
[00:02:16.000 --> 00:02:22.000]   God's plan extends beyond you, regardless of how important and precious you are before the eyes of our Savior.
[00:02:22.000 --> 00:02:25.000]   The plan goes beyond you.
[00:02:25.000 --> 00:02:29.000]   And so we come to the ultimate plan to unite all things in Christ.
[00:02:29.000 --> 00:02:33.000]   The ultimate plan to unite all things in Christ, Ephesians chapter 1, verse 8 through 10.
[00:02:33.000 --> 00:02:35.000]   Let's look at the text.
[00:02:35.000 --> 00:02:39.000]   Ephesians chapter 1, verse 8 through 10.
[00:02:39.000 --> 00:02:45.000]   Which he lavished on us in all wisdom and insight, making known to us the mystery of his will according to his purpose,
[00:02:45.000 --> 00:02:53.000]   which he set forth in Christ as a plan for the fullness of time to unite all things in him,
[00:02:53.000 --> 00:02:56.000]   things in heaven and things on earth.
[00:02:56.000 --> 00:02:57.000]   I'm going to read it again.
[00:02:57.000 --> 00:02:59.000]   Let's read it carefully one more time.
[00:02:59.000 --> 00:03:11.000]   Which he lavished on us in all wisdom and insight, making known to us the mystery of his will according to his purpose,
[00:03:11.000 --> 00:03:13.000]   which he set forth in Christ.
[00:03:13.000 --> 00:03:14.000]   Now listen to the plan.
[00:03:14.000 --> 00:03:16.000]   Listen to that mysterious purpose.
[00:03:16.000 --> 00:03:17.000]   Verse 10.
[00:03:17.000 --> 00:03:25.000]   As a plan for the fullness of time to unite all things in him, things in heaven and things on earth.
[00:03:25.000 --> 00:03:34.000]   What is absolutely staggering about verse 7, when we read verse 7, what's staggering is that that's just a part of a larger purpose.
[00:03:34.000 --> 00:03:36.000]   I want you to try to think and wrap your mind around that truth.
[00:03:36.000 --> 00:03:43.000]   Everything that I just talked about in the last point, that's just part of a purpose, a larger purpose.
[00:03:43.000 --> 00:03:48.000]   So the spiritual incarceration of the soul, the global and generational tyranny of sin,
[00:03:48.000 --> 00:03:51.000]   the incarnation of the son, the imputation of sin, the eternal outpouring of wrath,
[00:03:51.000 --> 00:03:55.000]   the crucifixion of the Christ, the pain inflicted against the impervious God,
[00:03:55.000 --> 00:03:59.000]   the personal deliverance of the soul, and the application of forgiveness for each and every one of you,
