
[00:00:00.000 --> 00:00:02.580]   (upbeat music)
[00:00:02.580 --> 00:00:07.480]   - I'm thankful for our new church building
[00:00:07.480 --> 00:00:10.440]   and the cafe that we have now where people can fellowship
[00:00:10.440 --> 00:00:12.680]   and hang out between services.
[00:00:12.680 --> 00:00:17.320]   - Something that I have recently been very thankful for
[00:00:17.320 --> 00:00:22.320]   about God is just that in his grace that he gave us Christ
[00:00:22.320 --> 00:00:26.480]   and that through Christ we have reconciliation with him
[00:00:26.480 --> 00:00:31.160]   and that peace with God enables us to have the peace of God
[00:00:31.160 --> 00:00:33.000]   that surpasses all understanding.
[00:00:33.000 --> 00:00:36.160]   And so that no matter what circumstances we go through
[00:00:36.160 --> 00:00:39.120]   in our lives or whatever trials we have,
[00:00:39.120 --> 00:00:44.120]   that even though we don't know why or what's gonna happen,
[00:00:44.120 --> 00:00:47.720]   we know that God is holding everything
[00:00:47.720 --> 00:00:49.040]   and sustaining everything together.
[00:00:49.040 --> 00:00:50.480]   So I think that has been something
[00:00:50.480 --> 00:00:52.880]   I'm thankful for this year.
[00:00:52.880 --> 00:00:56.200]   - I'm thankful to be back at Berean
[00:00:56.200 --> 00:00:59.240]   and my church community and friends
[00:00:59.240 --> 00:01:01.600]   and I'm thankful for my new job
[00:01:01.600 --> 00:01:04.840]   and my amazing trainer, Abby.
[00:01:04.840 --> 00:01:09.120]   - I'm thankful for our Bible study,
[00:01:09.120 --> 00:01:13.960]   a whole group that we started a few months back.
[00:01:13.960 --> 00:01:14.800]   It's been really good.
[00:01:14.800 --> 00:01:15.640]   - Thank you.
[00:01:15.640 --> 00:01:19.040]   - Really encouraging, spending time with other families
[00:01:19.040 --> 00:01:22.040]   and singles and studying the word together, it's been good.
[00:01:22.040 --> 00:01:23.800]   - Ta-da.
[00:01:23.840 --> 00:01:26.080]   (laughing)
[00:01:26.080 --> 00:01:29.520]   - Among the many things I would be thankful for,
[00:01:29.520 --> 00:01:33.200]   I'm most especially thankful for Berean Community Church.
[00:01:33.200 --> 00:01:37.880]   And just over these last 14, 15 years,
[00:01:37.880 --> 00:01:42.880]   I've been able to find a community and a group where I grew
[00:01:42.880 --> 00:01:46.600]   and I was really challenged by my faith.
[00:01:46.600 --> 00:01:50.520]   And just over the years I realized
[00:01:50.520 --> 00:01:52.760]   and I appreciate more like the little things
[00:01:53.760 --> 00:01:56.480]   that I've seen and gone through at this church
[00:01:56.480 --> 00:01:58.960]   and I'm especially grateful for our leaders,
[00:01:58.960 --> 00:02:02.880]   Elder Phillip, Elder Joe and Pastor Peter.
[00:02:02.880 --> 00:02:07.560]   I think with time now I realize
[00:02:07.560 --> 00:02:08.760]   just how much they really put in
[00:02:08.760 --> 00:02:11.440]   and the sacrifice they gave to us in the church.
[00:02:11.440 --> 00:02:16.280]   - So I think this season I realized how thankful I am,
[00:02:16.280 --> 00:02:18.600]   not only for my family, for my husband
[00:02:18.600 --> 00:02:20.280]   and my son and my family,
[00:02:20.280 --> 00:02:23.120]   but I think for the first time I've experienced
[00:02:23.120 --> 00:02:25.440]   what it's like to actually have a church family.
[00:02:25.440 --> 00:02:29.320]   And being so, being a new mom and being a wife and all,
[00:02:29.320 --> 00:02:31.240]   I think I've drawn so much encouragement
