
[00:00:00.000 --> 00:00:02.000]   (Applause)
[00:00:02.000 --> 00:00:11.500]   Good morning.
[00:00:11.500 --> 00:00:16.500]   Okay.
[00:00:16.500 --> 00:00:21.000]   As many of you guys know, about a month ago, my wife and I,
[00:00:21.000 --> 00:00:24.500]   we had a kid, a baby boy named Josiah.
[00:00:24.500 --> 00:00:27.500]   He's cute. (Laughter)
[00:00:27.500 --> 00:00:30.500]   I know it's biased because it's coming from me, but he's super cute.
[00:00:30.500 --> 00:00:33.000]   In the beginning, he looked just like a little old man.
[00:00:33.000 --> 00:00:36.000]   Now he's plumping up, so he's just a cute baby.
[00:00:36.000 --> 00:00:41.500]   His Korean, his name is Josiah, and in Korean, that name is Yoshiya.
[00:00:41.500 --> 00:00:45.000]   So we decided to give him the nickname Yoshi.
[00:00:45.000 --> 00:00:48.000]   Yeah, that's cute too. (Laughter)
[00:00:48.000 --> 00:00:50.500]   Just super cute kid all around.
[00:00:50.500 --> 00:00:52.500]   But I'll tell you what.
[00:00:52.500 --> 00:00:56.000]   There are various circumstances in life that make you
[00:00:56.000 --> 00:00:58.000]   just want to sigh.
[00:00:58.000 --> 00:01:00.500]   You don't want to complain. There's not much you can do.
[00:01:00.500 --> 00:01:03.500]   You just sigh. You know what I mean?
[00:01:03.500 --> 00:01:06.500]   And in the last month, I'd have to say,
[00:01:06.500 --> 00:01:11.000]   all sorts of various circumstances have arisen where I just wanted to sigh.
[00:01:11.000 --> 00:01:13.000]   There are times when you're just frustrated.
[00:01:13.000 --> 00:01:16.000]   Maybe the frustration you have with your parents or something.
[00:01:16.000 --> 00:01:20.000]   You can't really say anything or do anything, so you just sigh.
[00:01:20.000 --> 00:01:25.500]   Or when we've been up late night, and Josiah just would not sleep.
[00:01:25.500 --> 00:01:28.000]   He just cried. If you put him down, he'd cry.
[00:01:28.000 --> 00:01:31.500]   We did everything that the nurses and doctors told us to do,
[00:01:31.500 --> 00:01:34.500]   but he just didn't want to sleep.
[00:01:34.500 --> 00:01:38.000]   What can you do? So he just... (Sigh)
[00:01:38.000 --> 00:01:42.500]   And I think for me, there's a passage, the passage that we're covering today.
[00:01:42.500 --> 00:01:44.500]   It's a passage that's very dear to my heart
[00:01:44.500 --> 00:01:48.500]   because in moments when I felt that need to sigh,
[00:01:48.500 --> 00:01:50.500]   I just felt weary.
[00:01:50.500 --> 00:01:52.500]   This passage just spoke to my heart.
[00:01:52.500 --> 00:01:55.000]   At times, not even just when physically I was fatigued
[00:01:55.000 --> 00:01:57.000]   or just life situations brought it about,
[00:01:57.000 --> 00:02:00.500]   but even in my own heart, maybe because of certain failures,
[00:02:00.500 --> 00:02:02.500]   even sins that I struggle with.
[00:02:02.500 --> 00:02:04.000]   I'm sure you've been there.
[00:02:04.000 --> 00:02:08.500]   Because of your own sins, you genuinely ask yourself,
[00:02:08.500 --> 00:02:11.500]   "Oh man, am I ever going to overcome this?"
[00:02:11.500 --> 00:02:13.500]   (Sigh)
[00:02:13.500 --> 00:02:18.500]   In those times, this passage has so refreshed my heart.
[00:02:18.500 --> 00:02:21.500]   It caused me to worship the Lord in a new, fervent way.
[00:02:21.500 --> 00:02:23.500]   And so I wanted to share this passage with you.
[00:02:23.500 --> 00:02:27.500]   If you can, please turn over to Psalm 121.
[00:02:27.500 --> 00:02:29.500]   Psalm 121.
[00:02:29.500 --> 00:02:38.000]   This comes in a series of psalms, starting from Psalm 120
[00:02:38.000 --> 00:02:42.500]   and 15 chapters forward that are called the Songs of Ascent.
[00:02:42.500 --> 00:02:45.500]   And it reads like this.
