
[00:00:00.000 --> 00:00:07.000]   [ Applause ]
[00:00:07.000 --> 00:00:10.000]   >> Yes, I am eager, but I cannot.
[00:00:10.000 --> 00:00:14.000]   But we are so grateful.
[00:00:14.000 --> 00:00:21.000]   Even my wife and I, we feel the warmth of Korean, and already, maybe it's supernatural.
[00:00:21.000 --> 00:00:25.000]   I feel a love deepening.
[00:00:25.000 --> 00:00:32.000]   And it was just last week when we left our old church, Good Stewards Church, and I was there for 20 years.
[00:00:32.000 --> 00:00:34.000]   So it was a long time.
[00:00:34.000 --> 00:00:38.000]   There was a lot of tears.
[00:00:38.000 --> 00:00:46.000]   And this morning, you know, as I was singing alongside you guys, and, you know, even thinking and praying through this morning,
[00:00:46.000 --> 00:00:51.000]   we are so, so grateful that Berean is our new church family.
[00:00:51.000 --> 00:00:53.000]   And we want to really be that.
[00:00:53.000 --> 00:00:56.000]   We want to be running this race with you.
[00:00:56.000 --> 00:00:58.000]   We want to live life with you.
[00:00:58.000 --> 00:01:02.000]   We would want to challenge you as much as you challenge us.
[00:01:02.000 --> 00:01:12.000]   And, yeah, and I'm very, very grateful to Pastor Mark and Pastor Peter who have done nothing but encourage us.
[00:01:12.000 --> 00:01:14.000]   Because, honestly, I'm very nervous.
[00:01:14.000 --> 00:01:16.000]   I'm really nervous to be up here.
[00:01:16.000 --> 00:01:18.000]   I am super introverted.
[00:01:18.000 --> 00:01:21.000]   But we're so grateful to the pastoral staff here.
[00:01:21.000 --> 00:01:23.000]   You guys have an amazing -- well, we.
[00:01:23.000 --> 00:01:26.000]   We have an amazing pastoral staff here at Berean.
[00:01:26.000 --> 00:01:30.000]   So let's go directly into the Word.
[00:01:30.000 --> 00:01:36.000]   And hopefully, please, I hope to get to know you guys more as the years go.
[00:01:36.000 --> 00:01:43.000]   So if you could turn with me to Ephesians 2, verse 11.
[00:01:43.000 --> 00:01:47.000]   And we're going to be reading through verse 18.
[00:01:47.000 --> 00:02:07.000]   But we'll touch on verse 19 through 22 as well towards the end.
[00:02:07.000 --> 00:02:09.000]   Ephesians 2, 11.
[00:02:09.000 --> 00:02:38.000]   [Reading]
[00:02:38.000 --> 00:03:03.000]   [Reading]
[00:03:03.000 --> 00:03:14.000]   [Reading]
[00:03:14.000 --> 00:03:21.000]   Can we pray together?
[00:03:21.000 --> 00:03:24.000]   God, thank you.
[00:03:24.000 --> 00:03:25.000]   Thank you for Berean.
[00:03:25.000 --> 00:03:29.000]   Thank you for all of these hearts that are here.
[00:03:29.000 --> 00:03:34.000]   God, even to entrust someone they don't know that well to come up on a pulpit
[00:03:34.000 --> 00:03:38.000]   and unravel the Word of God.
[00:03:38.000 --> 00:03:41.000]   And, God, I'm humbled.
[00:03:41.000 --> 00:03:49.000]   And so, God, I pray that it really would not be man, but it would be you, our God,
[00:03:49.000 --> 00:03:54.000]   speaking through your Word, convicting through your Spirit.
[00:03:54.000 --> 00:04:01.000]   And so, Father, it would not be just gauging a stranger up on a pulpit,
[00:04:01.000 --> 00:04:08.000]   but, Father, truly engaging your Word and your Scripture as precious to us,
[00:04:08.000 --> 00:04:12.000]   that it might affect and transform the way we live, the way we think,
[00:04:12.000 --> 00:04:15.000]   even how we breathe and our hearts beat.
[00:04:15.000 --> 00:04:18.000]   Father, all of that would fall in line with who you are and how much we love you
[00:04:18.000 --> 00:04:21.000]   because of what you've done for us.
[00:04:21.000 --> 00:04:24.000]   Help me now as I preach this Word to be clear.
[00:04:24.000 --> 00:04:25.000]   In Jesus' name we pray.
[00:04:25.000 --> 00:04:28.000]   Amen.
[00:04:28.000 --> 00:04:32.000]   We're going to be talking a little bit about disunity today.
[00:04:32.000 --> 00:04:37.000]   And we can see disunity everywhere.
[00:04:37.000 --> 00:04:39.000]   Politics.
[00:04:39.000 --> 00:04:43.000]   You know, I try to keep up with the news a little bit, and politics, oh, man,
[00:04:43.000 --> 00:04:46.000]   it does nothing but bring disunity, doesn't it?
[00:04:46.000 --> 00:04:51.000]   Even when we were looking at the presidential election in the fall,
[00:04:51.000 --> 00:04:55.000]   we saw how it fractured, not just the disunity between someone like Hillary
