
[00:00:00.000 --> 00:00:11.400]   Okay, hello everybody.
[00:00:11.400 --> 00:00:15.140]   It's good to see all of you.
[00:00:15.140 --> 00:00:18.880]   Your beautiful and handsome faces.
[00:00:18.880 --> 00:00:20.880]   It's seriously one of the highlights.
[00:00:20.880 --> 00:00:33.280]   I think for me, I love Fridays because I think because you guys have just done, I wanted
[00:00:33.280 --> 00:00:36.440]   to say you guys have done such a good job of welcoming me and my family too.
[00:00:36.440 --> 00:00:40.120]   So thank you so much to all of you for welcoming us.
[00:00:40.120 --> 00:00:45.200]   And you know, Kazee and I were talking about it a few weeks ago, but we were saying Berean
[00:00:45.200 --> 00:00:46.760]   already feels like our home church.
[00:00:46.760 --> 00:00:51.440]   And that's saying something because I was at the old church, my old church for about
[00:00:51.440 --> 00:00:52.500]   20 years.
[00:00:52.500 --> 00:00:57.760]   And so for me to be able to look at this church and feel a deep sense of love already for
[00:00:57.760 --> 00:01:02.920]   people and be, feel the love from people too.
[00:01:02.920 --> 00:01:05.520]   That is something that I really wanted to thank you guys for.
[00:01:05.520 --> 00:01:07.500]   So thank you so, so much.
[00:01:07.500 --> 00:01:14.100]   And I hope that as people are constantly filtering in, if you guys kind of just even look around
[00:01:14.100 --> 00:01:21.240]   at the people around you, I hope that you and I will become people and a ministry and
[00:01:21.240 --> 00:01:27.560]   a church that love each other, not as the world loves, not as all the love that we can
[00:01:27.560 --> 00:01:32.320]   muster up with our own strength, not that kind of love, but the love of Christ that
[00:01:32.320 --> 00:01:36.800]   would sacrificially give and love without condition.
[00:01:36.800 --> 00:01:45.020]   And man, it would be so amazing to see Berean be characterized and marked by a Bible preaching,
[00:01:45.020 --> 00:01:51.180]   Bible believing church that so believes it, that it works itself out and being one of
[00:01:51.180 --> 00:01:55.540]   the most loving churches you can see in Southern California, you know.
[00:01:55.540 --> 00:01:58.820]   So let's always be encouraging each other of that.
[00:01:58.820 --> 00:02:02.340]   I know the end of the school year is coming up and in the beginning of the school year,
[00:02:02.340 --> 00:02:04.380]   there's this like drive, right?
[00:02:04.380 --> 00:02:07.960]   It's like try to welcome people, but by the end, everyone's just like, okay, let's just
[00:02:07.960 --> 00:02:09.440]   survive every man for himself.
[00:02:09.440 --> 00:02:12.680]   You're like, everyone's like just crawling towards the finish line.
[00:02:12.680 --> 00:02:14.040]   I'm dying, I'm dying.
[00:02:14.040 --> 00:02:17.200]   But let's crawl together.
[00:02:17.200 --> 00:02:22.720]   Let's pull each other up and fight this together and love one another and we could do this
[00:02:22.720 --> 00:02:23.720]   together.
[00:02:23.720 --> 00:02:25.880]   A few announcements here.
[00:02:25.880 --> 00:02:30.440]   First announcement, college serve month is going to be beginning very soon.
[00:02:30.440 --> 00:02:36.760]   So please be on the lookout for the Facebook thing that will probably come out sometime
[00:02:36.760 --> 00:02:37.760]   in the near future.
[00:02:37.760 --> 00:02:39.440]   Has it come out yet?
[00:02:39.440 --> 00:02:40.440]   It's going to come out tomorrow.
[00:02:40.440 --> 00:02:42.480]   Okay, here's the thing.
[00:02:42.480 --> 00:02:46.520]   Now every year that ticks by, I feel like we check Facebook less and less because there
[00:02:46.520 --> 00:02:49.000]   are just so many notifications.
[00:02:49.000 --> 00:02:53.960]   And yet, Berean, we are a church that really utilizes Facebook.
[00:02:53.960 --> 00:03:01.120]   Meaning if you want to serve and try your best to be diligent in looking through at
[00:03:01.120 --> 00:03:04.960]   least some of the notifications that kind of matter.
[00:03:04.960 --> 00:03:08.520]   And can I also say this?
[00:03:08.520 --> 00:03:10.760]   Man, you guys are awesome.
[00:03:10.760 --> 00:03:15.800]   My college ministry I see and I've been hearing is always the first ones to step up and serve
[00:03:15.800 --> 00:03:16.800]   and things like that.
[00:03:16.800 --> 00:03:20.400]   You guys are setting great example to the rest of the church and really serving in love
[00:03:20.400 --> 00:03:21.800]   and that's been awesome.
[00:03:21.800 --> 00:03:24.080]   Let's do even better.
[00:03:24.080 --> 00:03:29.280]   Let's be people who see it and don't say like, "Oh, I'll respond to it like a day before,
[00:03:29.280 --> 00:03:30.280]   a week before."
[00:03:30.280 --> 00:03:35.600]   But as soon as it comes out, let's make room in our schedules to say that, "I really want
[00:03:35.600 --> 00:03:37.480]   to serve the church in these manners."
[00:03:37.480 --> 00:03:41.800]   And so when this thing comes out tomorrow, hopefully it will be inundated with this desire
[00:03:41.800 --> 00:03:48.680]   and the signups from 90 collegians who want to serve and love the church in that manner.
[00:03:48.680 --> 00:03:52.960]   So let's do that together.
[00:03:52.960 --> 00:03:57.220]   Next one on May 5th, this is Saturday, cross class hangouts is going to be happening.
[00:03:57.220 --> 00:04:00.560]   So please keep that marked in your calendars.
[00:04:00.560 --> 00:04:07.500]   And last one is going to be all church cleanup, which is happening tomorrow from 8.30 to 12.30.
[00:04:07.500 --> 00:04:13.440]   And then on Sunday from, anyone know from Sunday, 2 to 4?
[00:04:13.440 --> 00:04:14.440]   2 to 6?
[00:04:14.440 --> 00:04:15.440]   2 to 4?
[00:04:15.440 --> 00:04:16.440]   2 to 4 o'clock.
[00:04:16.440 --> 00:04:18.200]   2 o'clock to 4 o'clock.
[00:04:18.200 --> 00:04:23.880]   So can I, just for like, just out of my own curiosity, did you guys sign up for the, if
[00:04:23.880 --> 00:04:27.200]   you guys signed up for the all church cleanup, can you raise your hand?
[00:04:27.200 --> 00:04:28.600]   Okay.
[00:04:28.600 --> 00:04:29.600]   That's about half of us.
[00:04:29.600 --> 00:04:33.560]   If the other half, if you guys still want to serve, I think you can just come.
[00:04:33.560 --> 00:04:36.440]   And then wherever there's need, just kind of fill in.
[00:04:36.440 --> 00:04:40.440]   So full disclosure, I forgot to sign up.
[00:04:40.440 --> 00:04:41.800]   So I'm going to be here though.
[00:04:41.800 --> 00:04:43.480]   And that's such a bad example.
[00:04:43.480 --> 00:04:44.680]   I'm so sorry.
[00:04:44.680 --> 00:04:47.640]   But I think it's going to be a great time.
[00:04:47.640 --> 00:04:53.720]   I heard about this crazy building project that happened about a year ago where we moved
[00:04:53.720 --> 00:04:55.560]   from the Airway campus to here.
[00:04:55.560 --> 00:04:57.040]   I was not a part of it.
[00:04:57.040 --> 00:05:01.400]   So when I look around this church, I'm like, wow, this is a nice church.
[00:05:01.400 --> 00:05:05.160]   But when like Pastor Peter and Pastor Mark tell stories about it, I'm like, whoa, you
[00:05:05.160 --> 00:05:06.480]   guys went through all that?
[00:05:06.480 --> 00:05:08.280]   And they have like this camaraderie.
[00:05:08.280 --> 00:05:10.320]   And I feel like I'm this outsider looking in.
[00:05:10.320 --> 00:05:11.320]   I'm like, wah, wah.
[00:05:11.320 --> 00:05:13.760]   I'm so sad.
[00:05:13.760 --> 00:05:15.080]   But like there's this desire.
[00:05:15.080 --> 00:05:17.400]   It's like, man, I wish I was a part of that.
[00:05:17.400 --> 00:05:22.280]   And there's a part of it where when you get involved and you're cleaning and even tonight,
[00:05:22.280 --> 00:05:25.080]   I don't know if you guys saw, but there was an announcement made to the church saying,
[00:05:25.080 --> 00:05:30.400]   hey, is there anyone that could help us put like set up the security cameras around the
[00:05:30.400 --> 00:05:31.840]   church and things like that?
[00:05:31.840 --> 00:05:35.120]   If you're able, was that not put up?
[00:05:35.120 --> 00:05:37.400]   Okay, maybe that's not for the general public.
[00:05:37.400 --> 00:05:41.680]   Oh, okay, okay, you guys saw it.
[00:05:41.680 --> 00:05:42.680]   Okay.
[00:05:42.680 --> 00:05:46.240]   So like when things like that come out, like let's really try to be a part of these types
[00:05:46.240 --> 00:05:52.320]   of things because I believe that sometimes simply through service to the church, your
[00:05:52.320 --> 00:05:54.520]   love for the church really does grow.
[00:05:54.520 --> 00:05:57.120]   And it's kind of a cool thing to see.
[00:05:57.120 --> 00:06:02.120]   That's by the way, this is a side note, if you're struggling in faith, if you're like
[00:06:02.120 --> 00:06:08.400]   you're beginning to feel the tinge of apathy, you know, and just things aren't as, you feel
[00:06:08.400 --> 00:06:13.480]   like it's not as exciting as it used to be.
[00:06:13.480 --> 00:06:17.920]   You know, the worst thing you could do is sit down and wallow in that.
[00:06:17.920 --> 00:06:21.480]   And one of the better things you could do while you're doing all the right things is
