
[00:00:00.000 --> 00:00:05.000]   [ Silence ]
[00:00:05.000 --> 00:00:06.120]   All right.
[00:00:06.120 --> 00:00:08.280]   So you are at the Q&A.
[00:00:08.280 --> 00:00:12.720]   So if-- make sure you're at the right place, okay?
[00:00:12.720 --> 00:00:14.840]   Let me start and then we're going to try to finish
[00:00:14.840 --> 00:00:18.080]   about five minutes before-- it's 3.30.
[00:00:18.080 --> 00:00:21.840]   So 5-- about 4.25 is when we're going to end.
[00:00:21.840 --> 00:00:24.520]   Give about five minutes to kind of move around
[00:00:24.520 --> 00:00:26.360]   or maybe you're going to be taking a break
[00:00:26.360 --> 00:00:27.520]   but that's what's going to happen.
[00:00:27.520 --> 00:00:31.360]   And then if you have specific questions that you want to ask
[00:00:31.360 --> 00:00:34.000]   after the second session or maybe in between the session,
[00:00:34.000 --> 00:00:36.240]   we can have a brief conversation.
[00:00:36.240 --> 00:00:39.200]   But I'll try to make myself available
[00:00:39.200 --> 00:00:40.840]   after the second session.
[00:00:40.840 --> 00:00:43.400]   If you have something very specific you want to ask
[00:00:43.400 --> 00:00:46.400]   that's more kind of personal rather than do it
[00:00:46.400 --> 00:00:48.520]   in the larger context, okay?
[00:00:48.520 --> 00:00:53.040]   All right, let me pray first and then we'll get started.
[00:00:53.040 --> 00:00:55.600]   Heavenly Father, we thank you for the retreat.
[00:00:55.600 --> 00:00:59.120]   We thank you for the opportunity for us to get together
[00:00:59.120 --> 00:01:01.680]   and take some time answering some of the questions
[00:01:01.680 --> 00:01:03.360]   that our members have.
[00:01:03.360 --> 00:01:05.440]   We pray that you would bless this time
[00:01:05.440 --> 00:01:09.200]   and any kind of questions or misunderstandings
[00:01:09.200 --> 00:01:11.360]   or anything, Lord God, that may come up,
[00:01:11.360 --> 00:01:12.800]   I pray that it would be a useful time
[00:01:12.800 --> 00:01:14.440]   to bring our church together.
[00:01:14.440 --> 00:01:15.480]   We pray for your grace.
[00:01:15.480 --> 00:01:18.200]   We pray that anything that is being spoken,
[00:01:18.200 --> 00:01:20.160]   that it would be according to your word.
[00:01:20.160 --> 00:01:23.440]   We thank you in Jesus' name we pray, amen.
[00:01:23.440 --> 00:01:28.440]   Okay, so as I mentioned, I'm gonna try to stay away
[00:01:28.440 --> 00:01:31.480]   from subjects that are only gonna be pertaining
[00:01:31.480 --> 00:01:32.840]   to a few people.
[00:01:32.840 --> 00:01:35.920]   I'm gonna try to focus on the questions that came in
[00:01:35.920 --> 00:01:38.680]   that I think is gonna be beneficial for everyone, okay?
[00:01:38.680 --> 00:01:42.600]   So the first question was about our denomination.
[00:01:42.600 --> 00:01:48.080]   If you didn't know, we are Southern Baptist affiliated.
[00:01:48.080 --> 00:01:52.240]   The very genesis of our ministry,
[00:01:52.240 --> 00:01:55.120]   we were EM of Irvine Baptist Church,
[00:01:55.120 --> 00:01:58.120]   which Gin was also a part of.
[00:01:58.120 --> 00:01:59.840]   And I grew up as a Presbyterian,
[00:01:59.840 --> 00:02:03.120]   but I became a Baptist after I became a pastor.
[00:02:03.120 --> 00:02:07.200]   And it was deliberate because I was studying scripture
[00:02:07.200 --> 00:02:09.040]   and the things that I was convicted about.
[00:02:09.040 --> 00:02:10.800]   And then so I was infant baptized.
[00:02:10.800 --> 00:02:13.640]   Then after I became a pastor, I got baptized.
[00:02:13.640 --> 00:02:17.560]   And then so when we first came out as a church,
[00:02:17.560 --> 00:02:18.560]   we weren't affiliated.
[00:02:18.560 --> 00:02:21.920]   It was just, we just happened to be Irvine Baptist.
[00:02:21.920 --> 00:02:25.360]   I didn't know anybody in the Baptist circle.
[00:02:25.360 --> 00:02:28.120]   It was just, it just happened to be in a Baptist church.
[00:02:28.120 --> 00:02:31.120]   When we came out, we weren't really specifically attached
[00:02:31.120 --> 00:02:33.280]   to the Baptist denomination.
[00:02:33.280 --> 00:02:35.280]   Even though we're Southern Baptist,
[00:02:35.280 --> 00:02:37.600]   the Southern Baptist in our area in Orange County,
[00:02:37.600 --> 00:02:40.680]   they're very heavily influenced by Saddleback.
[00:02:40.680 --> 00:02:43.440]   And so the way Saddleback does ministry, philosophy,
[00:02:43.440 --> 00:02:47.160]   their theology, I felt like we weren't on the same page.
[00:02:47.160 --> 00:02:49.440]   And so even though we're Southern Baptist
[00:02:49.440 --> 00:02:50.840]   and I was ordained Southern Baptist,
[00:02:50.840 --> 00:02:52.800]   we weren't heavily involved.
[00:02:52.800 --> 00:02:55.440]   Until maybe about five years ago,
[00:02:55.440 --> 00:02:57.960]   I was helping a friend of mine get ordained
[00:02:57.960 --> 00:02:59.800]   through the Southern Baptist Board.
[00:02:59.800 --> 00:03:02.400]   And they asked me to come and help oversee this.
[00:03:02.400 --> 00:03:05.120]   And I met the director of the Southern Baptist
[00:03:05.120 --> 00:03:06.200]   in our local area.
[00:03:06.200 --> 00:03:08.600]   And some of you guys may know Dr. Michael Prout.
[00:03:08.600 --> 00:03:10.120]   So it's been more than five years,
[00:03:10.120 --> 00:03:11.600]   maybe about seven, eight years.
[00:03:11.600 --> 00:03:14.440]   So after meeting with him, I felt like,
[00:03:14.440 --> 00:03:16.640]   this is a really like-minded brother,
[00:03:16.640 --> 00:03:19.600]   theologically, ministry, philosophy-wise, teaching.
[00:03:19.600 --> 00:03:22.840]   And because of him, we started getting more involved.
