
[00:00:00.000 --> 00:00:06.000]   [ Inaudible ]
[00:00:06.000 --> 00:00:07.500]   [ Laughter ]
[00:00:07.500 --> 00:00:09.500]   >> I can tell people are falling asleep.
[00:00:09.500 --> 00:00:12.000]   Yes. I can tell.
[00:00:12.000 --> 00:00:16.000]   If you're really struggling, just go back, get some coffee and come back.
[00:00:16.000 --> 00:00:21.000]   But I do want to encourage you, even though we are at a retreat, we want you to spend as much time
[00:00:21.000 --> 00:00:23.000]   as possible fellowshipping with other people.
[00:00:23.000 --> 00:00:27.000]   But be mindful that even tomorrow, we have a full day.
[00:00:27.000 --> 00:00:32.000]   So if you stay up until 2, 3 in the morning, basically the next day, you're not going to be ready
[00:00:32.000 --> 00:00:33.000]   to receive the word of God.
[00:00:33.000 --> 00:00:35.000]   So use your common sense.
[00:00:35.000 --> 00:00:38.000]   It's not a high school issue, so we're not going to have, you know,
[00:00:38.000 --> 00:00:40.000]   perfume, you need to pee it by a certain time.
[00:00:40.000 --> 00:00:42.000]   But use your common sense.
[00:00:42.000 --> 00:00:47.000]   We came up here primarily to receive the word of God, but make sure that you're prepared for that.
[00:00:47.000 --> 00:00:48.000]   Okay?
[00:00:48.000 --> 00:00:55.000]   So last night, Harry did a great job giving introductions to Pastor Aaron.
[00:00:55.000 --> 00:01:00.000]   And we were a little bit concerned because on the thing it says 59 slides.
[00:01:00.000 --> 00:01:07.000]   And we thought we had 59 slides, and he called me later on, and he did that on purpose to trick us.
[00:01:07.000 --> 00:01:10.000]   I didn't realize that Harry had that side to him.
[00:01:10.000 --> 00:01:12.000]   It was just serious.
[00:01:12.000 --> 00:01:18.000]   But I wanted to give you a brief introduction because obviously you gave the formal presentation,
[00:01:18.000 --> 00:01:22.000]   and I wanted to give you a more of a personal note of Pastor Aaron.
[00:01:22.000 --> 00:01:27.000]   I know there's a good group of us in here that have a personal relationship with him, know him.
[00:01:27.000 --> 00:01:31.000]   But our church, I would say more than half of you probably have never interacted with him.
[00:01:31.000 --> 00:01:37.000]   So I wanted to give you a brief presentation of Pastor Aaron.
[00:01:37.000 --> 00:01:40.000]   And I've shared this with you before.
[00:01:40.000 --> 00:01:45.000]   Outside of my decision to follow Christ, or it wasn't my decision, but meeting Christ,
[00:01:45.000 --> 00:01:52.000]   the next best decision that I've ever made was asking my wife out and being married to her.
[00:01:52.000 --> 00:01:55.000]   That was probably the second best decision.
[00:01:55.000 --> 00:01:56.000]   Where does that start?
[00:01:56.000 --> 00:01:59.000]   Do you hear?
[00:01:59.000 --> 00:02:05.000]   And I can say confidently that outside of Pastor Aaron and his decision to follow Christ,
[00:02:05.000 --> 00:02:10.000]   that his best decision that he made was asking his wife out, Tina.
[00:02:10.000 --> 00:02:19.000]   Tina, they both met at our church, and I was there at the very inception of when Pastor Aaron started poking around
[00:02:19.000 --> 00:02:23.000]   to see if Tina would be interested, and we were actually out in China.
[00:02:23.000 --> 00:02:29.000]   And Tina, again, she's in the back.
[00:02:29.000 --> 00:02:31.000]   You've probably seen her with her children.
[00:02:31.000 --> 00:02:38.000]   But Tina was the hope of our sister's ministry when she was younger, and we were very close to her.
[00:02:38.000 --> 00:02:44.000]   In fact, if she would come home from UCLA, many weekends she would spend the time at our home
[00:02:44.000 --> 00:02:46.000]   because she didn't have a place to go.
[00:02:46.000 --> 00:02:50.000]   And so my wife and I spent a lot of time just talking with her.
[00:02:50.000 --> 00:02:54.000]   There was a passion and love for Christ that really stood out.
[00:02:54.000 --> 00:02:58.000]   And so when Pastor Aaron said that he had interest in her, it just made sense.
