
[00:00:00.000 --> 00:00:02.340]   (no audio)
[00:00:02.340 --> 00:00:07.720]   - I'll introduce myself.
[00:00:07.720 --> 00:00:08.720]   I'm Valerie.
[00:00:08.720 --> 00:00:11.200]   I am a parent.
[00:00:11.200 --> 00:00:15.040]   I have two kids, Micah and Calvin.
[00:00:15.040 --> 00:00:18.080]   So one's named Sprouts and one is named Z.
[00:00:18.080 --> 00:00:21.420]   And then I have one husband named James.
[00:00:21.420 --> 00:00:25.060]   (laughter)
[00:00:25.060 --> 00:00:25.900]   - Why, why?
[00:00:25.900 --> 00:00:29.680]   - Yes, and we've been at Brandy's for a really long time.
[00:00:29.680 --> 00:00:32.180]   We've been at Brandy's since I was in high school
[00:00:32.180 --> 00:00:35.600]   and I'm 36 now, so it's like a long time.
[00:00:35.600 --> 00:00:38.380]   So it's really cool.
[00:00:38.380 --> 00:00:40.400]   We never ever had a seat next to Z.
[00:00:40.400 --> 00:00:42.600]   We had seats before because there were only like 20 people
[00:00:42.600 --> 00:00:43.960]   and we have like four kids,
[00:00:43.960 --> 00:00:47.620]   but it's really crazy that we have this now.
[00:00:47.620 --> 00:00:53.260]   And he's in that bathroom a long time.
[00:00:53.560 --> 00:00:55.740]   (chatter)
[00:00:55.740 --> 00:00:57.900]   (chatter)
[00:00:57.900 --> 00:01:00.060]   (chatter)
[00:01:00.060 --> 00:01:02.220]   (chatter)
[00:01:02.220 --> 00:01:04.380]   (chatter)
[00:01:04.380 --> 00:01:06.560]   (chatter)
[00:01:06.560 --> 00:01:08.720]   (chatter)
[00:01:08.720 --> 00:01:10.880]   (chatter)
[00:01:10.880 --> 00:01:13.040]   (chatter)
[00:01:13.040 --> 00:01:15.200]   (chatter)
[00:01:15.200 --> 00:01:17.360]   (chatter)
[00:01:17.360 --> 00:01:19.520]   (chatter)
[00:01:19.520 --> 00:01:21.680]   (chatter)
[00:01:21.680 --> 00:01:23.840]   (chatter)
[00:01:23.840 --> 00:01:26.000]   (chatter)
[00:01:26.000 --> 00:01:28.160]   (chatter)
[00:01:28.240 --> 00:01:30.400]   (chatter)
[00:01:30.400 --> 00:01:32.560]   (chatter)
[00:01:32.560 --> 00:01:34.720]   (chatter)
[00:01:34.720 --> 00:01:36.880]   (chatter)
[00:01:36.880 --> 00:01:39.040]   (chatter)
[00:01:39.040 --> 00:01:41.200]   (chatter)
[00:01:41.200 --> 00:01:43.360]   (chatter)
[00:01:43.360 --> 00:01:53.120]   (laughter)
[00:01:53.120 --> 00:02:08.160]   - I'm Jenni, I'm married to Brian,
[00:02:08.160 --> 00:02:11.740]   and I have one child, his name is Uriah,
[00:02:11.740 --> 00:02:18.260]   and he is in the Feeds magazine.
[00:02:18.260 --> 00:02:29.420]   - I said I've been here for like a really long time.
[00:02:29.420 --> 00:02:32.640]   - I remember when I first came, you were in overalls.
[00:02:32.640 --> 00:02:35.160]   (laughter)
[00:02:35.160 --> 00:02:36.840]   Well I'm not saying that she was like that young,
[00:02:36.840 --> 00:02:39.680]   but she was literally in overalls.
[00:02:39.680 --> 00:02:41.940]   (laughter)
[00:02:41.940 --> 00:02:46.100]   And it's all coming back.
[00:02:46.100 --> 00:02:59.280]   - I started coming, like fresh things,
[00:02:59.280 --> 00:03:01.780]   not from during the holidays.
