
[00:00:00.000 --> 00:00:01.360]   All right, welcome.
[00:00:01.360 --> 00:00:02.600]   Go ahead and find a seat,
[00:00:02.600 --> 00:00:06.400]   if you guys haven't done so already.
[00:00:06.400 --> 00:00:10.200]   You guys are in our OLT survey,
[00:00:10.200 --> 00:00:12.560]   if you guys haven't already figured that out.
[00:00:12.560 --> 00:00:14.880]   A couple of my small group guys this past Wednesday
[00:00:14.880 --> 00:00:17.280]   actually were sharing about the difficulty
[00:00:17.280 --> 00:00:18.280]   of the Old Testament.
[00:00:18.280 --> 00:00:20.000]   One guy was saying, you know, every year,
[00:00:20.000 --> 00:00:24.000]   Proverbs to Malachi, I just get stuck.
[00:00:24.000 --> 00:00:26.280]   Another guy was saying, my Bible reading plan,
[00:00:26.280 --> 00:00:29.040]   because if you guys were here for Colossians,
[00:00:29.040 --> 00:00:31.640]   one of the questions was about the Word of God.
[00:00:31.640 --> 00:00:34.520]   And one of our brothers in my small group was saying,
[00:00:34.520 --> 00:00:38.680]   you know, like, I would love to read and do the Bible plan,
[00:00:38.680 --> 00:00:42.340]   but the Old Testament is very daunting.
[00:00:42.340 --> 00:00:47.080]   Do you guys know about what percent
[00:00:47.080 --> 00:00:48.780]   of the Bible is the Old Testament?
[00:00:48.780 --> 00:00:54.980]   Word wise, it's like three quarters.
[00:00:55.900 --> 00:01:00.400]   So if you don't like to touch the three quarters
[00:01:00.400 --> 00:01:03.620]   of the book that are a little bit unfamiliar,
[00:01:03.620 --> 00:01:06.220]   then you're basically not reading intently
[00:01:06.220 --> 00:01:07.620]   75% of the Bible.
[00:01:07.620 --> 00:01:11.780]   And so what my goal for our class and our time together
[00:01:11.780 --> 00:01:14.540]   is that you're not scared of the OT
[00:01:14.540 --> 00:01:16.380]   and that you're familiar enough
[00:01:16.380 --> 00:01:19.760]   to try to tackle this on your own.
[00:01:19.760 --> 00:01:25.660]   My goal for this class is not information.
[00:01:25.660 --> 00:01:28.300]   Some of you guys are like, dude, give me the information.
[00:01:28.300 --> 00:01:31.460]   No, the goal of this class is long-term retention
[00:01:31.460 --> 00:01:32.900]   so that for the rest of your life,
[00:01:32.900 --> 00:01:37.900]   you can look at the Old Testament and just enjoy.
[00:01:37.900 --> 00:01:40.300]   And if you guys do Bible reading plans,
[00:01:40.300 --> 00:01:43.540]   you're stuck in the Old Testament for a long time, right?
[00:01:43.540 --> 00:01:46.060]   I did one last year,
[00:01:46.060 --> 00:01:48.900]   and I didn't get to Matthew until October 5th.
[00:01:48.900 --> 00:01:52.700]   So for the first nine months of my 2018,
[00:01:52.700 --> 00:01:53.780]   I was in the Old Testament.
[00:01:53.780 --> 00:01:55.660]   I mean, and I enjoy it.
[00:01:55.660 --> 00:01:57.940]   And so my hope is that you guys
[00:01:57.940 --> 00:02:00.420]   will learn to enjoy it also.
[00:02:00.420 --> 00:02:01.480]   What's this picture up here?
[00:02:01.480 --> 00:02:03.140]   You guys might've been wondering, like, dude,
[00:02:03.140 --> 00:02:04.740]   you guys, you should've put like a picture
[00:02:04.740 --> 00:02:07.440]   of the tribe of Israel or like Moses.
[00:02:07.440 --> 00:02:09.060]   Why is there a skeleton there?
[00:02:09.060 --> 00:02:12.400]   It's on purpose.
[00:02:12.400 --> 00:02:15.140]   So the goal of this class
[00:02:15.140 --> 00:02:17.620]   is basically to give you a skeleton.
[00:02:17.620 --> 00:02:18.900]   And then the rest of your life,
[00:02:18.900 --> 00:02:21.780]   you're filling in the muscles, the meat, the bones,
[00:02:21.780 --> 00:02:24.780]   or the nerves, the organs.
[00:02:24.780 --> 00:02:28.220]   I'm gonna give you a framework by which to work,
[00:02:28.220 --> 00:02:32.860]   like so that you know what pieces go where,
[00:02:32.860 --> 00:02:34.100]   and the rest of your life,
[00:02:34.100 --> 00:02:37.780]   it's up to you to just fill in the blanks.
[00:02:37.780 --> 00:02:39.220]   Okay, does that sound okay?
[00:02:39.220 --> 00:02:41.380]   Okay, so I'm giving you basically,
[00:02:41.380 --> 00:02:43.740]   we're doing a puzzle, okay?
[00:02:43.740 --> 00:02:45.900]   I'm giving you the box,
[00:02:45.900 --> 00:02:47.380]   and I'm giving you the,
[00:02:47.380 --> 00:02:49.780]   when you start a puzzle, what do you start with?
[00:02:51.180 --> 00:02:52.980]   The edges, but before the edges,
[00:02:52.980 --> 00:02:55.300]   what do you find, what do you go look for first?
[00:02:55.300 --> 00:02:56.380]   The corners.
[00:02:56.380 --> 00:02:58.060]   So we're gonna give you the corners,
[00:02:58.060 --> 00:03:00.600]   and then the edges, and you do the rest.
[00:03:00.600 --> 00:03:02.980]   And that sometimes takes the longest time.
[00:03:02.980 --> 00:03:06.800]   The edges actually go fast in a puzzle, all right?
[00:03:06.800 --> 00:03:10.220]   But as long as you have a framework by which to work,
[00:03:10.220 --> 00:03:14.780]   everything else, you can take your time in learning.
[00:03:14.780 --> 00:03:17.540]   So I will guarantee this, okay?
[00:03:17.540 --> 00:03:19.380]   Elder Philip this morning said,
[00:03:19.380 --> 00:03:21.100]   "Is it gonna be worth my time?
[00:03:21.100 --> 00:03:22.700]   "Is this class gonna be fun?
[00:03:22.700 --> 00:03:24.140]   "Do you get a money-back guarantee?"
[00:03:24.140 --> 00:03:26.060]   I'll give you a money-back guarantee.
[00:03:26.060 --> 00:03:28.700]   You will, if you actually pay attention,
[00:03:28.700 --> 00:03:31.180]   you will enjoy the Old Testament,
[00:03:31.180 --> 00:03:35.220]   and you will not be scared of it, okay?
[00:03:35.220 --> 00:03:37.460]   I guarantee it, all right?
[00:03:37.460 --> 00:03:39.900]   If you feel like at the end of this,
[00:03:39.900 --> 00:03:41.940]   "Yeah, this class was not worth my time,"
[00:03:41.940 --> 00:03:45.820]   let me know, and I'll give you your $10 back, all right?
[00:03:45.820 --> 00:03:47.340]   Okay, so,
[00:03:48.500 --> 00:03:49.940]   what is the hardest thing about the Old Testament,
[00:03:49.940 --> 00:03:51.320]   you guys, anybody?
[00:03:51.320 --> 00:03:54.420]   Anybody?
[00:03:54.420 --> 00:03:58.500]   Ohi, what'd you say, it's boring?
[00:03:58.500 --> 00:04:02.820]   It is, if you don't know what you're looking at.
[00:04:02.820 --> 00:04:04.660]   It can be boring, I agree.
[00:04:04.660 --> 00:04:06.180]   Anybody else?
[00:04:06.180 --> 00:04:08.100]   It's really long.
[00:04:08.100 --> 00:04:11.140]   Jeremiah has the most words of all the books of the Bible.
[00:04:11.140 --> 00:04:14.660]   It's like every chapter is kind of painful, right?
[00:04:14.660 --> 00:04:17.700]   It's long, and the content's not exactly uplifting.
[00:04:17.700 --> 00:04:18.540]   So it's boring.
[00:04:18.540 --> 00:04:20.660]   What else is a challenge about the Old Testament?
[00:04:20.660 --> 00:04:24.140]   Historical context is hard, okay?
[00:04:24.140 --> 00:04:25.300]   Good, anybody else?
[00:04:25.300 --> 00:04:26.260]   Anything different?
[00:04:26.260 --> 00:04:32.860]   It's just unfamiliar territory, right?
[00:04:32.860 --> 00:04:35.320]   So I'm gonna start out with a little bit of an introduction,
[00:04:35.320 --> 00:04:37.540]   because I knew people are gonna come a little bit later
[00:04:37.540 --> 00:04:39.140]   on this first day.
[00:04:39.140 --> 00:04:40.060]   Who's this?
[00:04:40.060 --> 00:04:43.660]   I mean, if you don't know,
[00:04:43.660 --> 00:04:44.940]   the blue letters should help you.
