
[00:00:00.000 --> 00:00:02.000]   Let's pray.
[00:00:02.000 --> 00:00:07.000]   Heavenly Father, we thank you for your grace.
[00:00:07.000 --> 00:00:10.000]   God, we thank you for the challenge that's in your word.
[00:00:10.000 --> 00:00:17.000]   I pray, God, that every single one of us would have really moldable and fertile soil in our hearts.
[00:00:17.000 --> 00:00:20.000]   God, that we receive your word and be challenged by it.
[00:00:20.000 --> 00:00:23.000]   We thank you so much, Saint Christ, and we pray. Amen.
[00:00:23.000 --> 00:00:25.000]   Okay.
[00:00:25.000 --> 00:00:32.000]   So, I'm going to try this out.
[00:00:32.000 --> 00:00:35.000]   Oops.
[00:00:35.000 --> 00:00:38.000]   All right.
[00:00:38.000 --> 00:00:52.000]   Okay, if you turn to your handout, I just want to give a really fast -- oh, sorry.
[00:00:52.000 --> 00:01:00.000]   Give me a moment as I turn this TV on real fast for our viewers at home.
[00:01:00.000 --> 00:01:03.000]   Okay.
[00:01:03.000 --> 00:01:08.000]   Okay, so real quick, giving some Bible study tips.
[00:01:08.000 --> 00:01:12.000]   Pastor Peter went over in week one the overall inductive study.
[00:01:12.000 --> 00:01:17.000]   Today, all I'm going to do is just say, just remember that as you do your Bible study,
[00:01:17.000 --> 00:01:23.000]   it's always important to follow the flow of thought by following the syntax.
[00:01:23.000 --> 00:01:24.000]   Okay.
[00:01:24.000 --> 00:01:27.000]   Pastor Paul is a very logical writer.
[00:01:27.000 --> 00:01:30.000]   If you notice, he connects his thoughts together.
[00:01:30.000 --> 00:01:32.000]   Oftentimes, he'll give even examples.
[00:01:32.000 --> 00:01:38.000]   He'll give illustrations from the past, et cetera, et cetera, and you want to identify those relationships.
[00:01:38.000 --> 00:01:41.000]   Ah, this is an example, right?
[00:01:41.000 --> 00:01:47.000]   And what I want to say is that from both paragraph to paragraph and then sentence to sentence,
[00:01:47.000 --> 00:01:54.000]   clause to clause, word to word, you want to find and identify what kind of relationship is this.
[00:01:54.000 --> 00:01:59.000]   And one helpful tip that I found was just to understand what kind of relationships are there
[00:01:59.000 --> 00:02:02.000]   and what identifiers can you see.
[00:02:02.000 --> 00:02:11.000]   So, for example, even within our text, here we have this idea for this reason, right?
[00:02:11.000 --> 00:02:20.000]   And when you see that, you should be writing or at least jotting down on the side that this is some kind of causal relationship, right?
[00:02:20.000 --> 00:02:22.000]   Because he's saying this is the reason.
[00:02:22.000 --> 00:02:27.000]   So, with that said, other markers of relationships show you purpose.
[00:02:27.000 --> 00:02:32.000]   For example, verse 10, "So that," da, da, da, da, and it shows you purpose.
[00:02:32.000 --> 00:02:39.000]   Other times, certain prepositions show you the context, show you what kind of relationship it has.
[00:02:39.000 --> 00:02:43.000]   And so what I like to do is when you take a text like this and read it,
[00:02:43.000 --> 00:02:48.000]   sometimes you aren't able to immediately see the relationships that exist.
[00:02:48.000 --> 00:02:56.000]   But what I did for you here is just to show you the different kinds of relationship markers that are present in this passage.
[00:02:56.000 --> 00:03:02.000]   And what I did is take this and put it into an outline form using specifically these words.
