
[00:00:00.000 --> 00:00:06.800]   Okay, let's get started.
[00:00:06.800 --> 00:00:11.120]   So here's the first question.
[00:00:11.120 --> 00:00:17.320]   There's a lot, so let's try to, man, you know, you guys have a lot when it comes to dating,
[00:00:17.320 --> 00:00:18.320]   huh?
[00:00:18.320 --> 00:00:19.320]   It's just so funny.
[00:00:19.320 --> 00:00:24.520]   Sometimes it's like twisting your arms and pulling your teeth and then like dating and
[00:00:24.520 --> 00:00:25.520]   go, pfft.
[00:00:25.520 --> 00:00:26.520]   So many.
[00:00:26.520 --> 00:00:28.760]   All right.
[00:00:28.760 --> 00:00:34.160]   How can I be a respectful sister or brother in hanging out with a friend of the opposite
[00:00:34.160 --> 00:00:36.320]   gender that is dating someone else?
[00:00:36.320 --> 00:00:41.400]   Well, this question, I would say as much as possible.
[00:00:41.400 --> 00:00:45.240]   I hung out with like, first of all, you got to define what hanging out is, right?
[00:00:45.240 --> 00:00:51.960]   Is hanging out like, I don't know, like if it's like hanging out in an apartment because
[00:00:51.960 --> 00:00:56.640]   like you happen to be at your apartment and someone like you're with like your roommate
[00:00:56.640 --> 00:00:59.800]   and then someone of the opposite gender comes in to hang out with you guys but then your
[00:00:59.800 --> 00:01:02.760]   roommate leaves and then it's just you guys and you guys are hanging out.
[00:01:02.760 --> 00:01:06.120]   I would say in a place like that, you guys probably shouldn't like be hanging out together
[00:01:06.120 --> 00:01:07.600]   in a room like that, you know?
[00:01:07.600 --> 00:01:11.640]   So you have to define what hanging out is.
[00:01:11.640 --> 00:01:13.520]   Is it grabbing a meal?
[00:01:13.520 --> 00:01:15.760]   Is it, you know, getting boba?
[00:01:15.760 --> 00:01:16.760]   That kind of stuff.
[00:01:16.760 --> 00:01:23.440]   Largely, and this is generally, please understand what I'm saying by generally, I wouldn't encourage
[00:01:23.440 --> 00:01:27.040]   a one-on-one hangout with just a guy and a girl.
[00:01:27.040 --> 00:01:31.120]   And the reason for that is not because like you shouldn't like be having relationships
[00:01:31.120 --> 00:01:42.440]   with a brother or sister but things just tend to happen and then secondly, you don't know,
[00:01:42.440 --> 00:01:45.840]   you can't, like I said before, you can't control the other person's heart.
[00:01:45.840 --> 00:01:49.520]   And so even if you're keeping it casual and things like that, you have no control over
[00:01:49.520 --> 00:01:50.520]   that.
[00:01:50.520 --> 00:01:58.000]   So generally, I would say not hanging out with opposite gender is wiser alone anyway.
[00:01:58.000 --> 00:02:03.640]   I am a big proponent of like, you know, hanging out in groups and I get to know people through
[00:02:03.640 --> 00:02:05.360]   groups in group settings.
[00:02:05.360 --> 00:02:07.360]   I'm a big proponent of that.
[00:02:07.360 --> 00:02:10.040]   You get to know people well through there.
[00:02:10.040 --> 00:02:17.520]   Actually sometimes I wonder if in the, like in the dating sense, like on that one-on-one
[00:02:17.520 --> 00:02:25.000]   thing, like you actually tend to very directly display what you want that other person, what
[00:02:25.000 --> 00:02:26.800]   you want that other person to see about yourself.
[00:02:26.800 --> 00:02:29.520]   Because you're like honed in on this one person.
[00:02:29.520 --> 00:02:32.760]   But in group settings, you're going to like see them interact with this person and this
[00:02:32.760 --> 00:02:35.300]   person, you'll get a better perspective of that.
[00:02:35.300 --> 00:02:41.520]   So with that, I think that kind of answers the question in a direct way.
