
[00:00:00.000 --> 00:00:08.280]   - Good morning, everybody.
[00:00:08.280 --> 00:00:15.800]   If you would take a moment to turn to your apps or your bulletins for some of our announcements.
[00:00:15.800 --> 00:00:22.960]   The first is that we have a special baptism service scheduled for September 29th, Sunday,
[00:00:22.960 --> 00:00:25.040]   at 2.30 p.m.
[00:00:25.040 --> 00:00:29.400]   Please just mark that on your calendars because it's an important time for our church members
[00:00:29.400 --> 00:00:35.680]   to come together, hear and listen to the testimony of those brothers and sisters who are professing
[00:00:35.680 --> 00:00:37.340]   their faith.
[00:00:37.340 --> 00:00:45.080]   But also, if you would like to get baptized, please email Pastor Nathan Kwok over at the
[00:00:45.080 --> 00:00:47.300]   email that you see there.
[00:00:47.300 --> 00:00:51.920]   Another thing I'd like to highlight is that for all the parents in our church who have
[00:00:51.920 --> 00:00:57.520]   their children in our education department, there's going to be a meeting on August 18th
[00:00:57.520 --> 00:00:58.520]   at 2 p.m.
[00:00:58.520 --> 00:01:03.080]   So please make sure you mark your calendars for that.
[00:01:03.080 --> 00:01:09.160]   There's also intentional moms fellowship sign up for the ladies to come together and fellowship.
[00:01:09.160 --> 00:01:12.880]   It happens Friday mornings, 9.30 to 11.30 a.m.
[00:01:12.880 --> 00:01:18.240]   So if you'd like to participate, please go ahead and go to the teen URL link and you
[00:01:18.240 --> 00:01:20.080]   can sign up there.
[00:01:20.080 --> 00:01:26.280]   The last announcement is that we have an all-church picnic scheduled for October 20th.
[00:01:26.280 --> 00:01:27.920]   So please make sure you save the date.
[00:01:27.920 --> 00:01:31.680]   We're going to start sign-ups a little bit later on, but we just want you guys to make
[00:01:31.680 --> 00:01:33.940]   sure you can participate.
[00:01:33.940 --> 00:01:38.780]   We don't have too many events through the year where the whole church can come together.
[00:01:38.780 --> 00:01:43.120]   We want our church, even though we're growing in size or whatever it may be, to be able
[00:01:43.120 --> 00:01:47.600]   to join together and be in fellowship with each other and to know who are also part of
[00:01:47.600 --> 00:01:48.600]   the community.
[00:01:48.600 --> 00:01:52.560]   So please make sure you save that date and the registration is going to be coming soon.
[00:01:52.560 --> 00:01:59.440]   Well, as you guys know, this weekend we have most of our couples and family members over
[00:01:59.440 --> 00:02:01.140]   at a retreat in Palm Desert.
[00:02:01.140 --> 00:02:06.080]   So we want to just keep them in prayer that that's a spiritually just fruitful time, both
[00:02:06.080 --> 00:02:11.560]   fellowship but more so in learning, focusing on what does it mean to be a family that's
[00:02:11.560 --> 00:02:12.560]   anchored in Christ.
[00:02:12.560 --> 00:02:18.120]   So let's continue to pray for them as they're still over there at that retreat.
[00:02:18.120 --> 00:02:24.840]   Okay, please take your Bibles and turn to Psalm chapter 73.
[00:02:24.840 --> 00:02:31.520]   Now it's 28 verses and we're going to read it together and we'll walk down this passage
[00:02:31.520 --> 00:02:37.960]   and then take a moment to pray for God's blessing on our time and the Word.
