
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.660]   - Hello, hello, okay.
[00:00:07.660 --> 00:00:11.980]   All right, apologies for if you guys didn't get to finish
[00:00:11.980 --> 00:00:14.240]   talking about the passage.
[00:00:14.240 --> 00:00:16.440]   Let's all take a moment to go before the Lord
[00:00:16.440 --> 00:00:20.560]   and ask him to bless our review of the passage.
[00:00:20.560 --> 00:00:26.680]   Heavenly Father, we again want to express our gratitude.
[00:00:26.680 --> 00:00:28.120]   We thank you so much, God,
[00:00:28.120 --> 00:00:32.680]   and we really do pray that as we continue to discuss
[00:00:32.680 --> 00:00:36.460]   and study your word, help us, Father God, to grow.
[00:00:36.460 --> 00:00:38.800]   Lord, I pray that we would, yes,
[00:00:38.800 --> 00:00:40.540]   grow in knowledge and truth,
[00:00:40.540 --> 00:00:42.560]   but I pray that we would not be those
[00:00:42.560 --> 00:00:46.500]   who are ever growing in simple propositions
[00:00:46.500 --> 00:00:48.340]   and yet not maturing.
[00:00:48.340 --> 00:00:51.880]   I pray, God, that the maturity of our thought,
[00:00:51.880 --> 00:00:55.140]   maturity of our even feelings,
[00:00:55.140 --> 00:00:56.320]   and of course, Lord God,
[00:00:56.320 --> 00:01:00.000]   the maturity of our obedience to you would be growing.
[00:01:00.000 --> 00:01:03.120]   And God, that as you are guiding us along
[00:01:03.120 --> 00:01:04.720]   in being sanctified,
[00:01:04.720 --> 00:01:07.200]   being conformed to the image of your son,
[00:01:07.200 --> 00:01:09.600]   I ask, God, that you continue to bless our path.
[00:01:09.600 --> 00:01:11.520]   We thank you in Christ's name, amen.
[00:01:11.520 --> 00:01:15.320]   Okay, so what I like to do is just begin
[00:01:15.320 --> 00:01:16.780]   by reading our passage.
[00:01:16.780 --> 00:01:22.240]   And so starting from verse three, I'll begin,
[00:01:22.240 --> 00:01:23.840]   and it says, "I thank my God
[00:01:23.840 --> 00:01:26.240]   "in all my remembrance of you,
[00:01:26.240 --> 00:01:28.140]   "always offering prayer with joy
[00:01:28.140 --> 00:01:31.660]   "in my every prayer for you all,
[00:01:31.660 --> 00:01:33.940]   "in view of your participation in the gospel
[00:01:33.940 --> 00:01:36.120]   "from the first day until now.
[00:01:36.120 --> 00:01:38.220]   "For I am confident of this very thing,
[00:01:38.220 --> 00:01:40.700]   "that he who began a good work in you
[00:01:40.700 --> 00:01:43.920]   "will perfect it until the day of Christ Jesus.
[00:01:43.920 --> 00:01:45.980]   "For it is only right for me to feel this way
[00:01:45.980 --> 00:01:49.400]   "about you all, because I have you in my heart.
[00:01:49.400 --> 00:01:51.760]   "Since both in my imprisonment and in the defense
[00:01:51.760 --> 00:01:53.120]   "and confirmation of the gospel,
[00:01:53.120 --> 00:01:56.520]   "you are all partakers of grace with me.
[00:01:56.520 --> 00:01:59.420]   "For God is my witness, how I long for you,
[00:01:59.420 --> 00:02:04.040]   "how I long for you all with the affection of Christ Jesus.
[00:02:04.040 --> 00:02:06.840]   "And this I pray, that your love may abound
[00:02:06.840 --> 00:02:10.260]   "still more and more in real knowledge and all discernment,
[00:02:10.260 --> 00:02:12.960]   "so that you may approve the things that are excellent
[00:02:12.960 --> 00:02:14.900]   "in order to be sincere and blameless
[00:02:14.900 --> 00:02:16.500]   "until the day of Christ,
[00:02:16.500 --> 00:02:18.880]   "having been filled with the fruit of righteousness,
[00:02:18.880 --> 00:02:21.160]   "which comes through Jesus Christ,
[00:02:21.160 --> 00:02:25.040]   "to the glory and praise of God, amen."
[00:02:25.040 --> 00:02:28.160]   Now, I wanna make mention again that because
[00:02:28.160 --> 00:02:30.800]   the purpose of me going over the passage
[00:02:30.800 --> 00:02:32.760]   is to really highlight for you
[00:02:32.760 --> 00:02:35.340]   what are the essential portions,
[00:02:35.340 --> 00:02:37.760]   or I guess the major themes of the passage.
[00:02:37.760 --> 00:02:40.600]   We're not gonna be able to cover every segment,
[00:02:40.600 --> 00:02:42.960]   but those observations are things for you to discuss,
[00:02:42.960 --> 00:02:44.680]   so I hope you guys had a good time
[00:02:44.680 --> 00:02:46.640]   of discussing with each other.
[00:02:46.640 --> 00:02:48.600]   What I'd like to do first is take a moment
[00:02:48.600 --> 00:02:53.600]   to really feel the thrust of this beginning paragraph.
[00:02:53.600 --> 00:02:57.040]   And typically, as Apostle Paul is addressing the church,
[00:02:57.040 --> 00:02:59.960]   he describes and expresses his heart.
[00:02:59.960 --> 00:03:02.720]   And so in this very first section,
