
[00:00:00.000 --> 00:00:01.580]   - So good morning.
[00:00:01.580 --> 00:00:06.420]   So as I was preparing this message,
[00:00:06.420 --> 00:00:08.600]   a lot of people were asking,
[00:00:08.600 --> 00:00:10.600]   "I haven't seen you up there before.
[00:00:10.600 --> 00:00:12.440]   "How long has it been since you've been,
[00:00:12.440 --> 00:00:15.600]   "have you ever preached on a Sunday?"
[00:00:15.600 --> 00:00:17.800]   Yes, the answer is yes, I have.
[00:00:17.800 --> 00:00:20.800]   It was a very, very long time ago,
[00:00:20.800 --> 00:00:24.240]   probably before most of you came to our church,
[00:00:24.240 --> 00:00:27.240]   so that's why you've probably never seen me here.
[00:00:27.240 --> 00:00:32.240]   It's back many years ago, before we even had two services,
[00:00:32.240 --> 00:00:33.740]   so that's how long ago.
[00:00:33.740 --> 00:00:37.740]   Interestingly enough, this Bible that I have
[00:00:37.740 --> 00:00:40.240]   is very old and it's an NASB,
[00:00:40.240 --> 00:00:44.240]   so when our church transitioned to NASB, I pulled it out.
[00:00:44.240 --> 00:00:49.240]   And as I was preparing this pulpit today, this morning,
[00:00:49.240 --> 00:00:54.240]   so the date, 2019, or January 19, 2020,
[00:00:54.240 --> 00:00:59.240]   in my Bible, I found a program from 2001.
[00:00:59.240 --> 00:01:03.240]   (audience laughing)
[00:01:03.240 --> 00:01:05.240]   So God gave me an illustration,
[00:01:05.240 --> 00:01:09.240]   at least in terms of our church was very different,
[00:01:09.240 --> 00:01:13.240]   probably just like this section right here, back then.
[00:01:13.240 --> 00:01:14.240]   So it's been a long time,
[00:01:14.240 --> 00:01:18.240]   and this pulpit has been faithfully preaching God's word
[00:01:18.240 --> 00:01:21.240]   for decades now, and I've been a beneficiary of that,
[00:01:21.240 --> 00:01:25.240]   so I come to this place with privilege,
[00:01:25.240 --> 00:01:28.240]   with a privilege and blessing
[00:01:28.240 --> 00:01:30.240]   that the word of God has been faithfully preached
[00:01:30.240 --> 00:01:33.240]   through men here, especially Pastor Peter.
[00:01:33.240 --> 00:01:35.240]   He's been doing this a long time,
[00:01:35.240 --> 00:01:37.240]   and I've been fortunate to sit under
[00:01:37.240 --> 00:01:42.240]   probably a thousand sermons, thinking through that.
[00:01:42.240 --> 00:01:46.240]   So Pastor Peter Chung mentioned,
