
[00:00:00.000 --> 00:00:06.120]   - Good morning, okay.
[00:00:06.120 --> 00:00:15.920]   Now we're going to be going through BCC Covenant number 10 this morning, and I'm sure as you
[00:00:15.920 --> 00:00:22.120]   guys have been able to see in our announcement sheet, the title of the sermon is called A
[00:00:22.120 --> 00:00:24.760]   Sermon on BCC Covenant number 10.
[00:00:24.760 --> 00:00:29.040]   A Sermon on BCC Covenant number 10.
[00:00:29.040 --> 00:00:35.880]   The reason I chose that as a title was because as I was just kind of preparing for today's
[00:00:35.880 --> 00:00:41.080]   sermon it dawned on me there are many different ways I could have approached this, many different
[00:00:41.080 --> 00:00:42.620]   ways, right?
[00:00:42.620 --> 00:00:44.440]   And I'm approaching it one way.
[00:00:44.440 --> 00:00:50.000]   And so because I'm approaching it one way, it is not the sermon on BCC Covenant number
[00:00:50.000 --> 00:00:51.000]   10.
[00:00:51.000 --> 00:00:54.920]   It is not the perspective on BCC Covenant number 10.
[00:00:54.920 --> 00:00:59.720]   It is A Sermon on BCC Covenant number 10.
[00:00:59.720 --> 00:01:03.440]   Now the covenant point reads as follows.
[00:01:03.440 --> 00:01:09.280]   I desire to be kept accountable by the leadership and other members at BCC and to keep others
[00:01:09.280 --> 00:01:14.320]   accountable of the above covenants and teachings of scripture.
[00:01:14.320 --> 00:01:20.160]   As you guys already know, you guys are very well familiar by now, every single covenant
[00:01:20.160 --> 00:01:26.600]   point is not a covenant point that is in addition to the scriptures, right?
[00:01:26.600 --> 00:01:28.280]   It is not added onto the scriptures.
[00:01:28.280 --> 00:01:32.880]   It's not like they're the scriptures, but we're going to be Berean and we're going to
[00:01:32.880 --> 00:01:35.160]   go beyond scripture and add something else.
[00:01:35.160 --> 00:01:38.520]   In fact, there's a direct prohibition against that.
[00:01:38.520 --> 00:01:41.080]   Paul says do not go beyond scripture.
[00:01:41.080 --> 00:01:48.000]   Rather, what the covenant points are, including this one, it's a summation of teachings in
[00:01:48.000 --> 00:01:53.960]   the scripture that are made more easily digestible and for various reasons that are included
[00:01:53.960 --> 00:01:55.840]   in the covenant point.
[00:01:55.840 --> 00:02:02.600]   Now for that reason, I'm going to go over a lot of verses today, a hefty amount of verses
[00:02:02.600 --> 00:02:03.600]   today.
[00:02:03.600 --> 00:02:10.500]   The reason I chose to do it in that manner is because I want to show you that this topic
[00:02:10.500 --> 00:02:13.320]   is spoken widely throughout scripture.
[00:02:13.320 --> 00:02:18.880]   It's not something that BCC decided to hinge on one verse.
[00:02:18.880 --> 00:02:23.480]   We want to do this this way, so let's find a verse and let's hinge on it.
[00:02:23.480 --> 00:02:31.480]   Rather, scriptures speak of this covenant point in detail and in many different places.
[00:02:31.480 --> 00:02:36.680]   I'm going to approach this morning's sermon via three points.
[00:02:36.680 --> 00:02:39.160]   They're going to be three points.
[00:02:39.160 --> 00:02:45.920]   Peer accountability, submission to elders, the example, reason, and the goal.
[00:02:45.920 --> 00:02:48.240]   I want to say that again.
[00:02:48.240 --> 00:02:55.120]   Peer accountability, submission to elders, the example, reason, and the goal.
[00:02:55.120 --> 00:02:58.160]   Number one is going to be connected with number three.
[00:02:58.160 --> 00:03:00.720]   Number two is going to be connected with number three.
[00:03:00.720 --> 00:03:03.880]   It doesn't make any sense now, but it should.
[00:03:03.880 --> 00:03:05.960]   But before we do that, let's pray.
[00:03:05.960 --> 00:03:14.440]   Father, we come before you this morning ready to hear your word.
[00:03:14.440 --> 00:03:19.720]   Not man's word, not what man has to say, but your word.
[00:03:19.720 --> 00:03:26.880]   If there is anything that I say that is from man, please take it away and lay for your
[00:03:26.880 --> 00:03:33.920]   children only the pure seed of the word of God and may that, the word of God, be implanted
[00:03:33.920 --> 00:03:40.960]   into every individual and may that be the vehicle that causes fruit.
[00:03:40.960 --> 00:03:43.720]   Open up your word this morning.
[00:03:43.720 --> 00:03:47.240]   We ask and pray these things in the name of your son.
[00:03:47.240 --> 00:03:48.600]   Amen.
[00:03:48.600 --> 00:03:52.640]   Peer accountability, point number one, peer accountability.
[00:03:52.640 --> 00:03:55.560]   It stems from this portion of the covenant.
[00:03:55.560 --> 00:04:01.280]   I desire to be kept accountable by other members at BCC and to keep others accountable.
[00:04:01.280 --> 00:04:08.320]   I desire to be kept accountable by other members at BCC and to keep others accountable.
[00:04:08.320 --> 00:04:15.240]   Now, the fact that I told you that the Bible speaks extensively about accountability won't
[00:04:15.240 --> 00:04:19.040]   come as a shock to probably anyone in this room.
[00:04:19.040 --> 00:04:22.980]   The Bible speaks extensively about accountability.
[00:04:22.980 --> 00:04:28.520]   It talks about it in very explicit terms, but it also talks about it in very implicit
[00:04:28.520 --> 00:04:29.520]   terms.
[00:04:29.520 --> 00:04:33.080]   I'll give you an example of an implicit way it speaks of accountability.
[00:04:33.080 --> 00:04:39.800]   Every time the Bible says that we are part of one body, that necessitates that you're
[00:04:39.800 --> 00:04:41.240]   in a community.
[00:04:41.240 --> 00:04:45.680]   Every time the Bible speaks of us being in one body, that means that you can't live on,
[00:04:45.680 --> 00:04:51.040]   like, intentionally live on an island and practice faithful Christianity.
[00:04:51.040 --> 00:04:59.880]   Every time the scriptures say, "Love one another, be kind to one another, exhort one another,
[00:04:59.880 --> 00:05:05.800]   meet one another," that necessitates the concept of a community.
[00:05:05.800 --> 00:05:10.320]   Now, let me take a step further to equate this with accountability.
