
[00:00:00.000 --> 00:00:02.460]   ♪ Once composed ♪
[00:00:02.460 --> 00:00:05.260]   ♪ So rich ♪
[00:00:05.260 --> 00:00:08.040]   ♪ Oh, grand ♪
[00:00:08.040 --> 00:00:13.040]   ♪ Oh, the wonderful cross ♪
[00:00:13.040 --> 00:00:18.500]   ♪ Oh, the wonderful cross ♪
[00:00:18.500 --> 00:00:22.500]   ♪ Bids me come and lie ♪
[00:00:22.500 --> 00:00:25.260]   ♪ And find that I ♪
[00:00:25.260 --> 00:00:30.260]   ♪ May truly live ♪
[00:00:30.260 --> 00:00:35.260]   ♪ Oh, the wonderful cross ♪
[00:00:35.260 --> 00:00:40.680]   ♪ Oh, the wonderful cross ♪
[00:00:40.680 --> 00:00:44.660]   ♪ All who gather here ♪
[00:00:44.660 --> 00:00:47.460]   ♪ By grace drawn in ♪
[00:00:47.460 --> 00:00:52.460]   ♪ And bless your name ♪
[00:00:53.580 --> 00:00:57.760]   ♪ In the whole realm ♪
[00:00:57.760 --> 00:01:02.760]   ♪ Of nature mine ♪
[00:01:02.760 --> 00:01:09.620]   ♪ That were an offering ♪
[00:01:09.620 --> 00:01:15.060]   ♪ Far too small ♪
[00:01:15.060 --> 00:01:20.580]   ♪ Love so amazing ♪
[00:01:21.540 --> 00:01:26.540]   ♪ So divine ♪
[00:01:26.540 --> 00:01:30.620]   ♪ Demons my soul ♪
[00:01:30.620 --> 00:01:33.500]   ♪ My life ♪
[00:01:33.500 --> 00:01:36.300]   ♪ My all ♪
[00:01:36.300 --> 00:01:41.300]   ♪ Oh, the wonderful cross ♪
[00:01:41.300 --> 00:01:46.740]   ♪ Oh, the wonderful cross ♪
[00:01:46.740 --> 00:01:50.780]   ♪ Bids me come and die ♪
[00:01:50.780 --> 00:01:53.540]   ♪ And find that I ♪
[00:01:53.540 --> 00:01:58.380]   ♪ May truly live ♪
[00:01:58.380 --> 00:02:03.380]   ♪ Oh, the wonderful cross ♪
[00:02:03.380 --> 00:02:08.860]   ♪ Oh, the wonderful cross ♪
[00:02:08.860 --> 00:02:12.860]   ♪ All who gather here ♪
[00:02:12.860 --> 00:02:15.620]   ♪ By grace drawn in ♪
[00:02:15.620 --> 00:02:20.460]   ♪ And bless your name ♪
[00:02:20.460 --> 00:02:25.460]   ♪ Oh, the wonderful cross ♪
[00:02:25.460 --> 00:02:30.900]   ♪ Oh, the wonderful cross ♪
