
[00:00:00.000 --> 00:00:07.200]   All right.
[00:00:07.200 --> 00:00:09.200]   Thank you for the praise team.
[00:00:09.200 --> 00:00:13.680]   Again, it's going to take a little bit of time adjusting to preaching to an empty room
[00:00:13.680 --> 00:00:16.920]   and leading praise with an empty room.
[00:00:16.920 --> 00:00:21.160]   You know, I was talking to a few of my friends who obviously all of them are doing the same
[00:00:21.160 --> 00:00:22.160]   thing.
[00:00:22.160 --> 00:00:24.880]   Some of them are preaching in their garage, some of them are preaching at church, some
[00:00:24.880 --> 00:00:27.040]   of them are preaching in their living room.
[00:00:27.040 --> 00:00:29.200]   And we all share the same sentiment.
[00:00:29.200 --> 00:00:34.360]   It's very difficult to preach to an empty room because we don't know the response.
[00:00:34.360 --> 00:00:39.000]   And we are getting texts that there's some issues with the sound, so please be patient
[00:00:39.000 --> 00:00:40.000]   with us.
[00:00:40.000 --> 00:00:43.400]   Our AV team is working hard to kind of adjust that.
[00:00:43.400 --> 00:00:46.200]   So again, you don't all need to be texting in.
[00:00:46.200 --> 00:00:50.460]   I think a few of the pastors and the leaders are texting in and saying that.
[00:00:50.460 --> 00:00:55.720]   So if you, you know, just be patient with us as we get these kinks out.
[00:00:55.720 --> 00:00:58.840]   And you know, I'm concerned that I may get too comfortable with preaching to an empty
[00:00:58.840 --> 00:01:01.480]   room and then I have to adjust when you guys come back.
[00:01:01.480 --> 00:01:04.480]   You know, and I'm going to be just preaching too fast or something.
[00:01:04.480 --> 00:01:08.840]   The text that we're going to be looking at this morning is in John chapter 6, the whole
[00:01:08.840 --> 00:01:13.200]   chapter, chapter 6 verses 1 through 71.
[00:01:13.200 --> 00:01:19.480]   And we're going to be expositing every single word, so obviously not, you know, there's
[00:01:19.480 --> 00:01:20.720]   too many verses.
[00:01:20.720 --> 00:01:26.120]   We're going to be highlighting, this is a very, very important passage in the ministry
[00:01:26.120 --> 00:01:27.120]   of Jesus.
[00:01:27.120 --> 00:01:32.840]   And it's going to start us off on the seven "I am" statements of Christ.
[00:01:32.840 --> 00:01:36.160]   I don't think I'll be preaching each one each week.
[00:01:36.160 --> 00:01:41.320]   Some weeks I may double up because next couple of weeks we have Palm Sunday and Easter Sunday.
[00:01:41.320 --> 00:01:45.520]   So we want to make sure that our preaching is appropriate to that.
[00:01:45.520 --> 00:01:50.760]   But for today, we're kicking off, and again, this is not a text that many of you should
[00:01:50.760 --> 00:01:51.880]   be unfamiliar with.
[00:01:51.880 --> 00:01:58.280]   I actually taught on this probably at least once or twice in the last maybe about four
[00:01:58.280 --> 00:01:59.280]   or five years.
[00:01:59.280 --> 00:02:01.680]   But again, to kick us off on the right direction.
[00:02:01.680 --> 00:02:06.320]   So let me read this, a small portion of it, and then we'll get, we'll jump right into
[00:02:06.320 --> 00:02:07.320]   it.
[00:02:07.320 --> 00:02:13.520]   Starting from verse 32 to verse 36, "Jesus then said to them, 'Truly, truly, I say to
[00:02:13.520 --> 00:02:18.640]   you, it is not Moses who has given you the bread out of heaven, but it is my Father who
[00:02:18.640 --> 00:02:20.360]   gives you the true bread out of heaven.
[00:02:20.360 --> 00:02:24.760]   For the bread of God is that which comes down out of heaven and gives life to the world.'
[00:02:24.760 --> 00:02:28.200]   Then they said to him, 'Lord, always give us this bread.'
[00:02:28.200 --> 00:02:30.160]   Jesus said to them, 'I am the bread of life.
[00:02:30.160 --> 00:02:34.680]   He who comes to me will not hunger, and he who believes in me will never thirst.
[00:02:34.680 --> 00:02:38.960]   But I said to you that you have seen me, and yet you do not believe.'"
[00:02:38.960 --> 00:02:41.960]   Let's pray.
[00:02:41.960 --> 00:02:51.440]   Heavenly Father, we pray that your Word would go forth and that it would do the work that
[00:02:51.440 --> 00:02:59.760]   you have ordained, especially now, Father God, as our lives, our church, the whole world,
[00:02:59.760 --> 00:03:02.480]   Lord, has been flipped upside down.
[00:03:02.480 --> 00:03:09.040]   And reminding us, Lord, how weak we are, how finite we are, and how desperate we are to
[00:03:09.040 --> 00:03:12.840]   know you, to hear from you, to be guided by you.
[00:03:12.840 --> 00:03:14.920]   We need your wisdom more than ever.
[00:03:14.920 --> 00:03:19.800]   We need the light of your Word to cut through the darkness so that we may see clearly.
[00:03:19.800 --> 00:03:22.240]   Lord, we desire to love you.
[00:03:22.240 --> 00:03:24.520]   We desire to worship you.
[00:03:24.520 --> 00:03:27.520]   We desire to believe you.
[00:03:27.520 --> 00:03:32.520]   Help us, Lord God, to open our eyes that we may see the true glory of the gospel of Jesus
[00:03:32.520 --> 00:03:39.480]   Christ, that your Word would have its effect, sanctify us, renew us.
[00:03:39.480 --> 00:03:42.920]   Bless us this morning, in Jesus' name we pray, amen.
[00:03:42.920 --> 00:03:45.280]   And again, it's been a couple weeks.
[00:03:45.280 --> 00:03:49.520]   Some of you guys have been, you know, cooped up at home for longer than that, and I know
[00:03:49.520 --> 00:03:54.480]   many of you are going to work, especially our health workers, first responders, you
[00:03:54.480 --> 00:03:59.240]   know, people who are working in essential things that you're doing.
[00:03:59.240 --> 00:04:03.400]   So it seems like to me, percentage-wise, maybe about half or a little bit more than half
[00:04:03.400 --> 00:04:08.680]   are staying home, and then the other half are actually going out and, you know, risking
[00:04:08.680 --> 00:04:15.080]   their health to keep the health situation, the hospitals running and tech stuff that's
[00:04:15.080 --> 00:04:16.080]   going on.
[00:04:16.080 --> 00:04:23.640]   And so know that we are praying for you, and hopefully that it won't last long.
[00:04:23.640 --> 00:04:27.840]   You know, I was thinking about the timing of this, all of this, and it probably was
[00:04:27.840 --> 00:04:32.840]   really bad for, you know, a lot of the university students, because you were just about to get
[00:04:32.840 --> 00:04:36.840]   into the finals, and then you had spring break this week.
[00:04:36.840 --> 00:04:41.840]   And probably many of you had plans to do something, especially you seniors, since this is your
[00:04:41.840 --> 00:04:47.240]   last hoorah before, you know, going off into the sunset and getting a job and, you know,
[00:04:47.240 --> 00:04:49.240]   living however, right?
[00:04:49.240 --> 00:04:52.480]   And so this was your last hoorah, so I know there's a great disappointment in many of
[00:04:52.480 --> 00:04:53.480]   you.
