
[00:00:00.000 --> 00:00:11.200]   Good evening, everybody.
[00:00:11.200 --> 00:00:15.200]   Welcome to this evening's Bible study through Ephesians.
[00:00:15.200 --> 00:00:18.120]   Let's take a moment to pray and jump right into the study.
[00:00:18.120 --> 00:00:19.120]   Let's pray.
[00:00:19.120 --> 00:00:23.520]   Our God, we thank you, Lord, so much for your grace.
[00:00:23.520 --> 00:00:29.400]   And Father, as we've been studying the book of Ephesians, Lord, we recognize that your
[00:00:29.400 --> 00:00:35.840]   love truly is so deep, so intentional, so methodical.
[00:00:35.840 --> 00:00:41.080]   What's more, Father God, we recognize that your love is so intimate, that God, you lavish
[00:00:41.080 --> 00:00:43.640]   your love upon us as your children.
[00:00:43.640 --> 00:00:48.240]   And so we want to dive just deeper into understanding to greater degree.
[00:00:48.240 --> 00:00:53.680]   What's more, we pray, Father God, that that would elicit in us a response of faith, a
[00:00:53.680 --> 00:00:58.360]   response of trust, and God reciprocating our love to you.
[00:00:58.360 --> 00:01:01.440]   We thank you, it's in Christ, and we pray.
[00:01:01.440 --> 00:01:02.680]   Amen.
[00:01:02.680 --> 00:01:08.680]   As we look through the Bible study today, we're not going to be doing a review because
[00:01:08.680 --> 00:01:14.820]   later on as we walk through the passage, there will be a review built into the study.
[00:01:14.820 --> 00:01:18.680]   So I'll read for us the passage now.
[00:01:18.680 --> 00:01:26.280]   And the scripture says, reading again in Ephesians chapter 3, verses 14 through 21, "For this
[00:01:26.280 --> 00:01:30.920]   reason I bow my knees before the Father, from whom every family in heaven and on earth derives
[00:01:30.920 --> 00:01:36.320]   its name, that he would grant you according to the riches of his glory to be strengthened
[00:01:36.320 --> 00:01:41.520]   with power through his Spirit in the inner man, so that Christ may dwell in your hearts
[00:01:41.520 --> 00:01:47.460]   through faith, and that you, being rooted and grounded in love, may be able to comprehend
[00:01:47.460 --> 00:01:52.840]   with all the saints what is the breadth and the length and the height and the depth, and
[00:01:52.840 --> 00:01:57.640]   to know the love of Christ which surpasses knowledge, that you may be filled up to all
[00:01:57.640 --> 00:01:58.880]   the fullness of God.
[00:01:58.880 --> 00:02:04.720]   Now to him who is able to do far more abundantly beyond all that we ask or think, according
[00:02:04.720 --> 00:02:09.800]   to the power that works within us, to him be the glory in the church, and in Christ
[00:02:09.800 --> 00:02:13.880]   Jesus to all generations forever and ever.
[00:02:13.880 --> 00:02:15.240]   Amen."
[00:02:15.240 --> 00:02:22.620]   As we look at this passage, there is a strong prayer here for every single believer.
[00:02:22.620 --> 00:02:28.600]   And so what we wanted to do first is take a look at one of the study questions was,
[00:02:28.600 --> 00:02:30.920]   what prompted the prayer?
[00:02:30.920 --> 00:02:35.440]   Apostle Paul in a couple of occasions said, "For this reason," and so we have to ask,
[00:02:35.440 --> 00:02:39.720]   what was this reason?
[00:02:39.720 --> 00:02:46.880]   And what we notice is actually that this phrase, "For this reason," occurred in verse 1.
[00:02:46.880 --> 00:02:51.920]   Apostle Paul said, "For this reason I, Paul, the prisoner of Christ Jesus, for the sake
[00:02:51.920 --> 00:02:58.080]   of you Gentiles," and then he paused in that moment, and when he paused, he paused to ask
[00:02:58.080 --> 00:03:02.240]   us the question, "Did you really understand the gospel?
[00:03:02.240 --> 00:03:04.360]   Do you understand what God is doing?
[00:03:04.360 --> 00:03:08.920]   And do you understand why I'm trying to make sure I teach you these things?"
