
[00:00:00.000 --> 00:00:07.160]   - Good evening, everybody.
[00:00:07.160 --> 00:00:12.080]   Glad we could tune in for another session of our Ephesians Bible study.
[00:00:12.080 --> 00:00:14.960]   Let's take a moment to pray as we begin.
[00:00:14.960 --> 00:00:18.640]   Our God, thank you, Lord, for your grace.
[00:00:18.640 --> 00:00:23.440]   And God, we thank you that, Lord, your heart is kind and generous.
[00:00:23.440 --> 00:00:29.760]   Lord, we recognize that throughout the book study, that, Lord, you have been overflowing
[00:00:29.760 --> 00:00:34.000]   with mercies, forgiveness, and love.
[00:00:34.000 --> 00:00:38.040]   And what's more, God, that you have been absolutely generous with us.
[00:00:38.040 --> 00:00:43.320]   And this not because of anything that we merit, but truly because this is the character of
[00:00:43.320 --> 00:00:44.660]   your heart.
[00:00:44.660 --> 00:00:50.000]   And so we thank you, God, for not only allowing us to see it, but God, to experientially receive
[00:00:50.000 --> 00:00:52.040]   it from your gracious hand.
[00:00:52.040 --> 00:00:56.720]   We pray for another session of Bible study that as we study your word, God, that we would
[00:00:56.720 --> 00:00:59.280]   truly have eyes to see and ears to hear.
[00:00:59.280 --> 00:01:02.720]   We thank you, it's in Christ's name we pray, amen.
[00:01:02.720 --> 00:01:08.160]   Okay, we're taking a look at Ephesians chapter four, verses seven through 10 today.
[00:01:08.160 --> 00:01:12.040]   But as you take a look at the passage, you could easily tell that verses seven all the
[00:01:12.040 --> 00:01:15.880]   way down through verse 16 is one paragraph.
[00:01:15.880 --> 00:01:21.800]   So let's take a moment to read that portion of scripture and we'll study the passage.
[00:01:21.800 --> 00:01:27.760]   Ephesians four, verse seven, it says, "But to each one of us, grace was given according
[00:01:27.760 --> 00:01:30.720]   to the measure of Christ's gift.
[00:01:30.720 --> 00:01:36.120]   Therefore it says, when he ascended on high, he led captive a host of captives and he gave
[00:01:36.120 --> 00:01:37.120]   gifts to men."
[00:01:37.120 --> 00:01:43.080]   Now this expression, he ascended, what does it mean except that he also had descended
[00:01:43.080 --> 00:01:45.600]   into the lower parts of the earth?
[00:01:45.600 --> 00:01:51.120]   He who descends is himself also he who ascends far above all the heavens so that he might
[00:01:51.120 --> 00:01:53.000]   fill all things.
[00:01:53.000 --> 00:01:54.960]   Let's take a moment to read the rest of the paragraph.
[00:01:54.960 --> 00:01:59.120]   "And he gave some as apostles and some as prophets and some as evangelists and some
[00:01:59.120 --> 00:02:04.120]   as pastors and teachers for the equipping of the saints for the work of service, to
[00:02:04.120 --> 00:02:09.080]   the building up of the body of Christ, until we all attained to the unity of the faith
[00:02:09.080 --> 00:02:14.360]   and the knowledge of the son of God, to a mature man, to the measure of the stature
[00:02:14.360 --> 00:02:17.200]   which belongs to the fullness of Christ.
[00:02:17.200 --> 00:02:22.280]   As a result, we are no longer to be children tossed here and there by waves and carried
[00:02:22.280 --> 00:02:28.740]   about by every wind of doctrine, by the trickery of men, by craftiness and deceitful scheming.
[00:02:28.740 --> 00:02:33.160]   But speaking the truth in love, we are to grow up in all aspects and to him who is the
[00:02:33.160 --> 00:02:39.000]   head, even Christ, from whom the whole body being fitted and held together by what every
[00:02:39.000 --> 00:02:44.260]   joint supplies according to the proper working of each individual part, cause the growth
[00:02:44.260 --> 00:02:47.440]   of the body for the building up of itself in love."
[00:02:47.440 --> 00:02:55.680]   Okay, let's begin by taking a look at the very first verse of our passage, verse seven.
[00:02:55.680 --> 00:02:58.960]   And this is a topic sentence for the paragraph.
[00:02:58.960 --> 00:03:02.760]   It begins by saying, "But to each one of us, grace was given according to the measure of
