
[00:00:00.000 --> 00:00:07.000]   Let me see.
[00:00:07.000 --> 00:00:17.920]   Okay. Alright, so welcome to week two of the Gospel of Mark.
[00:00:17.920 --> 00:00:22.440]   I'm very excited to get started into reading the text.
[00:00:22.440 --> 00:00:25.600]   I want to say hello to those in
[00:00:25.600 --> 00:00:29.000]   LA and Corona and all that stuff.
[00:00:29.000 --> 00:00:33.080]   I mean, we want to make them feel welcomed. You know, they're part of our church too, so
[00:00:33.080 --> 00:00:36.600]   I want to say hi. Shout out to them.
[00:00:36.600 --> 00:00:40.720]   So, let's start off with a word of prayer and then we're going to get started.
[00:00:40.720 --> 00:00:45.640]   Okay, so let's pray. Father God, we
[00:00:45.640 --> 00:00:49.880]   thank you again so much for tonight and just allowing us to
[00:00:49.880 --> 00:00:55.000]   study your word once again. We thank you, Lord, that you have
[00:00:55.000 --> 00:00:58.960]   out of your love and your
[00:00:58.960 --> 00:01:03.920]   grace to us, Lord, you have left us with your word so that, Father, we may know
[00:01:03.920 --> 00:01:07.560]   the mind of our Lord and Savior, that we may
[00:01:07.560 --> 00:01:12.320]   know the heart that he has and to be amazed,
[00:01:12.320 --> 00:01:17.080]   Lord God, at the tremendous work of Jesus Christ. And, Lord, I pray
[00:01:17.080 --> 00:01:20.760]   that the study of the Gospel of Mark would only
[00:01:20.760 --> 00:01:23.880]   heighten that kind of amazement, that kind of
[00:01:23.880 --> 00:01:27.720]   love for Jesus and that ultimately, Lord God,
[00:01:27.720 --> 00:01:32.040]   we would respond in a manner that would be pleasing to you.
[00:01:32.040 --> 00:01:35.640]   I pray, Lord God, just for tonight,
[00:01:35.640 --> 00:01:38.840]   we pray for attentive minds and attentive hearts, Lord.
[00:01:38.840 --> 00:01:42.360]   Some of us have come from just a long day at work.
[00:01:42.360 --> 00:01:46.360]   Some of us have come from just a long day of just chores or whatnot.
[00:01:46.360 --> 00:01:50.600]   Lord, our minds can be fatigued, but Lord, we ask for your blessing
[00:01:50.600 --> 00:01:54.360]   that you would strengthen us so that, Lord, we may, again,
[00:01:54.360 --> 00:01:59.320]   be at full optimum capacity, Lord God, to understand your word.
[00:01:59.320 --> 00:02:03.160]   And so, Father, we again thank you for tonight and may you bless it and
