
[00:00:00.000 --> 00:00:06.440]   All right, good morning.
[00:00:06.440 --> 00:00:11.320]   Happy Mother's Day to all the mothers who are participating today.
[00:00:11.320 --> 00:00:15.400]   I know especially with the quarantine and all the kids being homeschooled, you're working
[00:00:15.400 --> 00:00:20.040]   overtime and so we're praying for you, we're thankful for you.
[00:00:20.040 --> 00:00:23.880]   And you know, typically when we think about God's agape love, the closest thing that most
[00:00:23.880 --> 00:00:27.520]   people can think of is the love that they receive from their mothers.
[00:00:27.520 --> 00:00:32.520]   And so again, obviously even the mother's love cannot compare to the love that we receive
[00:00:32.520 --> 00:00:33.520]   from God the Father.
[00:00:33.520 --> 00:00:40.040]   But as people, you know, the closest that we typically experience is usually from our
[00:00:40.040 --> 00:00:41.040]   mothers.
[00:00:41.040 --> 00:00:43.800]   So again, we want to thank you for all the hard work that you're putting in, especially
[00:00:43.800 --> 00:00:48.880]   now as you're homeschooling, you know, taking care of the home and just working overtime
[00:00:48.880 --> 00:00:51.160]   right now more than any other period.
[00:00:51.160 --> 00:00:58.360]   We do have a special video to celebrate Mother's Day, but we're not going to be watching it
[00:00:58.360 --> 00:00:59.640]   online.
[00:00:59.640 --> 00:01:00.920]   It's going to be put up on Facebook.
[00:01:00.920 --> 00:01:02.920]   It's a little bit longer than I think normal.
[00:01:02.920 --> 00:01:07.120]   So after the service or whenever you have time today or even tomorrow, you can just
[00:01:07.120 --> 00:01:10.400]   go and just watch that on your own time.
[00:01:10.400 --> 00:01:15.440]   But again, we do have a special video that our media team created for us.
[00:01:15.440 --> 00:01:21.160]   Okay, if you can turn your Bibles to John chapter 15, and we're actually going to be
[00:01:21.160 --> 00:01:27.080]   floating around John chapter, you know, latter part of 14, 15, and then the beginning part
[00:01:27.080 --> 00:01:28.200]   of chapter 16.
[00:01:28.200 --> 00:01:32.000]   But again, we're going to be, there's a lot to cover and I'm not going to be able to cover
[00:01:32.000 --> 00:01:33.200]   all of it today.
[00:01:33.200 --> 00:01:38.440]   This text is so rich with so many good things that Christ was trying to teach them before
[00:01:38.440 --> 00:01:39.500]   he left.
[00:01:39.500 --> 00:01:42.560]   And so, but the main text that we're going to be looking at is starting from verse 1
[00:01:42.560 --> 00:01:43.560]   through 11.
[00:01:43.560 --> 00:01:47.680]   So let's read that before we pray and then jump into the sermon.
[00:01:47.680 --> 00:01:51.040]   I am the true vine and my father is the vine dresser.
[00:01:51.040 --> 00:01:53.640]   Every branch in me that does not bear fruit, he takes away.
[00:01:53.640 --> 00:01:58.600]   And every branch that bears fruit, he prunes it so that it may bear more fruit.
[00:01:58.600 --> 00:02:02.560]   You're already clean because of the word which I have spoken to you.
[00:02:02.560 --> 00:02:06.840]   Abide in me and I in you as the branch cannot bear fruit of itself unless it abides in the
[00:02:06.840 --> 00:02:07.840]   vine.
[00:02:07.840 --> 00:02:10.680]   So neither can you unless you abide in me.
[00:02:10.680 --> 00:02:11.680]   I am the vine.
[00:02:11.680 --> 00:02:12.680]   You are the branches.
[00:02:12.680 --> 00:02:14.400]   He abides in me and I in him.
[00:02:14.400 --> 00:02:18.480]   He bears much fruit for apart from me, you can do nothing.
[00:02:18.480 --> 00:02:23.640]   If anyone does not abide in me, he is thrown away as a branch and dries up and they gather
[00:02:23.640 --> 00:02:26.680]   them and cast them into the fire and they are burned.
[00:02:26.680 --> 00:02:28.880]   If you abide in me, my words abide in you.
[00:02:28.880 --> 00:02:31.320]   Ask whatever you wish and it will be done for you.
[00:02:31.320 --> 00:02:36.560]   My father is glorified by this, that you bear much fruit and so prove to be my disciples.
[00:02:36.560 --> 00:02:39.220]   Just as a father has loved me, I have also loved you.
[00:02:39.220 --> 00:02:40.720]   Abide in my love.
[00:02:40.720 --> 00:02:43.080]   If you keep my commandments, you abide in my love.
[00:02:43.080 --> 00:02:47.020]   Just as I have kept my father's commandment and abide in his love.
[00:02:47.020 --> 00:02:51.480]   These things I have spoken to you so that my joy may be in you and that your joy may
[00:02:51.480 --> 00:02:52.720]   be made full.
[00:02:52.720 --> 00:02:53.720]   Let's pray.
[00:02:53.720 --> 00:03:01.320]   Gracious and loving father, we pray for your anointing over this time.
[00:03:01.320 --> 00:03:08.020]   We pray father God that your living word that you invested and poured your very breath into
[00:03:08.020 --> 00:03:11.800]   that we may be the beneficiary of this, of your word this morning.
[00:03:11.800 --> 00:03:17.200]   We pray for your Holy Spirit to illumine us, open our eyes Lord God, that we may understand
[00:03:17.200 --> 00:03:23.960]   and that our hearts may be moldable as you are the potter and we are the clay and we
[00:03:23.960 --> 00:03:26.000]   desire to be molded by your word this morning.
[00:03:26.000 --> 00:03:29.040]   In Jesus name we pray.
[00:03:29.040 --> 00:03:32.920]   Amen.
[00:03:32.920 --> 00:03:42.340]   If you had maybe, you know, six hours, you know, or seven hours and you knew that you
[00:03:42.340 --> 00:03:48.060]   were going to depart from your loved ones, what are the final words that you would say?
[00:03:48.060 --> 00:03:49.660]   What are some instructions that you would give?
[00:03:49.660 --> 00:03:54.100]   And if you're parents, like what would you say to your children?
