
[00:00:00.000 --> 00:00:07.000]   I'm going to open this up in prayer and then we'll begin.
[00:00:07.000 --> 00:00:10.000]   Is everything good Steve?
[00:00:10.000 --> 00:00:11.000]   Okay.
[00:00:11.000 --> 00:00:18.000]   Alright, so let's open up with a word of prayer.
[00:00:18.000 --> 00:00:28.000]   Father God, we thank you again so much for your grace this day that you allowed us to
[00:00:28.000 --> 00:00:36.000]   gather together to study your word and to understand the mind of our Lord and Savior.
[00:00:36.000 --> 00:00:44.000]   God, I just pray that through this study that you bear much fruit for your glory and for
[00:00:44.000 --> 00:00:46.000]   your kingdom.
[00:00:46.000 --> 00:00:54.000]   That the people who are a part of your kingdom may be encouraged and be amazed at what the
[00:00:54.000 --> 00:01:03.000]   Lord has done, not only what we read in the scriptures but also in our own lives.
[00:01:03.000 --> 00:01:13.000]   I pray that amazement will never die or be lessened, but rather Lord may it grow deeply
[00:01:13.000 --> 00:01:19.000]   in our hearts, in our minds, and in whatever endeavors that we may be committed to Lord,
[00:01:19.000 --> 00:01:24.000]   that we would desire to see your son be magnified.
[00:01:24.000 --> 00:01:30.000]   So God we pray for tonight that you would be with us as we continue our study of the
[00:01:30.000 --> 00:01:32.000]   gospel of Mark.
[00:01:32.000 --> 00:01:35.000]   Pray for those who are coming here now.
[00:01:35.000 --> 00:01:41.000]   Pray for travel blessings that you would allow them to get here safely.
[00:01:41.000 --> 00:01:52.000]   We pray for those who are learning the gospel of Mark at our satellite campuses or homes.
[00:01:52.000 --> 00:01:56.000]   We pray for much blessing to come forth from them as well.
[00:01:56.000 --> 00:02:00.000]   So God we pray that tonight would be dedicated to you.
[00:02:00.000 --> 00:02:02.000]   Give us a tent of minds and a tent of hearts.
[00:02:02.000 --> 00:02:03.000]   We pray this is your name.
[00:02:03.000 --> 00:02:04.000]   Amen.
[00:02:04.000 --> 00:02:06.000]   Alright.
[00:02:06.000 --> 00:02:16.000]   So one of the things I wanted to give you guys was the actual PowerPoint slides.
[00:02:16.000 --> 00:02:21.000]   I hope they're much more beneficial to you guys than the previous worksheets that I was
[00:02:21.000 --> 00:02:23.000]   passing out for before.
[00:02:23.000 --> 00:02:32.000]   So just a quick review over the gospel of Mark and what we've covered so far.
[00:02:32.000 --> 00:02:36.000]   We had the threefold purpose of Mark as we found in verse 1.
[00:02:36.000 --> 00:02:41.000]   Then we moved on to the battle cry and Jesus' baptism.
[00:02:41.000 --> 00:02:47.000]   We had the beginnings of Christ's ministry in Mark chapter 1 verse 14-25.
[00:02:47.000 --> 00:02:51.000]   We had the four offenses in Mark chapter 2.
[00:02:51.000 --> 00:02:57.000]   We had the rise of the opposition in Mark chapter 3 verse 7-35.
[00:02:57.000 --> 00:03:03.000]   Again, that's where Jesus' own family was kind of going against them.
[00:03:03.000 --> 00:03:08.000]   And then we had the planting of the parables in Mark chapter 4 verse 1-34.
[00:03:08.000 --> 00:03:17.000]   Where we see Jesus' teaching ministry shifting towards parables and no longer making direct
[00:03:17.000 --> 00:03:21.000]   calls of repentance to the crowds.
[00:03:21.000 --> 00:03:28.000]   So that's what we covered over the past two weeks since we started.
[00:03:28.000 --> 00:03:31.000]   So yeah, so any questions from that so far?
[00:03:31.000 --> 00:03:32.000]   Any questions?
[00:03:32.000 --> 00:03:35.000]   Alright.
[00:03:35.000 --> 00:03:39.000]   So now we're going to just review over the outline of Mark.
[00:03:39.000 --> 00:03:43.000]   One thing that I want, I think in the PowerPoint it's blank.
[00:03:43.000 --> 00:03:46.000]   I didn't put down the location because, yeah.
[00:03:46.000 --> 00:03:49.000]   So I just want to test you guys.
[00:03:49.000 --> 00:03:57.000]   I want to test you guys to see if you guys know where the outline of Mark goes geographically.
[00:03:57.000 --> 00:04:00.000]   And so I'm just going to call on you guys.
[00:04:00.000 --> 00:04:03.000]   There's only four little, four boxes that need to be filled in.
[00:04:03.000 --> 00:04:10.000]   So I'll just start off with Judy.
[00:04:10.000 --> 00:04:16.000]   Chapter 1 verse 1 until verse 13, where is Jesus?
[00:04:16.000 --> 00:04:18.000]   The wilderness, Judea.
[00:04:18.000 --> 00:04:19.000]   Right?
[00:04:19.000 --> 00:04:20.000]   Very good.
[00:04:20.000 --> 00:04:26.000]   In chapter 1 verse 14 until the end of chapter 9, where is Jesus, Kevin Yoon?
[00:04:26.000 --> 00:04:29.000]   Are you sure?
[00:04:29.000 --> 00:04:32.000]   Alright, you're right.
[00:04:32.000 --> 00:04:38.000]   Chapter 10, the entire chapter, of chapter 10, we call that what?
[00:04:38.000 --> 00:04:40.000]   Becky Clark.
[00:04:40.000 --> 00:04:43.000]   The turning point.
[00:04:43.000 --> 00:04:49.000]   And from chapter 11 until the end of chapter 16, where is Jesus?
[00:04:49.000 --> 00:04:52.000]   Alexi.
[00:04:52.000 --> 00:04:53.000]   Jerusalem.
[00:04:53.000 --> 00:04:54.000]   Very good.
[00:04:54.000 --> 00:05:08.000]   So again, very easy to track the Gospel of Mark geographically.
[00:05:08.000 --> 00:05:17.000]   What we're about to enter in tonight's study is something that I call the, there's four withdrawals in the Gospel of Mark.
[00:05:17.000 --> 00:05:20.000]   Within his ministry in Galilee.
[00:05:20.000 --> 00:05:26.000]   And so tonight we're covering chapter 4 verse 35 until chapter 6 verse 29.
[00:05:26.000 --> 00:05:32.000]   And in that it's what we consider the first withdrawal.
[00:05:32.000 --> 00:05:45.000]   And as you guys can see, it's commenced or it started off by Mark stating, or Jesus stating, let's go to the other side.
[00:05:45.000 --> 00:05:54.000]   And so, again, all of these withdrawals occur while he's in Galilee.
[00:05:54.000 --> 00:05:58.000]   They have some form of him saying let's go to the other side, let's go here, let's go there.
[00:05:58.000 --> 00:06:05.000]   And it happens four times within the first nine chapters of the Gospel of Mark.
[00:06:05.000 --> 00:06:11.000]   And every time he withdraws away from Galilee, he always comes back to Galilee.
[00:06:11.000 --> 00:06:15.000]   So that's something to just take note of.
[00:06:15.000 --> 00:06:19.000]   So tonight, again, we're covering the first withdrawal.
[00:06:19.000 --> 00:06:26.000]   That's why the entire withdrawal.
[00:06:26.000 --> 00:06:35.000]   And so, yeah, so the outlook right there, the first withdrawal contains six events that we're going to cover tonight.
[00:06:35.000 --> 00:06:38.000]   The great storm, the great calm, and the great fear.
[00:06:38.000 --> 00:06:40.000]   We have the three retreats.
[00:06:40.000 --> 00:06:49.000]   We have the 12 years, the hometown offense, the first commission of the apostles, and the end of John the Baptist.
[00:06:49.000 --> 00:06:52.000]   And so, yeah, so there we go.
[00:06:52.000 --> 00:06:56.000]   So we're going to head right on in.
[00:06:56.000 --> 00:07:00.000]   And we're going to talk about the great storm, the great calm, and the great fear.
[00:07:00.000 --> 00:07:04.000]   And we find that in Mark 4, verse 35-41.
[00:07:04.000 --> 00:07:11.000]   And in it, it says, "On that day when evening came, Jesus said to them, 'Let us go over to the other side.'
[00:07:11.000 --> 00:07:17.000]   Leaving the crowd, he took them along with him in the boat, just as he was, and the other boats were with them.
[00:07:17.000 --> 00:07:25.000]   And there arose a fierce gale of wind, and the waves were breaking over the boat so much that the boat was already filling up.
[00:07:25.000 --> 00:07:29.000]   Jesus himself was in the stern, asleep on the cushion.
[00:07:29.000 --> 00:07:34.000]   And they woke him and said to him, 'Teacher, do you not care that we are perishing?'
[00:07:34.000 --> 00:07:40.000]   And he got up and rebuked the wind and said to the sea, 'Hush, be still.'
[00:07:40.000 --> 00:07:44.000]   And the wind died down, and it became perfectly calm.
[00:07:44.000 --> 00:07:48.000]   And he said to them, 'Why are you afraid? How is it that you have no faith?'
[00:07:48.000 --> 00:07:55.000]   They became very much afraid and said to one another, 'Who then is this, that even the wind and the sea obey him?'"
[00:07:55.000 --> 00:08:02.000]   Now, we see again in verse 35 that Jesus initiates this withdrawal.
[00:08:02.000 --> 00:08:05.000]   He's going away from the crowds.
[00:08:05.000 --> 00:08:09.000]   We talked about last week that there was a bunch of people coming around Jesus.
[00:08:09.000 --> 00:08:17.000]   They were kind of, almost in a sense, kind of crushing him because they want to try to reach out and touch him and be healed.
[00:08:17.000 --> 00:08:22.000]   They want to hear his teachings, so they're kind of pushing in more.
[00:08:22.000 --> 00:08:30.000]   And so, here is Jesus in verse 35, and he's telling his disciples, "Let us go to the other side."
[00:08:30.000 --> 00:08:33.000]   Now, Jesus wasn't trying to avoid the crowds.
[00:08:33.000 --> 00:08:39.000]   Again, he's not saying, like, "I'm tired of the crowds, and I just want to get away from them."
[00:08:39.000 --> 00:08:46.000]   Rather, in divine sovereignty, there's a purpose behind this withdrawal.
[00:08:46.000 --> 00:08:48.000]   There's a purpose behind it.
[00:08:48.000 --> 00:08:54.000]   Jesus is on a mission as he takes this first withdrawal.
