
[00:00:00.000 --> 00:00:07.320]   Good evening, Church family.
[00:00:07.320 --> 00:00:12.000]   Hope you had a good week of rest.
[00:00:12.000 --> 00:00:14.760]   Tonight we're going to be continuing our study of Ephesians.
[00:00:14.760 --> 00:00:17.760]   And we're going to go through chapter 5 and 6 in this series.
[00:00:17.760 --> 00:00:18.760]   This is the second half.
[00:00:18.760 --> 00:00:22.740]   Tonight we're going to be tackling the first paragraph of chapter 5.
[00:00:22.740 --> 00:00:26.800]   Let's take a moment to go before the Lord as we engage the scriptures.
[00:00:26.800 --> 00:00:29.760]   Our God, we thank you so much for your grace.
[00:00:29.760 --> 00:00:34.720]   And God, we thank you over and over again that you are teaching us through your scripture.
[00:00:34.720 --> 00:00:38.800]   God, we recognize that these truths you give to us are not things that we figure out on
[00:00:38.800 --> 00:00:39.800]   our own.
[00:00:39.800 --> 00:00:44.520]   Our Father God, these are revealed to us by your grace and mercies.
[00:00:44.520 --> 00:00:50.080]   And you show us things, Father God, in the spiritual realities, things that, Father God,
[00:00:50.080 --> 00:00:52.120]   many people do not understand.
[00:00:52.120 --> 00:00:57.420]   And I pray that with gratitude and sincere appreciation, we would long for and we would
[00:00:57.420 --> 00:01:02.640]   desire all the more to heed your commands, to listen to, Father God, your wisdom, and
[00:01:02.640 --> 00:01:04.880]   all the more apply unto our lives.
[00:01:04.880 --> 00:01:10.640]   We thank you so much for your grace and pray now that you would grant to us understanding
[00:01:10.640 --> 00:01:11.640]   and conviction.
[00:01:11.640 --> 00:01:12.640]   It's in Christ's name we pray.
[00:01:12.640 --> 00:01:13.640]   Amen.
[00:01:13.640 --> 00:01:14.640]   Okay.
[00:01:14.640 --> 00:01:19.680]   Well, since we did take just a short break, it's good to review.
[00:01:19.680 --> 00:01:25.520]   And so if you recall, chapters 1 through 3 of Ephesians was a lot of the theology and
[00:01:25.520 --> 00:01:33.240]   the groundwork of how God has blessed us and how in the gospel, God has elected.
[00:01:33.240 --> 00:01:36.680]   He is the one who is effecting salvation.
[00:01:36.680 --> 00:01:41.720]   And the contrast between what we were and who we are now was so evidently displayed
[00:01:41.720 --> 00:01:43.400]   in chapters 1 through 3.
[00:01:43.400 --> 00:01:47.760]   And then in chapter 4 is here began the application for us.
[00:01:47.760 --> 00:01:51.040]   Now here, oh, sorry.
[00:01:51.040 --> 00:01:56.520]   Here in chapter 4 verses 1, it says, "I implore you," and I gave you some blanks just to test
[00:01:56.520 --> 00:01:59.920]   if you guys recall, "to blank in a blank blank."
[00:01:59.920 --> 00:02:00.920]   Right?
[00:02:00.920 --> 00:02:02.000]   Take a moment to think about that.
[00:02:02.000 --> 00:02:04.180]   What is the command there?
[00:02:04.180 --> 00:02:08.640]   And the command was for us to walk in a manner worthy of the calling with which you have
[00:02:08.640 --> 00:02:09.640]   been called.
[00:02:09.640 --> 00:02:10.640]   Okay?
[00:02:10.640 --> 00:02:15.040]   Now, within the beginning portions of chapter 4, there was a huge challenge for us to seek
[00:02:15.040 --> 00:02:16.040]   unity.
[00:02:16.040 --> 00:02:17.900]   And there had to be this unity.
[00:02:17.900 --> 00:02:22.120]   So he says that we have to have humility, gentleness, patience, showing tolerance for
[00:02:22.120 --> 00:02:27.800]   one another in love, being diligent to preserve the unity of the spirit and the bond of peace.
[00:02:27.800 --> 00:02:29.880]   So we talked a lot about that.
[00:02:29.880 --> 00:02:33.960]   And then in the middle of chapter 4, Apostle Paul says, "So this I say and affirm together
[00:02:33.960 --> 00:02:38.920]   with the Lord, that you no longer walk just as the blank."
[00:02:38.920 --> 00:02:39.920]   What's the blank here?
[00:02:39.920 --> 00:02:44.640]   It starts with the G. The word is Gentiles.
[00:02:44.640 --> 00:02:47.720]   He talks about how the, within this passage, he talks about how the Gentiles walk in the
[00:02:47.720 --> 00:02:50.000]   futility of their mind, in ignorance, right?
[00:02:50.000 --> 00:02:52.400]   In the callousness of their heart.
[00:02:52.400 --> 00:02:57.120]   And then he goes on in verse 23 and says, "But that you be renewed in the spirit of
[00:02:57.120 --> 00:03:01.240]   your mind and put on the blank blank."
[00:03:01.240 --> 00:03:07.640]   That blank blank is a new self, which in the likeness of God has been created in righteousness
[00:03:07.640 --> 00:03:10.160]   and holiness of the truth.
[00:03:10.160 --> 00:03:11.940]   So we are challenged.
[00:03:11.940 --> 00:03:16.960]   These commands are really again, broad pictures of what we're supposed to be doing.
