
[00:00:00.000 --> 00:00:09.120]   - Hello, everyone.
[00:00:09.120 --> 00:00:14.600]   For tonight's Bible study, we're going to be studying Ephesians chapter 5, verses 7
[00:00:14.600 --> 00:00:20.800]   through 14, and continuing on the command and challenge for us to walk worthy of the
[00:00:20.800 --> 00:00:27.080]   gospel, to walk in the image of God, and tonight it's going to be to walk as children of light.
[00:00:27.080 --> 00:00:31.040]   Before we take the time to dive into the study, let's take a moment to pray, ask for the Lord's
[00:00:31.040 --> 00:00:32.520]   blessing on our study.
[00:00:32.520 --> 00:00:36.360]   Our God, we thank you so much for your grace.
[00:00:36.360 --> 00:00:43.360]   Lord, each week we're grateful for the precious word that we receive.
[00:00:43.360 --> 00:00:50.640]   We recognize that throughout history, your saints have seen your word for what it is,
[00:00:50.640 --> 00:00:56.680]   that God, your word is a light unto our feet, and God, that as it dwells within us, as it
[00:00:56.680 --> 00:01:01.960]   produces in us the effect and the fruit that you desire, God, that you call us to shine
[00:01:01.960 --> 00:01:02.960]   this light.
[00:01:02.960 --> 00:01:08.880]   I pray, Father God, that we would be walking then, walking according to your truth, that
[00:01:08.880 --> 00:01:13.280]   God, we would be able to apply in all the different facets of our lives, Lord.
[00:01:13.280 --> 00:01:17.880]   Thank you for this time of study and pray that God, again, thoroughly and deeply, you
[00:01:17.880 --> 00:01:19.360]   would continue to change us.
[00:01:19.360 --> 00:01:21.440]   We thank you in Christ's name.
[00:01:21.440 --> 00:01:22.440]   Amen.
[00:01:22.440 --> 00:01:23.440]   Okay.
[00:01:23.440 --> 00:01:31.040]   So, if you would follow with me as I read chapter five, starting from verse one.
[00:01:31.040 --> 00:01:36.600]   It's good sometimes just to review the sections before us, because there's so much in there,
[00:01:36.600 --> 00:01:41.600]   but particularly today, because you recognize that the two paragraphs really flow one to
[00:01:41.600 --> 00:01:42.600]   another.
[00:01:42.600 --> 00:01:44.720]   So, let's take a moment to read.
[00:01:44.720 --> 00:01:51.680]   It says, "Therefore, be imitators of God as beloved children, and walk in love just as
[00:01:51.680 --> 00:01:57.160]   Christ also loved you and gave himself up for us, an offering and a sacrifice to God
[00:01:57.160 --> 00:02:01.200]   as a flagrant, fragrant aroma.
[00:02:01.200 --> 00:02:06.400]   But immorality or any impurity or greed must not even be named among you as is proper among
[00:02:06.400 --> 00:02:07.760]   saints.
[00:02:07.760 --> 00:02:13.120]   And there must be no filthiness and silly talk or coarse jesting which are not fitting,
[00:02:13.120 --> 00:02:15.040]   but rather giving of thanks.
[00:02:15.040 --> 00:02:19.680]   For this you know with certainty, that no immoral or impure person or covetous man who
[00:02:19.680 --> 00:02:24.280]   is an idolater has an inheritance in the kingdom of Christ and God.
[00:02:24.280 --> 00:02:29.320]   Let no one deceive you with empty words, for because of these things, the wrath of God
[00:02:29.320 --> 00:02:32.640]   comes upon the sons of disobedience.
[00:02:32.640 --> 00:02:36.840]   Therefore, do not be partakers with them."
[00:02:36.840 --> 00:02:42.540]   Verse eight, "For you were formerly darkness, but now you are light in the world.
[00:02:42.540 --> 00:02:47.000]   Walk as children of light, for the fruit of light consists in all goodness and righteousness
[00:02:47.000 --> 00:02:52.620]   and truth, trying to learn what is pleasing to the Lord.
[00:02:52.620 --> 00:02:59.200]   Do not participate in the unfruitful deeds of darkness, but instead even expose them.
[00:02:59.200 --> 00:03:03.440]   For it is disgraceful even to speak of the things which are done by them in secret, but
[00:03:03.440 --> 00:03:06.920]   all things become visible when they are exposed by the light.
[00:03:06.920 --> 00:03:10.840]   For everything that becomes visible is light.
[00:03:10.840 --> 00:03:16.560]   For this reason it says, 'Awake, sleeper, and arise from the dead, and Christ will shine
[00:03:16.560 --> 00:03:17.560]   on you.'"
[00:03:17.560 --> 00:03:18.560]   Okay?
[00:03:18.560 --> 00:03:24.240]   So as we recall, there were some really emphatic commands for us to abide by.
[00:03:24.240 --> 00:03:28.760]   And the way that I talked about them in the previous Bible studies are that these are
[00:03:28.760 --> 00:03:32.280]   broad categorical commands, right?
[00:03:32.280 --> 00:03:36.760]   And then underneath them were very specific applications.
[00:03:36.760 --> 00:03:41.960]   Whether it be the idea for us to walk worthy of the calling, and that was emphasized to
[00:03:41.960 --> 00:03:47.440]   us, then to walk in love, patience and humility, and pursuing unity.
