
[00:00:00.000 --> 00:00:04.000]   (silence)
[00:00:04.000 --> 00:00:08.000]   Hello everyone. Before we jump into our
[00:00:08.000 --> 00:00:12.000]   Pagan Bible study for today, let's take a moment to look before the Lord
[00:00:12.000 --> 00:00:16.000]   and ask for His grace and help, and really understand and apply
[00:00:16.000 --> 00:00:20.000]   His commandments. Let's pray. Our God,
[00:00:20.000 --> 00:00:24.000]   we do thank you for your work. Thank God many times
[00:00:24.000 --> 00:00:28.000]   we have worked in punishments and in corrections. The Lord we're so thankful
[00:00:28.000 --> 00:00:32.000]   for your faith, knowing by the God that your scriptures continue
[00:00:32.000 --> 00:00:36.000]   to examine and bless us, and it caused us to walk in that.
[00:00:36.000 --> 00:00:40.000]   To abide by your truth, it caused us to be sane,
[00:00:40.000 --> 00:00:44.000]   to grow into truth. And that's what we pray for, God,
[00:00:44.000 --> 00:00:48.000]   that we would grow to the measure of Christ, that God
[00:00:48.000 --> 00:00:52.000]   we would be growing in both wisdom and understanding, but also that I'm being able
[00:00:52.000 --> 00:00:56.000]   to apply what you say. We thank you Lord that Christ can be praised.
[00:00:56.000 --> 00:01:00.000]   Okay, so tonight, we're going
[00:01:00.000 --> 00:01:04.000]   to be continuing our study of Ephesians in the passage this evening
[00:01:04.000 --> 00:01:08.000]   from verse 15 through 21, which I entitled "Walk carefully
[00:01:08.000 --> 00:01:12.000]   and wisely." So let's take a moment to read
[00:01:12.000 --> 00:01:16.000]   the paragraph, starting from verse 15.
[00:01:16.000 --> 00:01:20.000]   "Therefore be careful how you walk, not as unwise men, but as
[00:01:20.000 --> 00:01:24.000]   wise, making the most of your time, because it pays our
[00:01:24.000 --> 00:01:28.000]   people. For then do not be foolish, but understand what the will
[00:01:28.000 --> 00:01:32.000]   of the Lord is, and do not get drawn to the mind, but rather to the
[00:01:32.000 --> 00:01:36.000]   spirit, speaking to one another
[00:01:36.000 --> 00:01:40.000]   in a soft and gentle spiritual song, singing in a neat melody
[00:01:40.000 --> 00:01:44.000]   with your heart to the Lord. Always be in thanks for all things in the
[00:01:44.000 --> 00:01:48.000]   name of our Lord Jesus Christ, to God, even the Father,
[00:01:48.000 --> 00:01:52.000]   and be subject to one another in the fear of Christ."
[00:01:52.000 --> 00:01:56.000]   Okay, well, let's briefly have a way of review.
[00:01:56.000 --> 00:02:00.000]   We realize again that there has been such a repetition of the
[00:02:00.000 --> 00:02:04.000]   admonishment to make sure that our pattern of life and the way that we walk
[00:02:04.000 --> 00:02:08.000]   is God-like. And so, starting all the way back
[00:02:08.000 --> 00:02:12.000]   in chapter 4, Paul challenges us, and you've heard the Gospel
[00:02:12.000 --> 00:02:16.000]   lessons in all of this radical teaching, for you, you need to walk in a manner
[00:02:16.000 --> 00:02:20.000]   worthy of this call. And he describes how our
[00:02:20.000 --> 00:02:24.000]   walk should be characterized by humility, by love, by unity,
[00:02:24.000 --> 00:02:28.000]   and more. In chapter 5, verse 1, the Scripture challenges us
[00:02:28.000 --> 00:02:32.000]   to imitate God as his children, and to walk in love.
[00:02:32.000 --> 00:02:36.000]   In verse 8, we're challenged to walk as the children
[00:02:36.000 --> 00:02:40.000]   of life, no longer partaking in deeds of darkness, but rather
[00:02:40.000 --> 00:02:44.000]   exposing everything that we're doing to the truth.
[00:02:44.000 --> 00:02:48.000]   And here, we're having this call, this command
[00:02:48.000 --> 00:02:52.000]   for us to walk carefully, and to walk
[00:02:52.000 --> 00:02:56.000]   carefully, and to walk quietly. Here, out of the message
[00:02:56.000 --> 00:03:00.000]   we take a look at it, all these colors, what I've done for you is outline
[00:03:00.000 --> 00:03:04.000]   the passage according to the commandments. So what do I mean
[00:03:04.000 --> 00:03:08.000]   by that? There are main commandments within this passage,
[00:03:08.000 --> 00:03:12.000]   and then there are, I guess you could say, supporting commandments, as you see.
[00:03:12.000 --> 00:03:16.000]   And the way you differentiate is by taking a look at
[00:03:16.000 --> 00:03:20.000]   what are the correct imperatives.
[00:03:20.000 --> 00:03:24.000]   So here, as I read this, it says, "Be careful how you walk."
[00:03:24.000 --> 00:03:28.000]   That is a standalone imperative. We're not going to stop there. It's a complete
[00:03:28.000 --> 00:03:32.000]   sentence. He describes that walk by saying,
[00:03:32.000 --> 00:03:36.000]   "Not as unwise, but as wise." But if you take
[00:03:36.000 --> 00:03:40.000]   "not as unwise, but as wise" by itself, it almost feels like an incomplete
[00:03:40.000 --> 00:03:44.000]   thought. He continues by saying, in John 1,
[00:03:44.000 --> 00:03:48.000]   verse 17, the commandment should be, "that you do not walk foolishly,
[00:03:48.000 --> 00:03:52.000]   but understand what the will of the Lord is." And to summarize, I can say the second
[00:03:52.000 --> 00:03:56.000]   main commandment is, "understand the will." Thirdly,
[00:03:56.000 --> 00:04:00.000]   he says, "Do not be drunk with wine, but be filled with the Spirit."
[00:04:00.000 --> 00:04:04.000]   This command, "be filled with the Spirit," obviously it's an important one,
[00:04:04.000 --> 00:04:08.000]   but there's a lot more to say about it. But you can clearly figure out one of the main
[00:04:08.000 --> 00:04:12.000]   commandments. And then letter D, down in verse 21,
[00:04:12.000 --> 00:04:16.000]   the subject of it. So in a simplified way,
[00:04:16.000 --> 00:04:20.000]   "Walk carefully and walk wisely," I see as the main heading of the paragraph.
[00:04:20.000 --> 00:04:24.000]   And then he says, "Understand God's will, but then be
[00:04:24.000 --> 00:04:28.000]   "are walked," so being careful and wise, "be filled with the
[00:04:28.000 --> 00:04:32.000]   Spirit," almost. Commit yourself to it.
[00:04:32.000 --> 00:04:36.000]   So we don't have to jot all of this down, but I just wanted to show you that
[00:04:36.000 --> 00:04:40.000]   this passage uniquely was just full of commandments,
[00:04:40.000 --> 00:04:44.000]   one after another. And I saw a structure where
[00:04:44.000 --> 00:04:48.000]   not every single commandment was just that other side of the road.
[00:04:48.000 --> 00:04:52.000]   Rather, you saw four main ones, walked out of the first.
[00:04:52.000 --> 00:04:56.000]   Let's take a moment then, and jump to commandment number one.
[00:04:56.000 --> 00:05:00.000]   "Walk carefully and wisely."
[00:05:00.000 --> 00:05:04.000]   When you take a look at this commandment,
[00:05:04.000 --> 00:05:08.000]   it says, "Therefore be careful how you walk." And what we want
[00:05:08.000 --> 00:05:12.000]   to observe is just that commandment, "Hey, be careful!"
[00:05:12.000 --> 00:05:16.000]   Now, if we just glance over it,
[00:05:16.000 --> 00:05:20.000]   we might think the other commandments are more important,
[00:05:20.000 --> 00:05:24.000]   we'll come back to them, because they're more consistent. But I think actually
[00:05:24.000 --> 00:05:28.000]   it's good for us to take heed of this general, again, more broader commandment as well.
[00:05:28.000 --> 00:05:32.000]   There is an emphasis here.
[00:05:32.000 --> 00:05:36.000]   I would like to show you a re-reading here. In the Greek instruction,
[00:05:36.000 --> 00:05:40.000]   it has a more, I guess, a weightier-ness,
[00:05:40.000 --> 00:05:44.000]   because the way that you would more literally read it is like this.
[00:05:44.000 --> 00:05:48.000]   "See then, accurately, how you walk."
[00:05:48.000 --> 00:05:52.000]   "See then, accurately, how you walk." So, the commandment,
[00:05:52.000 --> 00:05:56.000]   "Be careful!" actually is several words. "See accurately
[00:05:56.000 --> 00:06:00.000]   and specifically." What we're talking about here is that
[00:06:00.000 --> 00:06:04.000]   we hear the expectation for us to be willing to examine
[00:06:04.000 --> 00:06:08.000]   everything that we're doing. That we have the ability to stop
[00:06:08.000 --> 00:06:12.000]   and be assessed, so to speak. And more so, we'll actually
[00:06:12.000 --> 00:06:16.000]   assess ourselves. What we need to be doing is making sure that we are
[00:06:16.000 --> 00:06:20.000]   paying attention to the way that we are doing and what we're doing. We should be willing to
[00:06:20.000 --> 00:06:24.000]   ask the question and meditate on this. What happened?
[00:06:24.000 --> 00:06:28.000]   Is there any part of me right now that I'm not paying attention to?
