
[00:00:00.000 --> 00:00:05.000]   - Hello everyone.
[00:00:05.000 --> 00:00:11.960]   We're gonna be studying this passage of Ephesians
[00:00:11.960 --> 00:00:15.840]   and in chapter five, verses 15 through 21,
[00:00:15.840 --> 00:00:19.040]   paragraph is called, or the title of this study
[00:00:19.040 --> 00:00:21.880]   is called Walk Carefully and Wisely.
[00:00:21.880 --> 00:00:23.840]   And before we begin, I just have a quick couple
[00:00:23.840 --> 00:00:26.440]   just tips wise.
[00:00:26.440 --> 00:00:31.000]   I provide about four or five inductive study questions
[00:00:31.000 --> 00:00:32.880]   for the passage.
[00:00:32.880 --> 00:00:35.000]   Please try your best to answer those questions,
[00:00:35.000 --> 00:00:38.200]   but if you don't have the time to sit
[00:00:38.200 --> 00:00:40.400]   and work through all those questions,
[00:00:40.400 --> 00:00:42.800]   it's actually better for you to just sit down,
[00:00:42.800 --> 00:00:44.760]   take a piece of paper and try to make
[00:00:44.760 --> 00:00:48.000]   as many personal observations that you can.
[00:00:48.000 --> 00:00:49.840]   Trying to notice what's in the passage
[00:00:49.840 --> 00:00:52.680]   and just trying to outline the passage for yourself.
[00:00:52.680 --> 00:00:54.880]   Potentially you might gain a lot more than that.
[00:00:54.880 --> 00:00:58.200]   The other thing is, although I do provide
[00:00:58.200 --> 00:01:00.040]   the handout and things like that,
[00:01:00.040 --> 00:01:02.800]   I do always recommend working from your Bible.
[00:01:02.800 --> 00:01:05.480]   That way you have your affinity towards the text
[00:01:05.480 --> 00:01:06.320]   that you're working with,
[00:01:06.320 --> 00:01:08.640]   but also just for retention and memory wise,
[00:01:08.640 --> 00:01:12.200]   it's proven to really help in terms of that arena.
[00:01:12.200 --> 00:01:13.600]   So let's take a moment to pray
[00:01:13.600 --> 00:01:15.640]   and then jump into the study.
[00:01:15.640 --> 00:01:17.720]   Lord, we thank you God for your grace.
[00:01:17.720 --> 00:01:21.200]   Thank you Father for providing for us
[00:01:21.200 --> 00:01:23.200]   your fatherly instruction.
[00:01:23.200 --> 00:01:25.800]   God desiring for us to exhibit
[00:01:25.800 --> 00:01:28.800]   greater sanctification in our lives.
[00:01:28.800 --> 00:01:31.920]   What's more Father God, we thank you for your call
[00:01:31.920 --> 00:01:34.920]   for us to live in such a fashion that God,
[00:01:34.920 --> 00:01:39.600]   we are emulating you, reflecting you,
[00:01:39.600 --> 00:01:41.800]   but walking also in your wisdom.
[00:01:41.800 --> 00:01:44.400]   We pray that you would help us to both understand
[00:01:44.400 --> 00:01:45.440]   and to apply your word.
[00:01:45.440 --> 00:01:47.760]   It's in Christ's name we pray, amen.
[00:01:47.760 --> 00:01:49.240]   Okay.
[00:01:49.240 --> 00:01:53.200]   So let me take a moment to read to us
[00:01:53.200 --> 00:01:55.640]   the passage for this study.
[00:01:55.640 --> 00:01:59.080]   And it's from Ephesians chapter five, verses 15 through 21.
[00:01:59.080 --> 00:02:02.600]   And it says, "Therefore be careful how you walk,
[00:02:02.600 --> 00:02:04.720]   not as unwise, but as wise,
[00:02:04.720 --> 00:02:09.280]   making the most of your time because the days are evil.
[00:02:09.280 --> 00:02:10.660]   So then do not be foolish,
[00:02:10.660 --> 00:02:14.760]   but understand what the will of the Lord is.
[00:02:14.760 --> 00:02:17.720]   And do not get drunk with wine for that is dissipation,
[00:02:17.720 --> 00:02:19.720]   but be filled with the spirit,
[00:02:19.720 --> 00:02:22.120]   speaking to one another in Psalms and hymns
[00:02:22.120 --> 00:02:23.560]   and spiritual songs,
[00:02:23.560 --> 00:02:26.880]   singing and making melody with your heart to the Lord.
[00:02:26.880 --> 00:02:29.940]   Always giving thanks for all things in the name of our Lord,
[00:02:29.940 --> 00:02:32.400]   Jesus Christ, to God, even the father,
[00:02:32.400 --> 00:02:36.960]   and be subject to one another in the fear of Christ."
[00:02:36.960 --> 00:02:38.920]   As we take a look at this passage,
[00:02:38.920 --> 00:02:41.120]   we wanna take a moment to review
[00:02:41.120 --> 00:02:45.440]   that we have been receiving lots of instructions to walk
[00:02:45.440 --> 00:02:48.360]   in such a fashion that reflects the gospel.
[00:02:48.360 --> 00:02:50.120]   Starting from chapter four, verse one,
[00:02:50.120 --> 00:02:52.520]   recall that we were challenged to walk
[00:02:52.520 --> 00:02:55.400]   in a manner worthy of the calling.
[00:02:55.400 --> 00:02:58.200]   And that entailed walking then in humility,
[00:02:58.200 --> 00:03:02.380]   walking in love, walking in care, and walking in unity.
[00:03:02.380 --> 00:03:04.440]   In chapter five, verse one,
[00:03:04.440 --> 00:03:07.320]   the scriptures called us to imitate God as children,
[00:03:07.320 --> 00:03:09.520]   as beloved children of the Lord.
[00:03:09.520 --> 00:03:13.000]   And the command was for us to walk in love.
[00:03:13.000 --> 00:03:14.400]   In our previous section,
[00:03:14.400 --> 00:03:17.280]   we were challenged to walk as children of light,
[00:03:17.280 --> 00:03:19.120]   no longer living in darkness,
[00:03:19.120 --> 00:03:23.080]   no longer living in that kind of foolishness
[00:03:23.080 --> 00:03:26.920]   or in immorality and greed and covetousness,
[00:03:26.920 --> 00:03:28.600]   but to walk in the light.
[00:03:28.600 --> 00:03:32.680]   And here we're being called to walk carefully in wisdom.
[00:03:32.680 --> 00:03:34.120]   So as we take a look at the passage,
[00:03:34.120 --> 00:03:38.240]   I have this kind of a messy slide here
[00:03:38.240 --> 00:03:41.880]   with lots of colors and things indented.
[00:03:41.880 --> 00:03:43.360]   But you see what I'm doing here
[00:03:43.360 --> 00:03:45.960]   is just making sure that I observe
[00:03:45.960 --> 00:03:49.240]   where are the major commandments, okay?
[00:03:49.240 --> 00:03:51.360]   So what I mean by the major commandments
[00:03:51.360 --> 00:03:56.080]   is that here we have in purple,
[00:03:56.080 --> 00:03:58.920]   therefore be careful how you walk.
[00:03:58.920 --> 00:04:01.080]   Right there is a standalone command.
[00:04:01.080 --> 00:04:02.880]   It's an imperative in the second person.
[00:04:02.880 --> 00:04:05.920]   And it's essentially saying you need to be careful
[00:04:05.920 --> 00:04:07.680]   in the way that you live your life.
[00:04:07.680 --> 00:04:11.320]   This sentence here, making the most of your time,
[00:04:11.320 --> 00:04:12.980]   is underneath that.
[00:04:12.980 --> 00:04:16.400]   Verse 17, do not be foolish, okay?
[00:04:16.400 --> 00:04:18.960]   But understand what the will of the Lord is.
[00:04:18.960 --> 00:04:21.960]   Verse 18, do not be drunk with wine,
[00:04:21.960 --> 00:04:24.200]   but be filled with the spirit.
[00:04:24.200 --> 00:04:25.420]   Major command.
[00:04:25.420 --> 00:04:26.960]   Jumping down to verse 21,
[00:04:26.960 --> 00:04:31.880]   and be subject to one another in the fear of Christ, okay?
[00:04:31.880 --> 00:04:33.840]   So outlining this passage,
[00:04:33.840 --> 00:04:36.520]   essentially I would take those major commands
[00:04:36.520 --> 00:04:39.560]   and summarize it and say, walk carefully and wisely.
[00:04:39.560 --> 00:04:42.200]   Verse 17, understand God's will.
[00:04:42.200 --> 00:04:44.820]   Verse 18, be filled with the spirit.
[00:04:44.820 --> 00:04:47.380]   And verse 21, humble yourself.
[00:04:47.380 --> 00:04:52.380]   In these many ways, we are to exercise a careful walk,
[00:04:52.380 --> 00:04:56.100]   but more so than anything, exercise the will of God
[00:04:56.100 --> 00:04:57.880]   and the wisdom of God.
[00:04:57.880 --> 00:05:01.720]   So this is us being wise through the gospel.
[00:05:01.720 --> 00:05:05.040]   Let's begin then with the first commandment
[00:05:05.040 --> 00:05:06.560]   and jump into the study here.
[00:05:06.560 --> 00:05:11.540]   The first commandment is to walk carefully
[00:05:11.540 --> 00:05:12.980]   and walk wisely.
[00:05:12.980 --> 00:05:16.020]   The passage says, therefore be careful how you walk,
[00:05:16.020 --> 00:05:18.420]   not as unwise men, but as wise,
[00:05:18.420 --> 00:05:21.380]   making the most of your time because the days are evil.
[00:05:21.380 --> 00:05:23.640]   I would like to sometimes ask,
[00:05:23.640 --> 00:05:25.480]   even amongst the four commandments
