
[00:00:00.000 --> 00:00:05.000]   - Hello, good morning.
[00:00:05.000 --> 00:00:06.820]   My name's Elise Chin.
[00:00:06.820 --> 00:00:08.460]   I'm married to Isaac Chung.
[00:00:08.460 --> 00:00:11.840]   I've been attending Berean for over seven years
[00:00:11.840 --> 00:00:14.700]   and I'm going to share my testimony.
[00:00:14.700 --> 00:00:16.680]   I'm really nervous, so sorry if I cry.
[00:00:16.680 --> 00:00:20.160]   By the time that I was a sophomore in high school,
[00:00:20.160 --> 00:00:23.500]   I'd moved over 15 times and was living with my mom in Georgia
[00:00:23.500 --> 00:00:26.100]   while my dad was serving the US Army as a chaplain
[00:00:26.100 --> 00:00:27.660]   stationed in Korea.
[00:00:27.660 --> 00:00:29.880]   My brother was attending UCLA as a freshman
[00:00:29.880 --> 00:00:31.860]   and because of the constant moves throughout our lives,
[00:00:31.860 --> 00:00:34.100]   my brother became the closest person to me.
[00:00:34.100 --> 00:00:36.020]   He wasn't a good kid though.
[00:00:36.020 --> 00:00:37.460]   He was always getting into fights.
[00:00:37.460 --> 00:00:40.200]   He got suspended, ran off with a car without a license.
[00:00:40.200 --> 00:00:43.620]   But when he came home for that first summer,
[00:00:43.620 --> 00:00:45.180]   he was a changed man.
[00:00:45.180 --> 00:00:48.340]   He would now ask my mom and me to spend time together.
[00:00:48.340 --> 00:00:49.780]   He would drive us to get desserts,
[00:00:49.780 --> 00:00:52.060]   offer to do the dishes and mow the lawn.
[00:00:52.060 --> 00:00:54.520]   But the most distinguishing memory that I have of that time
[00:00:54.520 --> 00:00:56.860]   was that he wouldn't stop talking about Jesus.
[00:00:56.860 --> 00:00:58.280]   He'd constantly ask questions
[00:00:58.280 --> 00:01:00.000]   that I didn't have answers to.
[00:01:00.000 --> 00:01:01.640]   And many nights he would come into my room
[00:01:01.640 --> 00:01:03.180]   and ask me if I loved Jesus.
[00:01:03.180 --> 00:01:05.920]   And that was offensive to me because between the two of us,
[00:01:05.920 --> 00:01:07.480]   I'm the one who loved Jesus.
[00:01:07.480 --> 00:01:09.480]   I'm the good kid after all.
[00:01:09.480 --> 00:01:11.360]   So one day I finally asked him,
[00:01:11.360 --> 00:01:13.040]   "Why do you keep talking about Jesus?
[00:01:13.040 --> 00:01:14.440]   "What happened to you?"
[00:01:14.440 --> 00:01:16.840]   And that was when he shared the gospel with me.
[00:01:16.840 --> 00:01:19.320]   I was confused because weren't we already Christian?
[00:01:19.320 --> 00:01:21.840]   Doesn't dad being a pastor automatically give us heaven?
[00:01:21.840 --> 00:01:23.560]   Sorry, I'm just nervous.
[00:01:23.560 --> 00:01:24.600]   Nothing's emotional.
[00:01:26.600 --> 00:01:27.640]   Sorry, where was I?
[00:01:27.640 --> 00:01:30.000]   Okay.
[00:01:30.000 --> 00:01:31.760]   And that's when he shared the gospel with me,
[00:01:31.760 --> 00:01:32.900]   but I was confused.
[00:01:32.900 --> 00:01:36.400]   And before he went to California for school again,
[00:01:36.400 --> 00:01:37.560]   he gave me one last advice,
[00:01:37.560 --> 00:01:39.840]   which was to be involved in the church community.
[00:01:39.840 --> 00:01:41.440]   And so that's what I did.
[00:01:41.440 --> 00:01:44.180]   Eventually, God led me to the revelation of the fact
[00:01:44.180 --> 00:01:46.680]   that if I lived as if God didn't exist,
