
[00:00:00.000 --> 00:00:07.000]   [Music]
[00:00:07.000 --> 00:00:13.000]   I know you'll answer me when I call.
[00:00:13.000 --> 00:00:20.000]   Walking by my side, I'm satisfied.
[00:00:20.000 --> 00:00:27.000]   In pieces all mine, all in all.
[00:00:27.000 --> 00:00:32.000]   Well, I went to meet the Lord.
[00:00:33.000 --> 00:00:37.000]   He sat down on my knees.
[00:00:37.000 --> 00:00:41.000]   Said my medical prayer, "Amen, you know."
[00:00:41.000 --> 00:00:44.000]   Holy Ghost led me there.
[00:00:44.000 --> 00:00:48.000]   Stepped on the rock, rock was sound.
[00:00:48.000 --> 00:00:52.000]   The God came down and dealt the reason.
[00:00:52.000 --> 00:00:55.000]   I know that He saved my soul.
[00:00:55.000 --> 00:00:59.000]   Down deep in the barracuda, He's all.
[00:00:59.000 --> 00:01:02.000]   what

