
[00:00:00.000 --> 00:00:05.000]   - Hi church family.
[00:00:05.000 --> 00:00:08.920]   My name is Jessica and I'm part of the family ministry.
[00:00:08.920 --> 00:00:11.840]   I'm married to Joseph and I'm also
[00:00:11.840 --> 00:00:14.520]   Anthony Rockmut's older sister.
[00:00:14.520 --> 00:00:16.080]   Anyways, this is my testimony.
[00:00:16.080 --> 00:00:19.240]   Like many of you, I was blessed to have grown up
[00:00:19.240 --> 00:00:22.360]   in a loving Christian home where most of my
[00:00:22.360 --> 00:00:25.040]   extended relatives are faithful believers.
[00:00:25.040 --> 00:00:28.020]   I grew up going to Sunday school, church retreats,
[00:00:28.020 --> 00:00:29.920]   listening to worship songs in the car
[00:00:29.920 --> 00:00:31.660]   and I was even baptized when I was 10
[00:00:31.660 --> 00:00:33.560]   because I thought I believed in God
[00:00:33.560 --> 00:00:37.100]   simply because it was just what I grew up with.
[00:00:37.100 --> 00:00:39.240]   And although I can see the seeds that God
[00:00:39.240 --> 00:00:41.080]   had planted in my childhood,
[00:00:41.080 --> 00:00:42.880]   I hadn't come to know him personally
[00:00:42.880 --> 00:00:45.160]   and what it meant to have him as my savior and lord
[00:00:45.160 --> 00:00:48.220]   until much later near the end of high school.
[00:00:48.220 --> 00:00:51.200]   Before meeting Christ, I thought I was a good person.
[00:00:51.200 --> 00:00:53.460]   I had straight A's, was a goody two shoes,
[00:00:53.460 --> 00:00:56.020]   a teacher's pet, friends with everybody
[00:00:56.020 --> 00:00:57.900]   and a good Christian.
[00:00:57.900 --> 00:01:00.300]   I had so much pride in this image of myself
[00:01:00.300 --> 00:01:02.680]   that I had made.
[00:01:02.680 --> 00:01:05.640]   I also stubbornly believed that my life was my own
[00:01:05.640 --> 00:01:08.380]   and that I was entitled to get whatever worldly successes
[00:01:08.380 --> 00:01:11.620]   I could get with hard work and determination.
[00:01:11.620 --> 00:01:14.180]   As a result, I was incredibly ambitious
[00:01:14.180 --> 00:01:16.460]   and one of my favorite things to do to achieve
[00:01:16.460 --> 00:01:19.460]   the success was to plan excessively.
[00:01:19.460 --> 00:01:21.920]   I like to plan year by year, month by month,
[00:01:21.920 --> 00:01:23.440]   hour to hour.
[00:01:23.440 --> 00:01:25.580]   I had a backup plan for every scenario
[00:01:25.580 --> 00:01:28.020]   and I arrogantly believed that I could make my life
[00:01:28.020 --> 00:01:30.740]   and future the way I wanted it to be.
[00:01:30.740 --> 00:01:33.000]   My shallow faith, if I could even call it that,
[00:01:33.000 --> 00:01:35.140]   quickly diminished throughout high school
[00:01:35.140 --> 00:01:38.000]   when so much uncertainty was in the air.
[00:01:38.000 --> 00:01:40.020]   Because of my non-existent faith,
[00:01:40.020 --> 00:01:42.300]   I doubted God's existence every time something
[00:01:42.300 --> 00:01:44.220]   didn't go according to my master plan.
[00:01:44.220 --> 00:01:46.420]   But by the end of high school,
[00:01:46.420 --> 00:01:48.820]   I was feeling the strain of living a double life
[00:01:48.820 --> 00:01:50.800]   and trying to serve two masters,
