
[00:00:00.000 --> 00:00:06.840]   Good morning, Church family.
[00:00:06.840 --> 00:00:09.900]   My name is Abby Young, and this is my testimony.
[00:00:09.900 --> 00:00:14.320]   I grew up in a very loving home with Christian parents and the best older brother anyone
[00:00:14.320 --> 00:00:15.320]   could ask for.
[00:00:15.320 --> 00:00:19.960]   My parents were very intentional with my brother and me, even praying for us while we were
[00:00:19.960 --> 00:00:24.240]   each in the womb that we would come to know Jesus Christ as our Lord and Savior.
[00:00:24.240 --> 00:00:29.320]   I was born with an extremely competitive nature, and as a star-struck little sister, I had
[00:00:29.320 --> 00:00:31.680]   always aspired to be just like my brother.
[00:00:31.680 --> 00:00:37.840]   However, it wasn't an "imitate me as I imitate Christ" sort of goal, but rather a "how can
[00:00:37.840 --> 00:00:42.800]   I be as good as Gaga, if not better than him" mentality.
[00:00:42.800 --> 00:00:45.720]   Everything Gaga did, I wanted to do.
[00:00:45.720 --> 00:00:49.760]   One night when I was four and my brother was seven, my brother accepted Christ, so I thought,
[00:00:49.760 --> 00:00:52.760]   "Well, if Gaga is doing it, of course I want to do it."
[00:00:52.760 --> 00:00:58.200]   I accepted God into my heart, but in all honesty, I had no idea what that meant.
[00:00:58.200 --> 00:01:03.360]   A few years later, when I was nine years old, my understanding of goodness changed.
[00:01:03.360 --> 00:01:06.680]   I had a good group of nice friends.
[00:01:06.680 --> 00:01:12.200]   One day we took a photo together, and a girl who had developmental delay named Sharon wanted
[00:01:12.200 --> 00:01:13.640]   to be in our picture.
[00:01:13.640 --> 00:01:17.840]   I knew nothing about health care at that time, so from my understanding, Sharon was born
[00:01:17.840 --> 00:01:19.840]   with her heart upside down.
[00:01:19.840 --> 00:01:23.840]   We begrudgingly said yes, because isn't that what nice girls do?
[00:01:23.840 --> 00:01:27.160]   I went home with my best friend at the time, and we agreed that we would just crop her
[00:01:27.160 --> 00:01:28.960]   out of the photo.
[00:01:28.960 --> 00:01:31.680]   Two weeks later, Sharon passed away.
[00:01:31.680 --> 00:01:34.200]   This was when God revealed to me the truth.
[00:01:34.200 --> 00:01:41.320]   I cried, recognizing that I was a sinner and I had nothing that could earn any semblance
[00:01:41.320 --> 00:01:42.680]   of goodness.
[00:01:42.680 --> 00:01:47.000]   I had thought that I knew how to love others, but I couldn't even take one photo with someone
[00:01:47.000 --> 00:01:48.720]   different from me.
[00:01:48.720 --> 00:01:53.800]   I realized that it wasn't just Sharon that was born with her heart upside down.
[00:01:53.800 --> 00:01:54.800]   It was me.
[00:01:54.800 --> 00:01:59.640]   That night, my mom walked me through the sinner's prayer yet again, but this time it was different.
[00:01:59.640 --> 00:02:03.520]   This time, I wasn't praying to God asking him to make me a better person.
[00:02:03.520 --> 00:02:07.040]   I was asking him to save me from myself.
[00:02:07.040 --> 00:02:10.160]   I truly believe that this was the point that I was saved.
[00:02:10.160 --> 00:02:14.200]   A couple years later, after that moment, I chose to be sprinkled at my home church as
[00:02:14.200 --> 00:02:16.520]   an outward expression of inward faith.
[00:02:16.520 --> 00:02:21.840]   However, the journey from justification through sanctification was and continues to be one
[00:02:21.840 --> 00:02:24.720]   requiring lots and lots of patience.
[00:02:24.720 --> 00:02:29.560]   While I finally had a grasp of my depravity, instead of being liberating, at many times
[00:02:29.560 --> 00:02:30.560]   it was debilitating.
[00:02:30.560 --> 00:02:35.320]   I found myself burdened under the weight of my imperfection, knowing in my mind that I
[00:02:35.320 --> 00:02:39.720]   was saved through faith alone, but having difficulty understanding why a perfect God
[00:02:39.720 --> 00:02:42.840]   would love someone as imperfect as me.
