
[00:00:00.000 --> 00:00:07.360]   Good morning again, everybody.
[00:00:07.360 --> 00:00:12.280]   Would you please take your Bibles and turn over to Psalm chapter 77.
[00:00:12.280 --> 00:00:19.320]   We're going to be reading from verse 1 through 15, and that's just an introductory verse
[00:00:19.320 --> 00:00:26.040]   I wanted to use to guide our thought into the passage that we have ultimately in Matthew.
[00:00:26.040 --> 00:00:31.380]   So I'm going to be preaching from out of Matthew, but as an introduction, just turn over to
[00:00:31.380 --> 00:00:33.640]   Psalm 77.
[00:00:33.640 --> 00:00:37.260]   And as you turn there, I want us to think about this idea.
[00:00:37.260 --> 00:00:41.360]   You and I live in an absolutely fallen world, right?
[00:00:41.360 --> 00:00:51.180]   And right now, I mean, maybe there are people, politicians all around, whether on either
[00:00:51.180 --> 00:00:56.520]   side of the aisle, will promise you greater peace, greater prosperity, and a yes we can
[00:00:56.520 --> 00:01:00.160]   mentality that we're going to be really, really good.
[00:01:00.160 --> 00:01:04.320]   But I read about the end in the Bible, and that's not really the case.
[00:01:04.320 --> 00:01:08.320]   So I feel a suspicion you're trying to pull a fast one on me, right?
[00:01:08.320 --> 00:01:15.000]   Scripture says not only are we living in a fallen world, it's going to get worse, actually.
[00:01:15.000 --> 00:01:19.840]   And what Jesus said was you are essentially going to suffer in this age.
[00:01:19.840 --> 00:01:23.760]   Something is going to be constant, which is going to be the suffering of the people.
[00:01:23.760 --> 00:01:27.200]   Not only that, I myself am a sinner.
[00:01:27.200 --> 00:01:31.600]   And given that fact, I hurt myself in different ways, right?
[00:01:31.600 --> 00:01:36.140]   I inflict upon all kinds of different woes and pains upon myself because of the fact
[00:01:36.140 --> 00:01:37.740]   that I'm a sinner.
[00:01:37.740 --> 00:01:39.640]   And then, I'm surrounded by sinners.
[00:01:39.640 --> 00:01:45.100]   I'm not pointing at you, I'm just saying we live in, when we say a fallen generation,
[00:01:45.100 --> 00:01:49.040]   everybody can have the potential to disappoint us.
[00:01:49.040 --> 00:01:52.840]   As a matter of fact, to hurt us very deeply.
[00:01:52.840 --> 00:01:57.440]   And so, we're going to have sentiments of disappointment and great pain.
[00:01:57.440 --> 00:02:04.040]   And the reaction to suffering that is expressed here in Psalm 77, so follow with me as I read.
[00:02:04.040 --> 00:02:08.160]   It says, "My voice rises to God and I will cry out.
[00:02:08.160 --> 00:02:11.400]   My voice rises to God, he'll hear me.
[00:02:11.400 --> 00:02:14.160]   In the day of my trouble, I sought the Lord.
[00:02:14.160 --> 00:02:17.480]   In the night, my hand stretched out with weariness.
[00:02:17.480 --> 00:02:20.280]   My soul refused to be comforted.
[00:02:20.280 --> 00:02:22.880]   When I remember God, then I am disturbed.
[00:02:22.880 --> 00:02:25.080]   When I sigh, then my spirit grows faint."
[00:02:25.080 --> 00:02:26.580]   Salah.
[00:02:26.580 --> 00:02:29.080]   "You have held my eyelids open.
[00:02:29.080 --> 00:02:31.980]   I am so troubled I cannot speak.
[00:02:31.980 --> 00:02:34.580]   I have considered the days of old, the years of long ago.
[00:02:34.580 --> 00:02:36.180]   I remember my song in the night.
[00:02:36.180 --> 00:02:40.080]   I will meditate with my heart and my spirit ponders.
[00:02:40.080 --> 00:02:43.180]   Will the Lord reject forever?
