
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.240]   (audience chattering continues)
[00:00:07.240 --> 00:00:11.320]   (audience chattering continues)
[00:00:11.480 --> 00:00:15.560]   (audience chattering continues)
[00:00:15.560 --> 00:00:19.640]   (audience chattering continues)
[00:00:19.640 --> 00:00:23.720]   (audience chattering continues)
[00:00:23.720 --> 00:00:27.800]   (audience chattering continues)
[00:00:27.800 --> 00:00:31.880]   (audience chattering continues)
[00:00:31.880 --> 00:00:35.960]   (audience chattering continues)
[00:00:35.960 --> 00:00:40.040]   (audience chattering continues)
[00:00:40.040 --> 00:00:44.120]   (audience chattering continues)
[00:00:44.120 --> 00:00:48.200]   (audience chattering continues)
[00:00:48.200 --> 00:00:52.200]   (audience chattering continues)
[00:00:52.200 --> 00:00:56.200]   (audience chattering continues)
[00:00:56.200 --> 00:01:00.200]   (audience chattering continues)
[00:01:00.200 --> 00:01:04.200]   (audience chattering continues)
[00:01:04.200 --> 00:01:08.200]   (audience chattering continues)
[00:01:08.200 --> 00:01:12.200]   (audience chattering continues)
[00:01:12.200 --> 00:01:16.200]   (audience chattering continues)
[00:01:16.200 --> 00:01:20.200]   (audience chattering continues)
[00:01:20.200 --> 00:01:24.200]   (audience chattering continues)
[00:01:24.200 --> 00:01:28.200]   (audience chattering continues)
[00:01:28.200 --> 00:01:32.200]   (audience chattering continues)
[00:01:32.200 --> 00:01:36.200]   (audience chattering continues)
[00:01:36.200 --> 00:01:40.200]   (audience chattering continues)
[00:01:40.200 --> 00:01:44.200]   (audience chattering continues)
[00:01:44.200 --> 00:01:48.200]   (audience chattering continues)
[00:01:49.200 --> 00:01:53.200]   (audience chattering continues)
[00:01:53.200 --> 00:01:57.200]   (audience chattering continues)
[00:01:57.200 --> 00:02:01.200]   (audience chattering continues)
[00:02:01.200 --> 00:02:05.200]   (audience chattering continues)
[00:02:05.200 --> 00:02:09.200]   (audience chattering continues)
[00:02:09.200 --> 00:02:13.200]   (audience chattering continues)
[00:02:13.200 --> 00:02:17.200]   (audience chattering continues)
[00:02:17.200 --> 00:02:21.200]   (audience chattering continues)
[00:02:21.200 --> 00:02:25.200]   (audience chattering continues)
[00:02:25.200 --> 00:02:29.200]   (audience chattering continues)
[00:02:29.200 --> 00:02:33.200]   (audience chattering continues)
[00:02:33.200 --> 00:02:37.200]   (audience chattering continues)
[00:02:37.200 --> 00:02:41.200]   (audience chattering continues)
[00:02:41.200 --> 00:02:45.200]   (audience chattering continues)
[00:02:45.200 --> 00:02:49.200]   (audience chattering continues)
[00:02:49.200 --> 00:03:11.200]   (audience chattering continues)
[00:03:11.200 --> 00:03:15.200]   (audience chattering continues)
[00:03:15.200 --> 00:03:19.200]   (audience chattering continues)
[00:03:19.200 --> 00:03:23.200]   (audience chattering continues)
[00:03:23.200 --> 00:03:27.200]   (audience chattering continues)
[00:03:27.200 --> 00:03:31.200]   (audience chattering continues)
[00:03:31.200 --> 00:03:35.200]   (audience chattering continues)
[00:03:35.200 --> 00:03:39.200]   (audience chattering continues)
[00:03:39.200 --> 00:03:43.200]   (audience chattering continues)
[00:03:43.200 --> 00:03:47.200]   (audience chattering continues)
[00:03:47.200 --> 00:03:51.200]   (audience chattering continues)
[00:03:51.200 --> 00:03:55.200]   (audience chattering continues)
[00:03:55.200 --> 00:03:59.200]   (audience chattering continues)
[00:03:59.200 --> 00:04:03.200]   (audience chattering continues)
[00:04:03.200 --> 00:04:07.200]   (audience chattering continues)
[00:04:07.200 --> 00:04:11.200]   (audience chattering continues)
[00:04:11.200 --> 00:04:15.200]   (audience chattering continues)
[00:04:15.200 --> 00:04:19.200]   (audience chattering continues)
[00:04:19.200 --> 00:04:23.200]   (audience chattering continues)
[00:04:23.200 --> 00:04:27.200]   (audience chattering continues)
[00:04:27.200 --> 00:04:31.200]   (audience chattering continues)
