
[00:00:00.000 --> 00:00:05.360]   Okay, thank you.
[00:00:05.360 --> 00:00:16.120]   If we can turn your Bibles with me to Luke chapter 19.
[00:00:16.120 --> 00:00:20.600]   I want to read Luke chapter 19, verse 28 through 44.
[00:00:20.600 --> 00:00:24.400]   And then I'm not going to read it, but the text that we're going to be in this morning
[00:00:24.400 --> 00:00:26.400]   is in Zechariah.
[00:00:26.400 --> 00:00:34.560]   Okay, Luke chapter 19, verse 28 through 44.
[00:00:34.560 --> 00:00:39.280]   Reading out of the NASB.
[00:00:39.280 --> 00:00:43.200]   After he had said these things, he was going on ahead, going up to Jerusalem.
[00:00:43.200 --> 00:00:48.920]   When he approached Bethphage and Bethany near the mount that is called Olivet, he sent two
[00:00:48.920 --> 00:00:52.680]   of the disciples saying, "Go into the village ahead of you.
[00:00:52.680 --> 00:00:57.760]   There as you enter, you will find a coat tied on which no one yet has ever sat.
[00:00:57.760 --> 00:01:00.120]   Untie it and bring it here.
[00:01:00.120 --> 00:01:02.280]   If anyone asks you, 'Why are you untying it?'
[00:01:02.280 --> 00:01:04.400]   You shall say, 'The Lord has need of it.'
[00:01:04.400 --> 00:01:08.540]   So those who were sent went away and found it just as he had told them.
[00:01:08.540 --> 00:01:12.840]   As they were untying the coat, its owner said to them, 'Why are you untying the coat?'
[00:01:12.840 --> 00:01:14.880]   They said, 'The Lord has need of it.'
[00:01:14.880 --> 00:01:20.120]   They brought it to Jesus and they threw their coats on the coat and put Jesus on it.
[00:01:20.120 --> 00:01:22.780]   As he was going, they were spreading their coats on the road.
[00:01:22.780 --> 00:01:26.760]   As soon as he was approaching near the descent of the Mount of Olives, the whole crowd of
[00:01:26.760 --> 00:01:31.140]   the disciples began to praise God joyfully with a loud voice for all the miracles which
[00:01:31.140 --> 00:01:35.520]   they had seen, shouting, 'Blessed is the King who comes in the name of the Lord.
[00:01:35.520 --> 00:01:37.920]   Peace in heaven, glory in the highest.'
[00:01:37.920 --> 00:01:42.120]   Some of the Pharisees in the crowd said to him, 'Teacher, rebuke your disciples.'
[00:01:42.120 --> 00:01:46.740]   But Jesus answered, 'I tell you, if these become silent, the stones will cry out.'
[00:01:46.740 --> 00:01:50.680]   When he approached Jerusalem, he saw the city and wept over it, saying, 'If you had known
[00:01:50.680 --> 00:01:55.200]   in this day, even you, the things which make for peace, but now they have been hidden from
[00:01:55.200 --> 00:01:56.200]   your eyes.
[00:01:56.200 --> 00:02:00.440]   For the days will come upon you when your enemies will throw a barricade against you
[00:02:00.440 --> 00:02:04.560]   and wrestle around you and hem you in every side.
[00:02:04.560 --> 00:02:08.320]   And they will level you to the ground and your children within you, and they will not
[00:02:08.320 --> 00:02:13.480]   leave in you one stone upon another because you did not recognize the time of your visitation.'"
[00:02:13.480 --> 00:02:14.480]   Let's pray.
[00:02:14.480 --> 00:02:19.300]   Heavenly Father, we pray for guidance.
[00:02:19.300 --> 00:02:21.900]   We pray for your Holy Spirit to convict and lead us.
[00:02:21.900 --> 00:02:25.540]   I pray that your word would make sense.
[00:02:25.540 --> 00:02:30.140]   It would cause us, Lord God, to see the depth of your grace and love for us.
[00:02:30.140 --> 00:02:36.180]   Lord, as we begin this Passion Week with Palm Sunday, help us to understand what you were
[00:02:36.180 --> 00:02:40.340]   doing, what you are doing, that our hearts may be surrendered to you.
[00:02:40.340 --> 00:02:41.860]   We pray for your blessing over this time.
[00:02:41.860 --> 00:02:46.260]   In Jesus' name we pray, amen.
[00:02:46.260 --> 00:02:50.380]   As I've already said, this is a very busy week, probably the busiest week out of the
[00:02:50.380 --> 00:02:55.540]   whole year for us as a church because every single day we have something filled.
[00:02:55.540 --> 00:03:00.300]   And so at the end of it, usually Sunday night, especially the pastoral staff and the leaders
[00:03:00.300 --> 00:03:02.380]   are pretty exhausted.
[00:03:02.380 --> 00:03:04.300]   And I'm sure you guys are exhausted.
[00:03:04.300 --> 00:03:09.700]   Sunday morning, we wake up early in the morning, give our devotion, and then there's a lot
[00:03:09.700 --> 00:03:12.260]   of things going on this week.
[00:03:12.260 --> 00:03:19.620]   And the reason why we do this every year is because our natural tendency is to drift.
[00:03:19.620 --> 00:03:24.220]   You know, the whole thing that we've been talking about in Hebrews is because our natural
