
[00:00:00.000 --> 00:00:11.360]   - Good morning, everyone.
[00:00:11.360 --> 00:00:14.920]   My name is Joanne and I'm a second year student at UCI.
[00:00:14.920 --> 00:00:18.600]   I've been at Berean for a little over a year now and today I'm going to share my testimony
[00:00:18.600 --> 00:00:22.440]   of how I came to know Christ.
[00:00:22.440 --> 00:00:26.160]   I was blessed to have been raised in a Christian household and because of my background, I
[00:00:26.160 --> 00:00:30.640]   grew up thinking that my Christian faith was inherited like a family trait, something that
[00:00:30.640 --> 00:00:33.120]   couldn't be shaken because I was born into it.
[00:00:33.120 --> 00:00:37.360]   I partook in church activities that I believed would solidify my role as a true Christian.
[00:00:37.360 --> 00:00:41.540]   I attended Sunday school, went on several mission trips, helped organize fellowship
[00:00:41.540 --> 00:00:45.200]   and volunteer events, and took communion alongside my family.
[00:00:45.200 --> 00:00:50.000]   Back then, I perceived these acts of service as demonstrations of my definite salvation.
[00:00:50.000 --> 00:00:53.720]   I thought to myself, "I mean, I'm doing things because I love Jesus, right?"
[00:00:53.720 --> 00:00:58.920]   I believed in a work-based salvation and even got baptized in 2011 at the age of 10 after
[00:00:58.920 --> 00:01:02.680]   reflecting that these good deeds must equal the marks of a true Christian.
[00:01:02.680 --> 00:01:05.920]   However, my faith was tested when I entered high school.
[00:01:05.920 --> 00:01:09.200]   I started to depend on the new friendships I made at church for my spiritual health and
[00:01:09.200 --> 00:01:13.720]   continuously felt more and more distant from God whenever each of our mission trips was
[00:01:13.720 --> 00:01:14.720]   over.
[00:01:14.720 --> 00:01:17.600]   Following the splitting of my home church and seeing as a result people get close to
[00:01:17.600 --> 00:01:22.080]   me, get hurt, and step away from the church, I questioned the validity of Christianity
[00:01:22.080 --> 00:01:26.440]   and ultimately God's sovereignty over his children if Christians still had the ability
[00:01:26.440 --> 00:01:30.000]   to hurt each other and act in opposition to what his word laid down.
[00:01:30.000 --> 00:01:34.080]   I began to feel discouraged from seeking out any further contact with church and eventually
[00:01:34.080 --> 00:01:37.400]   stopped attending church during my freshman year of high school.
[00:01:37.400 --> 00:01:41.440]   I would identify myself as a Christian when asked, but truthfully, I lived my life like
[00:01:41.440 --> 00:01:45.760]   a non-believer and I only sought to live for my own fleshly desires.
[00:01:45.760 --> 00:01:49.600]   My skepticism of the church carried over to my first quarter at UCI.
[00:01:49.600 --> 00:01:53.680]   I began to get caught up in the college life that I had yearned for, making reckless decisions
[00:01:53.680 --> 00:01:57.200]   and trying to forge a new identity under bad influences.
[00:01:57.200 --> 00:02:01.680]   Strangely enough, however, I was never completely satisfied in my pursuit of the things I thought
[00:02:01.680 --> 00:02:03.360]   would make me happy.
[00:02:03.360 --> 00:02:07.240]   By God's grace, my disappointment in pursuing things other than Christ reminded me even
[00:02:07.240 --> 00:02:12.960]   more of his constant presence, of the hope and joy that is found only in him.
[00:02:12.960 --> 00:02:16.480]   In hindsight, I can now fully see how God was working in my life through the people
[00:02:16.480 --> 00:02:18.960]   he sovereignly placed in my life.
[00:02:18.960 --> 00:02:22.520]   Even amidst this whirlwind kind of college environment in which I was exposed to a lot
[00:02:22.520 --> 00:02:27.240]   of new temptations, by God's grace, he grew a desire in me to know him more and to understand
[00:02:27.240 --> 00:02:29.720]   what it meant to be reconciled to him.
[00:02:29.720 --> 00:02:32.760]   Early last year, I happened to bump into my suite mate who had just come back from an
[00:02:32.760 --> 00:02:36.000]   event led by a parachurch called CCM.
[00:02:36.000 --> 00:02:40.160]   After telling her how I was curious about finding a local church, she immediately invited
