
[00:00:00.000 --> 00:00:07.640]   Good morning, everybody.
[00:00:07.640 --> 00:00:13.960]   As most of you know, summer is almost over, and midweek Bible studies resume in about
[00:00:13.960 --> 00:00:15.800]   a week.
[00:00:15.800 --> 00:00:19.760]   From September to December, our entire church, including the youth and all the way down to
[00:00:19.760 --> 00:00:25.360]   the children's ministry, will be doing an inductive Bible study through Paul's epistle
[00:00:25.360 --> 00:00:27.040]   to Titus.
[00:00:27.040 --> 00:00:31.680]   So in the book of Titus, we're going to find instructions on how to do church, what to
[00:00:31.680 --> 00:00:37.200]   expect of church leadership, how to combat false teachers and false teachings.
[00:00:37.200 --> 00:00:43.200]   We will learn God's blueprint for building strong churches that are effective in evangelism.
[00:00:43.200 --> 00:00:46.740]   And we will learn about how Christians are to conduct themselves in the pagan world that
[00:00:46.740 --> 00:00:48.400]   surrounds them.
[00:00:48.400 --> 00:00:53.400]   So Titus has a lot to say about how we're going to engage the world around us.
[00:00:53.400 --> 00:00:58.040]   And I know that many of you are excited to dive into the study.
[00:00:58.040 --> 00:01:02.080]   And the sermon today will serve in some ways as an introduction to the series and to the
[00:01:02.080 --> 00:01:03.280]   book.
[00:01:03.280 --> 00:01:06.480]   And hopefully it whets your appetite for more.
[00:01:06.480 --> 00:01:10.160]   I'm going to start by reading the first five verses of Titus for you, and then we're going
[00:01:10.160 --> 00:01:14.720]   to ask the Lord really to speak this morning to our hearts.
[00:01:14.720 --> 00:01:17.760]   Titus 1, 1 through 5.
[00:01:17.760 --> 00:01:23.880]   "Paul, a bondservant of God and an apostle of Jesus Christ, for the faith of those chosen
[00:01:23.880 --> 00:01:28.940]   of God and the knowledge of the truth, which is according to godliness.
[00:01:28.940 --> 00:01:34.680]   In the hope of eternal life, which God who cannot lie promised long ages ago, but at
[00:01:34.680 --> 00:01:40.720]   the proper time manifested, even his word, in the proclamation with which I was entrusted
[00:01:40.720 --> 00:01:44.240]   according to the commandment of God our Savior.
[00:01:44.240 --> 00:01:50.240]   To Titus, my true child in a common faith, grace and peace from God the Father, in Christ
[00:01:50.240 --> 00:01:52.680]   Jesus our Savior.
[00:01:52.680 --> 00:01:58.120]   For this reason I left you in Crete, that you would set in order what remains and appoint
[00:01:58.120 --> 00:02:02.080]   elders in every city as I directed you."
[00:02:02.080 --> 00:02:05.520]   Let's pray together.
[00:02:05.520 --> 00:02:18.600]   Lord, we are very thankful just that you give us a freedom to worship, to hear your truths,
[00:02:18.600 --> 00:02:24.520]   and by your grace would you allow us to respond appropriately this morning, to have our souls
[00:02:24.520 --> 00:02:32.720]   fed that we would be filled with joy, that we would be filled with power, that we would
[00:02:32.720 --> 00:02:38.400]   know how best to display the reflection of your glory to the world that is lost around
[00:02:38.400 --> 00:02:40.680]   us.
[00:02:40.680 --> 00:02:46.520]   Would you hide your servant behind this pulpit and would you speak and minister to your sheep?
[00:02:46.520 --> 00:02:49.160]   We thank you for this time.
[00:02:49.160 --> 00:02:54.040]   We ask for your blessing and we pray these things in Jesus' name.
[00:02:54.040 --> 00:02:58.320]   Up to about 15 years ago, when the majority of our church members were still in their
[00:02:58.320 --> 00:03:03.000]   early 20s, we had about one wedding a year.
[00:03:03.000 --> 00:03:06.800]   And it was a big deal, not just for the couple, but for the entire church.
[00:03:06.800 --> 00:03:12.620]   So every engagement was announced and the wedding was an all-church event.
[00:03:12.620 --> 00:03:17.280]   If there was a church member's wedding in any particular month, that bridal shower,
[00:03:17.280 --> 00:03:23.600]   the bachelor party, the rehearsal, and obviously the wedding were all included into the church
[00:03:23.600 --> 00:03:25.880]   schedule, into the church calendar.
[00:03:25.880 --> 00:03:30.040]   And if you were a Berean, you didn't need an invite.
[00:03:30.040 --> 00:03:33.420]   You just assumed you were invited.
[00:03:33.420 --> 00:03:39.680]   And it was also assumed that you would stick around after the wedding to help clean up.
[00:03:39.680 --> 00:03:44.680]   And obviously those days are long gone and far behind us and we are no longer at that
[00:03:44.680 --> 00:03:47.300]   stage in our church.
[00:03:47.300 --> 00:03:50.640]   Now we have lots of weddings going on throughout the year.
[00:03:50.640 --> 00:03:54.840]   All four of the pastors were at a wedding just yesterday.
[00:03:54.840 --> 00:04:00.960]   In the five-week stretch from October 16th to November 13th, in those five weeks, we
[00:04:00.960 --> 00:04:06.600]   have six Berean weddings scheduled and every single weekend, at least one of our pastors
[00:04:06.600 --> 00:04:09.880]   will be officiating a wedding somewhere.
[00:04:09.880 --> 00:04:11.540]   Six weddings in five weeks.
[00:04:11.540 --> 00:04:16.680]   So at present, we have a bunch of engaged couples and lots of pre-marital counseling
[00:04:16.680 --> 00:04:18.840]   sessions going on.
[00:04:18.840 --> 00:04:21.920]   Many of you in this room have been engaged.
[00:04:21.920 --> 00:04:27.280]   So you know that the engagement period can be a strange and challenging one.
[00:04:27.280 --> 00:04:31.920]   There's a degree of struggle and tension as a couple prepares for a life of oneness, but
[00:04:31.920 --> 00:04:35.740]   they still need to function as two separate individuals.
[00:04:35.740 --> 00:04:40.360]   The couple is growing in knowledge of each other as a future life partner, but they're
[00:04:40.360 --> 00:04:42.820]   still not technically married.
[00:04:42.820 --> 00:04:48.080]   They want so badly to be fully together, but for all intents and purposes, there is still
[00:04:48.080 --> 00:04:51.680]   much need to do things separately.
[00:04:51.680 --> 00:04:55.420]   So the engagement period is not easy, but it is important.
[00:04:55.420 --> 00:04:56.420]   It's necessary.
[00:04:56.420 --> 00:05:00.040]   And there are things to be planned and prepared during the engagement, and there is work to
[00:05:00.040 --> 00:05:01.720]   be done.
[00:05:01.720 --> 00:05:04.460]   A wedding needs to be planned.
[00:05:04.460 --> 00:05:10.540]   And if you skip the engagement, no one's going to come to your party, your wedding, if you're
[00:05:10.540 --> 00:05:13.320]   even going to have a wedding at all.
[00:05:13.320 --> 00:05:19.320]   And there's one thing that all engaged couples have in common, and it's this.
