
[00:00:00.000 --> 00:00:07.560]   >> Well, good morning.
[00:00:07.560 --> 00:00:11.340]   Greetings from the Saints at Lighthouse San Diego.
[00:00:11.340 --> 00:00:13.960]   Here is a dear friend and my mentor.
[00:00:13.960 --> 00:00:21.160]   And I remember those of you old school folks when we were like 30, 40 here and just to
[00:00:21.160 --> 00:00:24.680]   see what God has done.
[00:00:24.680 --> 00:00:27.640]   Huge encouragement to me.
[00:00:27.640 --> 00:00:35.160]   And so it's a great privilege and joy to be with you for many reasons, but especially
[00:00:35.160 --> 00:00:40.560]   because of this topic that I would like to address.
[00:00:40.560 --> 00:00:46.280]   Even as His people, it's a subtle temptation to allow the wonder provoking, deeply personal
[00:00:46.280 --> 00:00:54.280]   truth of our adoption in Christ to become kind of like some mere fine print of our great
[00:00:54.280 --> 00:00:55.280]   salvation.
[00:00:55.280 --> 00:01:02.200]   It's to our contemporary joylessness and ineffectual pursuits and missionary complacency that we
[00:01:02.200 --> 00:01:09.720]   either forget or functionally fail to believe that God our Father by His unstoppable grace
[00:01:09.720 --> 00:01:16.960]   pursued us, forgave us, embraced us, loves us, cares for us.
[00:01:16.960 --> 00:01:22.520]   See, it's not at all enough to have heard that Christ died for sinners.
[00:01:22.520 --> 00:01:29.040]   It's not salvation at all to merely give intellectual assent to the truth that salvation is by grace
[00:01:29.040 --> 00:01:31.620]   alone through faith alone.
[00:01:31.620 --> 00:01:38.440]   Even demons and enemies of the cross of Christ know that, James 2.19.
[00:01:38.440 --> 00:01:43.400]   It is nowhere close to being born again to only say that we really, really respect Jesus
[00:01:43.400 --> 00:01:49.080]   and we're trying very hard to live a good life.
[00:01:49.080 --> 00:01:54.600]   Such are grossly insufficient in of themselves and by themselves.
[00:01:54.600 --> 00:02:01.720]   So it's possible to believe even sincerely that one is going to heaven because of one's
[00:02:01.720 --> 00:02:07.520]   church attendance or one's moral performance or baptism or coming to the front or some
[00:02:07.520 --> 00:02:13.760]   past emotional experience or by one's friendly association with many Christians.
[00:02:13.760 --> 00:02:21.360]   And yet sadly, still be as lost as lost can be.
[00:02:21.360 --> 00:02:25.960]   No instead because of Christ's love, God's children will believe and say with every fiber
[00:02:25.960 --> 00:02:30.520]   of their being, tears welling up in their eyes for sheer gratitude and for the elation
[00:02:30.520 --> 00:02:35.400]   of being in relationship with the Father.
[00:02:35.400 --> 00:02:37.240]   That His Son died for me.
[00:02:37.240 --> 00:02:46.200]   Save me, is merciful to me, disciplines me, is transforming me, cares for me, is for me,
[00:02:46.200 --> 00:02:50.880]   me of all people, this most unworthy sinner.
[00:02:50.880 --> 00:02:53.000]   Adoption is doubly personal to me.
[00:02:53.000 --> 00:02:57.920]   First because my wife, Sandy, and I have three precious children, Tobias, Piper, and Kristen,
[00:02:57.920 --> 00:02:59.920]   whom we love with all our hearts.
[00:02:59.920 --> 00:03:06.760]   I'm so proud of my children, especially my older two and how they have embraced our
[00:03:06.760 --> 00:03:09.480]   youngest.
[00:03:09.480 --> 00:03:13.760]   I am humbled by my wife, her compassion.
[00:03:13.760 --> 00:03:19.600]   She's really the force behind this.
[00:03:19.600 --> 00:03:25.960]   And a part of our family's story though is our youngest, of course, was adopted by us
[00:03:25.960 --> 00:03:28.480]   nearly eight years ago.
[00:03:28.480 --> 00:03:33.720]   The day of our adoption concluded our joyful yet difficult journey of three and a half
[00:03:33.720 --> 00:03:38.880]   years as foster parents, actually with Olive Crest here in Orange County.
[00:03:38.880 --> 00:03:43.400]   Prior to her, we had the blessing of caring for four other children of varying ages and
[00:03:43.400 --> 00:03:50.280]   varying needs and trauma, Elena, Ignacio, Jose, and Isabella.
[00:03:50.280 --> 00:03:57.360]   It was no romantic journey, at times extremely humbling and painful because of what we've
[00:03:57.360 --> 00:04:02.600]   seen these children go through, because of the way our own sins and weaknesses were exposed
[00:04:02.600 --> 00:04:08.280]   as a married couple, because of the frustrations and fallenness of our foster system, because
[00:04:08.280 --> 00:04:15.200]   of the way family, friends, and even church members criticized us or opposed us, let alone
[00:04:15.200 --> 00:04:23.920]   the plight of these kids coming out of the brokenness of our very own local communities.
