
[00:00:00.000 --> 00:00:04.000]   2 Timothy chapter 2.
[00:00:04.000 --> 00:00:07.000]   This is another passage I wanted you guys to read.
[00:00:07.000 --> 00:00:12.000]   The whole chapter is good on the topic of sanctification, but here, let's read this.
[00:00:12.000 --> 00:00:15.000]   It says, starting from verse 14.
[00:00:15.000 --> 00:00:25.000]   "Remind them of these things and solemnly charge them in the presence of God not to wrangle about words which is useless and leads to ruin of hearers.
[00:00:25.000 --> 00:00:33.000]   Be diligent to present yourselves approved to God as a workman who does not need to be ashamed, accurately handing the word of truth.
[00:00:33.000 --> 00:00:39.000]   But avoid worldly and empty chatter for it will lead to further ungodliness, and their talk will spread like gangrene.
[00:00:39.000 --> 00:00:49.000]   Among them are Hemanaeus and Philetus, men who have gone astray from the truth saying that the resurrection has already taken place, and they accept the faith of Son.
[00:00:49.000 --> 00:01:00.000]   Nonetheless, the firm foundation of God stands having this seal. The Lord knows those who are His, and everyone whose name is the name of the Lord is to abstain from wickedness."
[00:01:00.000 --> 00:01:01.000]   Verse 20.
[00:01:01.000 --> 00:01:10.000]   "Now in a large house there are not only gold and silver vessels, but also vessels of wood and of earthenware, and some to honor and some dishonor.
[00:01:10.000 --> 00:01:17.000]   Therefore, if anyone cleanses himself from these things, he will be a vessel for honor, sanctified and useful to the Master.
[00:01:17.000 --> 00:01:27.000]   Prepare for every good work. Now flee from youthful lusts and pursue righteousness, faith, love, and peace with those who call on the Lord from a pure heart,
[00:01:27.000 --> 00:01:32.000]   but refuse foolish and ignorant speculations, knowing that they produce quarrels.
[00:01:32.000 --> 00:01:41.000]   The Lord's bond-servant must not be quarrelsome, but be kind to all, able to teach, patient when wronged, with gentleness correcting those who are in opposition,
[00:01:41.000 --> 00:01:45.000]   if perhaps God may grant them repentance leading to the knowledge of the truth.
[00:01:45.000 --> 00:01:55.000]   And they may come to their senses and escape from the snare of the devil, having been held captive by him to do his will."
[00:01:55.000 --> 00:02:02.000]   Now I know that was a long passage, but the gist of the passage was really clear, wasn't it?
[00:02:02.000 --> 00:02:08.000]   That there are individuals who are God's workmen, who are approved by God.
[00:02:08.000 --> 00:02:10.000]   And who are these individuals?
[00:02:10.000 --> 00:02:18.000]   What kind of person is the one who is a workman, who God is pleased by, and who God is going to use for great purposes?
[00:02:18.000 --> 00:02:21.000]   It says the one who is going to avoid empty chatter.
[00:02:21.000 --> 00:02:25.000]   It's the one who is going to abstain from wickedness.
[00:02:25.000 --> 00:02:30.000]   It's the one who is going to cleanse himself from these things that the world sees as intellectual,
[00:02:30.000 --> 00:02:36.000]   or the world might see as all this is refined and so great, but is nothing but ungodliness.
[00:02:36.000 --> 00:02:39.000]   It says it's the one who flees from youthful lust.
[00:02:39.000 --> 00:02:43.000]   It's the one who pursues righteousness, faith, love, and peace.
[00:02:43.000 --> 00:02:48.000]   And it goes on to say, "And it's the one who is not quarrelsome, it's the one who is kind to all,
[00:02:48.000 --> 00:02:52.000]   it's the one who is patient when he's wrong, and so forth and so on."
[00:02:52.000 --> 00:02:58.000]   What it's essentially saying is, what motivation do you have to seek sanctification?
[00:02:58.000 --> 00:03:01.000]   Is that you would be a faithful servant?
[00:03:01.000 --> 00:03:06.000]   Is that you would be a vessel used by the Lord for His purposes?
[00:03:06.000 --> 00:03:07.000]   Right?
[00:03:07.000 --> 00:03:15.000]   And so the scripture would go on that your sanctification is going to have, what, greater rewards in heaven?
[00:03:15.000 --> 00:03:22.000]   That through your sanctification you're going to avoid the great displeasures of God and the disciplines that come along with it?
[00:03:22.000 --> 00:03:25.000]   But God will chase those for His.
[00:03:25.000 --> 00:03:30.000]   For our lack of sanctification, God is going to give us discipline.
[00:03:30.000 --> 00:03:34.000]   But through our sanctification we can continue to walk with Him in intimacy.
[00:03:34.000 --> 00:03:40.000]   Through our sanctification, unbelievers and angels are going to glorify God through our obedience.
[00:03:40.000 --> 00:03:49.000]   There's so many things that sanctification is going to produce, or there's so many things that motivates us to become more and more sanctified.
