
[00:00:00.000 --> 00:00:29.960]   No other love, no other gods before you. Give me an undivided heart, that I may fear your name. Give me an undivided heart.
[00:00:29.960 --> 00:00:58.920]   No other gods, no other love, no other gods before you. No other gods, no other love, no other gods before you.
[00:00:59.880 --> 00:01:00.380]   Let's pray.
[00:01:00.380 --> 00:01:08.360]   Lord God, we just thank you for again just the privilege that you give us to come here and meet,
[00:01:08.360 --> 00:01:15.320]   to study your word freely. We pray, Lord God, with just everything going on in our lives that
[00:01:15.320 --> 00:01:22.680]   we would truly just seek you with all our heart, that you would be our our number one desire,
[00:01:22.680 --> 00:01:28.040]   that our hearts would be just dedicated to you, that we would always remember what we have in
[00:01:28.040 --> 00:01:34.760]   Christ, and just the sacrifice that you made for us, and that in response we would just desire to
[00:01:34.760 --> 00:01:40.360]   pursue you with all our heart, that we would desire to know you more. And I pray, Lord, that as we just
[00:01:40.360 --> 00:01:45.080]   discuss your word, that it would just be fruitful discussions and be with us, give us strength
[00:01:45.080 --> 00:01:53.640]   tonight. In your name we pray, amen. Amen. Okay, so I do have a couple important announcements for us.
[00:01:54.440 --> 00:02:01.640]   Again, as an encouragement, please do sign up to volunteer. Here at church on the Wednesday night we
[00:02:01.640 --> 00:02:03.160]   have, you know...
[00:02:03.160 --> 00:02:05.160]   [silence]
[00:02:06.120 --> 00:02:08.120]   [silence]
[00:02:08.120 --> 00:02:10.120]   [silence]
[00:02:10.120 --> 00:02:12.120]   [silence]
[00:02:12.120 --> 00:02:14.120]   [silence]
[00:02:14.120 --> 00:02:16.120]   [silence]
[00:02:16.120 --> 00:02:18.120]   [silence]
[00:02:18.120 --> 00:02:20.120]   [silence]
[00:02:20.120 --> 00:02:22.120]   [silence]
[00:02:22.120 --> 00:02:24.120]   [silence]
[00:02:24.120 --> 00:02:26.120]   [silence]
[00:02:26.120 --> 00:02:28.120]   [silence]
[00:02:28.120 --> 00:02:30.120]   [silence]
[00:02:30.120 --> 00:02:32.120]   [silence]
[00:02:32.120 --> 00:02:34.120]   [silence]
[00:02:34.120 --> 00:02:36.120]   [silence]
[00:02:36.120 --> 00:02:38.120]   [silence]
[00:02:38.120 --> 00:02:40.120]   [silence]
[00:02:40.120 --> 00:02:42.120]   [silence]
[00:02:42.120 --> 00:02:44.120]   [silence]
[00:02:44.120 --> 00:02:46.120]   [silence]
[00:02:46.120 --> 00:02:48.120]   [silence]
[00:02:48.120 --> 00:02:50.120]   [silence]
[00:02:50.120 --> 00:02:52.120]   [silence]
[00:02:52.120 --> 00:02:54.120]   [silence]
[00:02:54.120 --> 00:02:56.120]   [silence]
[00:02:56.120 --> 00:02:58.120]   [silence]
[00:02:58.120 --> 00:03:00.120]   [silence]
[00:03:00.120 --> 00:03:02.120]   [silence]
[00:03:02.120 --> 00:03:04.120]   [silence]
[00:03:04.120 --> 00:03:06.120]   [silence]
[00:03:06.120 --> 00:03:08.120]   [silence]
[00:03:08.120 --> 00:03:10.120]   [silence]
[00:03:10.120 --> 00:03:12.120]   [silence]
[00:03:12.120 --> 00:03:14.120]   [silence]
[00:03:14.120 --> 00:03:16.120]   [silence]
[00:03:16.120 --> 00:03:18.120]   [silence]
[00:03:18.120 --> 00:03:20.120]   [silence]
[00:03:20.120 --> 00:03:22.120]   [silence]
[00:03:22.120 --> 00:03:24.120]   [silence]
[00:03:24.120 --> 00:03:26.120]   [silence]
[00:03:26.120 --> 00:03:28.120]   [silence]
[00:03:54.120 --> 00:03:58.120]   Please make sure to ask some of the questions, important questions that we
[00:03:58.120 --> 00:04:02.120]   asked in the previous study, which is, what's the purpose?
[00:04:02.120 --> 00:04:06.120]   What's the generic flow that allowed us to arrive at this paragraph?
[00:04:06.120 --> 00:04:10.120]   And then think about, even within the paragraph, what's the argument and what's
[00:04:10.120 --> 00:04:14.120]   the flow, etc. And then start diving into what are your questions,
[00:04:14.120 --> 00:04:18.120]   what are your observations, etc. And then we'll come back here again at
[00:04:18.120 --> 00:04:22.120]   7.50. Okay? Thank you.
[00:04:22.120 --> 00:04:24.120]   [silence]
[00:04:24.120 --> 00:04:26.120]   [silence]
[00:04:26.120 --> 00:04:28.120]   [silence]
[00:04:28.120 --> 00:04:30.120]   [silence]
[00:04:30.120 --> 00:04:32.120]   [silence]
[00:04:32.120 --> 00:04:34.120]   [silence]
[00:04:34.120 --> 00:04:36.120]   [silence]
[00:04:36.120 --> 00:04:38.120]   [silence]
[00:04:38.120 --> 00:04:40.120]   [silence]
[00:04:40.120 --> 00:04:42.120]   [silence]
[00:04:42.120 --> 00:04:44.120]   [silence]
[00:04:44.120 --> 00:04:46.120]   [silence]
[00:04:46.120 --> 00:04:48.120]   [silence]
[00:04:48.120 --> 00:04:50.120]   [silence]
[00:04:50.120 --> 00:04:52.120]   [silence]
[00:04:52.120 --> 00:04:54.120]   [silence]
[00:04:54.120 --> 00:04:56.120]   [silence]
[00:04:56.120 --> 00:04:58.120]   [silence]
[00:04:58.120 --> 00:05:00.120]   [silence]
[00:05:00.120 --> 00:05:02.120]   [silence]
[00:05:02.120 --> 00:05:04.120]   [silence]
[00:05:04.120 --> 00:05:06.120]   [silence]
[00:05:06.120 --> 00:05:08.120]   [silence]
[00:05:08.120 --> 00:05:10.120]   [silence]
[00:05:10.120 --> 00:05:12.120]   [silence]
[00:05:12.120 --> 00:05:14.120]   [silence]
[00:05:14.120 --> 00:05:16.120]   [silence]
[00:05:16.120 --> 00:05:18.120]   [silence]
[00:05:18.120 --> 00:05:20.120]   [silence]
[00:05:20.120 --> 00:05:22.120]   [silence]
[00:05:22.120 --> 00:05:24.120]   [silence]
[00:05:24.120 --> 00:05:26.120]   [silence]
[00:05:26.120 --> 00:05:28.120]   [silence]
[00:05:28.120 --> 00:05:30.120]   [silence]
[00:05:30.120 --> 00:05:32.120]   [silence]
[00:05:32.120 --> 00:05:34.120]   [silence]
[00:05:34.120 --> 00:05:36.120]   [silence]
[00:05:36.120 --> 00:05:38.120]   [silence]
[00:05:38.120 --> 00:05:40.120]   [silence]
[00:05:40.120 --> 00:05:42.120]   [silence]
[00:05:42.120 --> 00:05:44.120]   [silence]
[00:05:44.120 --> 00:05:46.120]   [silence]
[00:05:46.120 --> 00:05:48.120]   [silence]
[00:05:48.120 --> 00:05:50.120]   [silence]
[00:05:50.120 --> 00:05:52.120]   [silence]
[00:05:52.120 --> 00:05:54.120]   [silence]
[00:05:54.120 --> 00:05:56.120]   [silence]
[00:05:56.120 --> 00:05:58.120]   [silence]
[00:05:58.120 --> 00:06:00.120]   [silence]
[00:06:00.120 --> 00:06:02.120]   [silence]
[00:06:02.120 --> 00:06:04.120]   [silence]
[00:06:04.120 --> 00:06:06.120]   [silence]
[00:06:06.120 --> 00:06:08.120]   [silence]
[00:06:08.120 --> 00:06:10.120]   [silence]
[00:06:10.120 --> 00:06:12.120]   [silence]
[00:06:12.120 --> 00:06:14.120]   [silence]
[00:06:14.120 --> 00:06:16.120]   [silence]
[00:06:16.120 --> 00:06:18.120]   [silence]
[00:06:18.120 --> 00:06:20.120]   [silence]
[00:06:20.120 --> 00:06:22.120]   [silence]
[00:06:22.120 --> 00:06:24.120]   [silence]
[00:06:24.120 --> 00:06:26.120]   [silence]
[00:06:26.120 --> 00:06:28.120]   [silence]
[00:06:28.120 --> 00:06:30.120]   [silence]
[00:06:30.120 --> 00:06:32.120]   [silence]
[00:06:32.120 --> 00:06:34.120]   [silence]
[00:06:34.120 --> 00:06:36.120]   [silence]
[00:06:36.120 --> 00:06:38.120]   [silence]
[00:06:38.120 --> 00:06:40.120]   [silence]
[00:06:40.120 --> 00:06:42.120]   [silence]
[00:06:42.120 --> 00:06:44.120]   [silence]
[00:06:44.120 --> 00:06:46.120]   [silence]
[00:06:46.120 --> 00:06:48.120]   [silence]
[00:06:48.120 --> 00:06:50.120]   [silence]
[00:06:50.120 --> 00:06:52.120]   [silence]
[00:06:52.120 --> 00:06:54.120]   [silence]
[00:06:54.120 --> 00:06:56.120]   [silence]
[00:06:56.120 --> 00:06:58.120]   [silence]
[00:06:58.120 --> 00:07:00.120]   [silence]
[00:07:00.120 --> 00:07:02.120]   [silence]
[00:07:02.120 --> 00:07:04.120]   [silence]
[00:07:04.120 --> 00:07:06.120]   [silence]
[00:07:06.120 --> 00:07:08.120]   [silence]
[00:07:08.120 --> 00:07:10.120]   [silence]
[00:07:10.120 --> 00:07:12.120]   [silence]
[00:07:12.120 --> 00:07:14.120]   [silence]
[00:07:14.120 --> 00:07:16.120]   [silence]
[00:07:16.120 --> 00:07:18.120]   [silence]
[00:07:18.120 --> 00:07:20.120]   [silence]
[00:07:20.120 --> 00:07:22.120]   [silence]
[00:07:22.120 --> 00:07:24.120]   [silence]
[00:07:24.120 --> 00:07:26.120]   [silence]
[00:07:26.120 --> 00:07:28.120]   [silence]
[00:07:28.120 --> 00:07:30.120]   [silence]
[00:07:30.120 --> 00:07:32.120]   [silence]
[00:07:32.120 --> 00:07:34.120]   [silence]
[00:07:34.120 --> 00:07:36.120]   [silence]
[00:07:36.120 --> 00:07:38.120]   [silence]
[00:07:38.120 --> 00:07:40.120]   [silence]
[00:07:40.120 --> 00:07:42.120]   [silence]
[00:07:42.120 --> 00:07:44.120]   [silence]
