
[00:00:00.000 --> 00:00:00.840]   - Two.
[00:00:00.840 --> 00:00:01.680]   - Okay.
[00:00:01.680 --> 00:00:03.880]   - And then play to the end.
[00:00:03.880 --> 00:00:06.080]   We'll just do verse one chorus,
[00:00:06.080 --> 00:00:09.200]   verse two chorus, repeat chorus.
[00:00:09.200 --> 00:00:13.520]   And then repeat that last line ready to do your will.
[00:00:13.520 --> 00:00:15.240]   Okay?
[00:00:15.240 --> 00:00:17.960]   Okay.
[00:00:17.960 --> 00:00:20.460]   (piano music)
[00:00:20.460 --> 00:00:22.960]   (piano music)
[00:00:22.960 --> 00:00:34.780]   ♪ Purify my heart ♪
[00:00:34.780 --> 00:00:39.060]   ♪ Let me be as gold ♪
[00:00:39.060 --> 00:00:42.540]   ♪ And precious silver ♪
[00:00:42.540 --> 00:00:47.220]   ♪ Purify my heart ♪
[00:00:47.220 --> 00:00:51.800]   ♪ Let me be as gold ♪
[00:00:51.800 --> 00:00:54.860]   ♪ Pure gold ♪
[00:00:54.860 --> 00:00:59.860]   ♪ Refine our sight ♪
[00:00:59.860 --> 00:01:06.020]   ♪ My heart's one desire ♪
[00:01:06.020 --> 00:01:10.540]   ♪ Is to be ♪
[00:01:10.540 --> 00:01:13.500]   ♪ Only ♪
[00:01:13.500 --> 00:01:18.500]   ♪ Set apart for you, Lord ♪
[00:01:18.500 --> 00:01:23.400]   ♪ I choose to be ♪
[00:01:23.400 --> 00:01:26.420]   ♪ Only ♪
[00:01:26.420 --> 00:01:31.420]   ♪ Set apart for you, my master ♪
[00:01:31.420 --> 00:01:38.060]   ♪ Ready to do your will ♪
[00:01:43.000 --> 00:01:47.820]   ♪ Purify my heart ♪
[00:01:47.820 --> 00:01:52.820]   ♪ And cleanse me from within ♪
[00:01:52.820 --> 00:02:01.020]   ♪ Purify my heart ♪
[00:02:01.020 --> 00:02:06.020]   ♪ And cleanse me from myself ♪
[00:02:06.020 --> 00:02:09.420]   ♪ Deep within ♪
[00:02:09.420 --> 00:02:14.420]   ♪ Refine our sight ♪
[00:02:14.420 --> 00:02:20.900]   ♪ My heart's one desire ♪
[00:02:20.900 --> 00:02:26.060]   ♪ Is to be ♪
[00:02:26.060 --> 00:02:29.260]   ♪ Only ♪
[00:02:29.260 --> 00:02:34.260]   ♪ Set apart for you, Lord ♪
[00:02:34.860 --> 00:02:39.500]   ♪ I choose to be ♪
[00:02:39.500 --> 00:02:42.740]   ♪ Only ♪
[00:02:42.740 --> 00:02:47.740]   ♪ Set apart for you, my master ♪
[00:02:47.740 --> 00:02:54.620]   ♪ Ready to do your will ♪
[00:02:54.620 --> 00:03:01.400]   ♪ Refine our sight ♪
[00:03:03.220 --> 00:03:08.220]   ♪ My heart's one desire ♪
[00:03:08.220 --> 00:03:13.320]   ♪ Is to be ♪
[00:03:13.320 --> 00:03:16.500]   ♪ Only ♪
[00:03:16.500 --> 00:03:21.500]   ♪ Set apart for you, Lord ♪
[00:03:21.500 --> 00:03:26.880]   ♪ I choose to be ♪
[00:03:26.880 --> 00:03:30.020]   ♪ Only ♪
[00:03:30.020 --> 00:03:35.020]   ♪ Set apart for you, my master ♪
[00:03:35.020 --> 00:03:42.020]   ♪ Ready to do your will ♪
[00:03:42.020 --> 00:03:47.320]   ♪ Ready to do your will ♪
[00:03:47.320 --> 00:03:51.620]   - Yeah, you can just die out.
[00:03:51.620 --> 00:03:52.780]   For the last verse.
[00:03:52.780 --> 00:03:53.740]   - For that last verse.
[00:03:53.740 --> 00:03:54.580]   - Yeah.
[00:03:54.580 --> 00:03:56.980]   Yeah.
[00:03:58.540 --> 00:04:01.020]   - Can we do "Only a Holy God" again?
[00:04:01.020 --> 00:04:02.260]   - Yeah, let's do "Only a,"
[00:04:02.260 --> 00:04:04.380]   or you wanna do the beginning again?
[00:04:04.380 --> 00:04:09.140]   Let's do "Only a Holy God" first.
[00:04:09.140 --> 00:04:14.920]   - That was rough.
[00:04:14.920 --> 00:04:22.260]   (gentle piano music)
[00:04:22.260 --> 00:04:25.340]   (gentle piano music)
[00:04:25.340 --> 00:04:34.000]   - Play a D again.
[00:04:34.000 --> 00:04:36.180]   Just play a D chord.
[00:04:36.180 --> 00:04:38.260]   So it's just.
[00:04:38.260 --> 00:04:41.420]   (gentle guitar music)
[00:04:41.420 --> 00:04:50.740]   That D again.
[00:04:50.740 --> 00:04:53.900]   (gentle guitar music)
[00:04:53.900 --> 00:05:16.200]   ♪ Who else can make all the hopes of hope ♪
[00:05:17.380 --> 00:05:22.380]   ♪ Who else can make every gain my doubt ♪
[00:05:22.380 --> 00:05:28.540]   ♪ Who else can whisper in darkest troubles ♪
[00:05:28.540 --> 00:05:34.780]   ♪ Only a holy God ♪
[00:05:34.780 --> 00:05:42.300]   ♪ What other beauty did need such blessings ♪
[00:05:43.580 --> 00:05:48.580]   ♪ What other splendor outshines the sun ♪
[00:05:48.580 --> 00:05:54.860]   ♪ What other majesty moves with justice ♪
[00:05:54.860 --> 00:06:01.180]   ♪ Only a holy God ♪
[00:06:01.180 --> 00:06:08.380]   ♪ Come and behold Him ♪
[00:06:08.380 --> 00:06:13.380]   ♪ The one and the only ♪
[00:06:13.900 --> 00:06:18.540]   ♪ Cry out, sing holy ♪
[00:06:18.540 --> 00:06:23.180]   ♪ Forever a holy God ♪
[00:06:23.180 --> 00:06:27.180]   ♪ Come and worship the holy God ♪
[00:06:41.300 --> 00:06:46.300]   ♪ What other glory consumes like fire ♪
[00:06:46.300 --> 00:06:52.500]   ♪ What other power can ease the day ♪
[00:06:52.500 --> 00:06:58.700]   ♪ What other name can be turned to fear ♪
[00:06:58.700 --> 00:07:04.900]   ♪ Only a holy God ♪
[00:07:07.300 --> 00:07:11.860]   ♪ Come and behold Him ♪
[00:07:11.860 --> 00:07:16.860]   ♪ The one and the only ♪
[00:07:16.860 --> 00:07:21.620]   ♪ Cry out, sing holy ♪
[00:07:21.620 --> 00:07:26.180]   ♪ Forever a holy God ♪
[00:07:26.180 --> 00:07:31.180]   ♪ Come and worship the holy God ♪
[00:07:31.180 --> 00:07:36.420]   ♪ Come and behold Him ♪
[00:07:36.420 --> 00:07:41.420]   ♪ The one and the only ♪
[00:07:41.420 --> 00:07:46.300]   ♪ Cry out, sing holy ♪
[00:07:46.300 --> 00:07:50.780]   ♪ Forever a holy God ♪
[00:07:50.780 --> 00:07:54.780]   ♪ Come and worship the holy God ♪
[00:07:54.780 --> 00:07:57.360]   (gentle music)
[00:07:57.360 --> 00:08:13.820]   ♪ Who else could rescue me from my fear ♪
[00:08:13.820 --> 00:08:19.820]   ♪ Who else would offer His only Son ♪
[00:08:20.940 --> 00:08:25.940]   ♪ Who else would advise me to go and fear ♪
[00:08:25.940 --> 00:08:31.980]   ♪ Only a holy God ♪
[00:08:31.980 --> 00:08:36.980]   ♪ Only my holy God ♪
[00:08:36.980 --> 00:08:43.940]   ♪ Come and behold Him ♪
[00:08:43.940 --> 00:08:48.940]   ♪ The one and the only ♪
[00:08:49.220 --> 00:08:53.660]   ♪ Cry out, sing holy ♪
[00:08:53.660 --> 00:08:58.260]   ♪ Forever a holy God ♪
[00:08:58.260 --> 00:09:03.260]   ♪ Come and worship the holy God ♪
[00:09:03.260 --> 00:09:08.380]   ♪ Come and behold Him ♪
[00:09:08.380 --> 00:09:13.380]   ♪ The one and the only ♪
