
[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:00:03.480 --> 00:00:06.980]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:06.980 --> 00:00:10.480]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:10.480 --> 00:00:13.980]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:13.980 --> 00:00:17.480]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:18.480 --> 00:00:21.980]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:21.980 --> 00:00:34.460]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:35.440 --> 00:00:38.940]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:39.920 --> 00:00:43.420]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:44.400 --> 00:00:47.900]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:48.880 --> 00:00:52.380]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:53.360 --> 00:00:56.860]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:00:57.840 --> 00:01:01.340]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:02.320 --> 00:01:05.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:06.800 --> 00:01:10.300]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:11.280 --> 00:01:14.780]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:15.760 --> 00:01:19.260]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:20.240 --> 00:01:23.740]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:24.720 --> 00:01:28.220]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:29.200 --> 00:01:32.700]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:33.680 --> 00:01:37.180]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:38.160 --> 00:01:41.660]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:42.640 --> 00:01:46.140]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:47.120 --> 00:01:50.620]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:51.600 --> 00:01:55.100]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:01:55.100 --> 00:02:04.100]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:04.100 --> 00:02:13.100]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:14.080 --> 00:02:17.580]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:18.560 --> 00:02:22.060]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:23.040 --> 00:02:26.540]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:27.520 --> 00:02:31.020]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:32.000 --> 00:02:35.500]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:36.480 --> 00:02:39.980]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:40.960 --> 00:02:44.460]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:45.440 --> 00:02:48.940]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:49.920 --> 00:02:53.420]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:54.400 --> 00:02:57.900]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:02:58.880 --> 00:03:02.380]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:03.360 --> 00:03:06.860]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:07.840 --> 00:03:11.340]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:12.320 --> 00:03:15.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:16.800 --> 00:03:20.300]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:21.280 --> 00:03:24.780]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:25.760 --> 00:03:29.260]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:30.240 --> 00:03:33.740]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:34.720 --> 00:03:38.220]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:39.200 --> 00:03:42.700]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:43.680 --> 00:03:47.180]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:48.160 --> 00:03:51.660]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:52.640 --> 00:03:56.140]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:03:57.120 --> 00:04:00.620]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:00.620 --> 00:04:10.620]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:10.620 --> 00:04:19.620]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:20.600 --> 00:04:24.100]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:24.100 --> 00:04:45.100]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:46.080 --> 00:04:49.580]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:50.560 --> 00:04:54.060]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:55.040 --> 00:04:58.540]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:04:59.520 --> 00:05:03.020]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:04.000 --> 00:05:07.500]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:08.480 --> 00:05:11.980]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:12.960 --> 00:05:16.460]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:17.440 --> 00:05:20.940]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:21.920 --> 00:05:25.420]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:26.400 --> 00:05:29.900]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:30.880 --> 00:05:34.380]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:35.360 --> 00:05:38.860]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:39.840 --> 00:05:43.340]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:05:44.320 --> 00:05:47.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:13.320 --> 00:06:16.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:17.820 --> 00:06:21.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:22.320 --> 00:06:25.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:26.820 --> 00:06:30.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:30.320 --> 00:06:33.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:34.820 --> 00:06:38.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:39.320 --> 00:06:42.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:42.820 --> 00:06:46.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:47.320 --> 00:06:50.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:51.820 --> 00:06:55.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:06:56.320 --> 00:06:59.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:00.820 --> 00:07:04.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:05.320 --> 00:07:08.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:08.820 --> 00:07:12.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:12.320 --> 00:07:15.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:15.820 --> 00:07:19.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:20.320 --> 00:07:23.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:23.820 --> 00:07:38.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:39.820 --> 00:07:43.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:44.320 --> 00:07:47.820]   [MUSIC - "POMP AND CIRCUMSTANCE"]
[00:07:48.820 --> 00:07:52.320]   [MUSIC - "POMP AND CIRCUMSTANCE"]
