
[00:00:00.000 --> 00:00:07.000]   Love and sorrow meet
[00:00:07.000 --> 00:00:15.000]   All across all who gather here
[00:00:15.000 --> 00:00:22.000]   By grace, trial, or name, confess your name
[00:00:24.000 --> 00:00:33.000]   We're the whole realm of nature, my
[00:00:33.000 --> 00:00:44.000]   That were an offering far too small
[00:00:46.000 --> 00:00:55.000]   Love so amazing, so divine
[00:00:55.000 --> 00:01:06.000]   It aligns my soul, my life, my all
[00:01:07.000 --> 00:01:17.000]   Oh, the wonderful cross
[00:01:17.000 --> 00:01:27.000]   It's me come and die and find that I may truly live
[00:01:29.000 --> 00:01:39.000]   Oh, the wonderful cross
[00:01:39.000 --> 00:01:50.000]   All who gather here by grace, trial, or name, and bless your name
[00:01:51.000 --> 00:02:01.000]   Oh, the wonderful cross
[00:02:01.000 --> 00:02:12.000]   It's me come and die and find that I may truly live
[00:02:12.000 --> 00:02:35.000]   [Instrumental]
[00:02:36.000 --> 00:02:46.000]   Love so amazing, so divine
[00:02:46.000 --> 00:02:57.000]   It aligns my soul, my life, my all
[00:02:58.000 --> 00:03:10.000]   [Instrumental]
[00:03:10.000 --> 00:03:14.000]   It's the beauty and the shame
[00:03:14.000 --> 00:03:19.000]   It's the glory and the pain
[00:03:19.000 --> 00:03:24.000]   Wonderful cross
[00:03:27.000 --> 00:03:37.000]   Oh, the wonderful cross
[00:03:37.000 --> 00:03:48.000]   It's me come and die and find that I may truly live
[00:03:49.000 --> 00:03:59.000]   Oh, the wonderful cross
[00:03:59.000 --> 00:04:10.000]   All who gather here by grace, trial, or name, and bless your name
[00:04:11.000 --> 00:04:22.000]   Oh, the wonderful cross
[00:04:22.000 --> 00:04:32.000]   It's me come and die and find that I may truly live
[00:04:32.000 --> 00:04:55.000]   [Instrumental]
[00:04:56.000 --> 00:05:04.000]   Oh, great God of highest heaven, occupy my lowly heart
[00:05:04.000 --> 00:05:13.000]   Own it all and reign supreme, conquer every rebel power
[00:05:13.000 --> 00:05:22.000]   Let no vice or sin remain that resists your holy war
[00:05:23.000 --> 00:05:32.000]   You have loved and purchased me, make me yours forevermore
[00:05:32.000 --> 00:05:42.000]   I was blinded by my sin, had no ears to hear your voice
[00:05:42.000 --> 00:05:51.000]   Did not know your love within, had no taste for heaven's joys
[00:05:52.000 --> 00:06:00.000]   Then your spirit gave me life, opened up your words to me
[00:06:00.000 --> 00:06:10.000]   Through the gospel of your son, gave me endless hope and grace
[00:06:11.000 --> 00:06:21.000]   Yes, you did, oh, great God
[00:06:21.000 --> 00:06:29.000]   [Instrumental]
[00:06:29.000 --> 00:06:37.000]   Help me now to live a life that's dependent on you
[00:06:38.000 --> 00:06:42.000]   Good morning, Church family. Happy Lord's Day. We will begin our service.
[00:06:42.000 --> 00:06:56.000]   [Instrumental]
[00:06:56.000 --> 00:06:59.000]   Teach me your way, O Lord
[00:07:00.000 --> 00:07:03.000]   Teach me your way, O Lord
[00:07:03.000 --> 00:07:09.000]   And I will walk in your truth
[00:07:09.000 --> 00:07:16.000]   Show me your path, O Lord
[00:07:16.000 --> 00:07:21.000]   For I am devoted to you
[00:07:21.000 --> 00:07:28.000]   Purify my heart's desire
[00:07:29.000 --> 00:07:35.000]   I long to be your servant
[00:07:35.000 --> 00:07:42.000]   Give me an undivided heart
