
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:07.320]   (audience chattering continues)
[00:00:07.320 --> 00:00:11.400]   (audience chattering continues)
[00:00:11.400 --> 00:00:15.480]   (audience chattering continues)
[00:00:15.480 --> 00:00:19.560]   (audience chattering continues)
[00:00:19.560 --> 00:00:23.640]   (audience chattering continues)
[00:00:23.640 --> 00:00:27.720]   (audience chattering continues)
[00:00:27.720 --> 00:00:31.800]   (audience chattering continues)
[00:00:31.800 --> 00:00:35.880]   (audience chattering continues)
[00:00:35.880 --> 00:00:39.960]   (audience chattering continues)
[00:00:39.960 --> 00:00:44.040]   (audience chattering continues)
[00:00:44.240 --> 00:00:48.320]   (audience chattering continues)
[00:00:48.320 --> 00:00:52.320]   (audience chattering continues)
[00:00:52.320 --> 00:00:56.320]   (audience chattering continues)
[00:00:56.320 --> 00:01:00.320]   (audience chattering continues)
[00:01:00.320 --> 00:01:04.320]   (audience chattering continues)
[00:01:04.320 --> 00:01:08.320]   (audience chattering continues)
[00:01:08.320 --> 00:01:12.320]   (audience chattering continues)
[00:01:12.320 --> 00:01:16.320]   (audience chattering continues)
[00:01:16.320 --> 00:01:20.320]   (audience chattering continues)
[00:01:21.160 --> 00:01:25.160]   (audience chattering continues)
[00:01:25.160 --> 00:01:29.160]   (audience chattering continues)
[00:01:29.160 --> 00:01:33.160]   (audience chattering continues)
[00:01:33.160 --> 00:01:37.160]   (audience chattering continues)
[00:01:37.160 --> 00:01:41.160]   (audience chattering continues)
[00:01:41.160 --> 00:01:45.160]   (audience chattering continues)
[00:01:45.160 --> 00:01:49.160]   (audience chattering continues)
[00:01:49.160 --> 00:01:53.160]   (audience chattering continues)
[00:01:53.160 --> 00:01:57.160]   (audience chattering continues)
[00:01:57.160 --> 00:02:01.160]   (audience chattering continues)
[00:02:01.160 --> 00:02:05.160]   (audience chattering continues)
[00:02:05.160 --> 00:02:09.160]   (audience chattering continues)
[00:02:09.160 --> 00:02:13.160]   (audience chattering continues)
[00:02:13.160 --> 00:02:17.160]   (audience chattering continues)
[00:02:17.160 --> 00:02:21.160]   (audience chattering continues)
[00:02:21.160 --> 00:02:25.160]   (audience chattering continues)
[00:02:26.160 --> 00:02:30.160]   (audience chattering continues)
[00:02:54.160 --> 00:02:58.160]   (audience chattering continues)
[00:02:59.160 --> 00:03:03.160]   (audience chattering continues)
[00:03:03.160 --> 00:03:07.160]   (audience chattering continues)
[00:03:08.160 --> 00:03:12.160]   (audience chattering continues)
[00:03:12.160 --> 00:03:33.160]   (audience chattering continues)
[00:03:34.160 --> 00:03:38.160]   (audience chattering continues)
[00:03:38.160 --> 00:03:46.160]   (audience chattering continues)
[00:03:46.160 --> 00:03:56.160]   (audience chattering continues)
[00:03:57.160 --> 00:04:01.160]   (audience chattering continues)
[00:04:01.160 --> 00:04:19.160]   (audience chattering continues)
[00:04:20.160 --> 00:04:24.160]   (audience chattering continues)
[00:04:24.160 --> 00:04:37.160]   (audience chattering continues)
[00:04:38.160 --> 00:04:42.160]   (audience chattering continues)
[00:04:42.160 --> 00:04:59.160]   (audience chattering continues)
[00:04:59.160 --> 00:05:03.160]   (audience chattering continues)
[00:05:03.160 --> 00:05:18.160]   (audience chattering continues)
[00:05:19.160 --> 00:05:23.160]   (audience chattering continues)
[00:05:23.160 --> 00:05:43.160]   (audience chattering continues)
[00:05:44.160 --> 00:05:48.160]   (audience chattering continues)
[00:05:48.160 --> 00:06:01.160]   (audience chattering continues)
[00:06:01.160 --> 00:06:05.160]   (audience chattering continues)
[00:06:05.160 --> 00:06:28.160]   (audience chattering continues)
[00:06:28.160 --> 00:06:32.160]   (audience chattering continues)
[00:06:32.160 --> 00:06:50.160]   (audience chattering continues)
[00:06:50.160 --> 00:06:54.160]   (audience chattering continues)
[00:06:54.160 --> 00:07:08.160]   (audience chattering continues)
[00:07:09.160 --> 00:07:13.160]   (audience chattering continues)
[00:07:13.160 --> 00:07:32.160]   (audience chattering continues)
[00:07:32.160 --> 00:07:36.160]   (audience chattering continues)
[00:07:36.160 --> 00:07:43.160]   (audience laughing)
[00:07:43.160 --> 00:07:50.160]   (audience laughing)
[00:07:50.160 --> 00:07:56.160]   (audience chattering continues)
[00:07:57.160 --> 00:08:01.160]   (audience chattering continues)
[00:08:01.160 --> 00:08:17.160]   (audience chattering continues)
[00:08:18.160 --> 00:08:22.160]   (audience chattering continues)
[00:08:22.160 --> 00:08:35.160]   (audience laughing)
[00:08:35.160 --> 00:08:45.160]   (audience chattering continues)
[00:08:46.160 --> 00:08:50.160]   (audience chattering continues)
[00:08:50.160 --> 00:09:02.160]   (audience chattering continues)
[00:09:03.160 --> 00:09:07.160]   (audience chattering continues)
[00:09:07.160 --> 00:09:24.160]   (audience chattering continues)
[00:09:24.160 --> 00:09:28.160]   (audience chattering continues)
[00:09:53.160 --> 00:09:57.160]   (audience chattering continues)
[00:09:57.160 --> 00:10:20.160]   (audience chattering continues)
[00:10:21.160 --> 00:10:25.160]   (audience chattering continues)
[00:10:25.160 --> 00:10:33.160]   (audience chattering continues)
[00:10:48.160 --> 00:10:52.160]   (audience chattering continues)
[00:10:53.160 --> 00:10:57.160]   (audience chattering continues)
[00:10:57.160 --> 00:11:08.160]   (audience chattering continues)
[00:11:09.160 --> 00:11:13.160]   (audience chattering continues)
[00:11:13.160 --> 00:11:26.160]   (audience chattering continues)
[00:11:27.160 --> 00:11:31.160]   (audience chattering continues)
[00:11:31.160 --> 00:11:48.160]   (audience chattering continues)
[00:11:49.160 --> 00:11:53.160]   (audience chattering continues)
[00:11:53.160 --> 00:12:10.160]   (audience chattering continues)
[00:12:11.160 --> 00:12:15.160]   (audience chattering continues)
[00:12:15.160 --> 00:12:38.160]   (audience chattering continues)
[00:12:39.160 --> 00:12:43.160]   (audience chattering continues)
[00:12:43.160 --> 00:13:02.160]   (audience chattering continues)
[00:13:03.160 --> 00:13:07.160]   (audience chattering continues)
[00:13:07.160 --> 00:13:16.160]   (audience chattering continues)
[00:13:16.160 --> 00:13:28.160]   (audience chattering continues)
[00:13:29.160 --> 00:13:33.160]   (audience chattering continues)
[00:13:33.160 --> 00:13:40.160]   (audience chattering continues)
[00:13:40.160 --> 00:13:44.160]   (audience chattering continues)
[00:13:44.160 --> 00:13:48.160]   (audience chattering continues)
[00:13:49.160 --> 00:13:53.160]   (audience chattering continues)
[00:13:53.160 --> 00:14:02.160]   (audience chattering continues)
[00:14:03.160 --> 00:14:07.160]   (audience chattering continues)
[00:14:07.160 --> 00:14:11.160]   (audience chattering continues)
[00:14:11.160 --> 00:14:15.160]   (audience chattering continues)
[00:14:15.160 --> 00:14:38.160]   (audience chattering continues)
[00:14:39.160 --> 00:14:43.160]   (audience chattering continues)
[00:14:43.160 --> 00:14:59.160]   (audience chattering continues)
[00:15:00.160 --> 00:15:04.160]   (audience chattering continues)
[00:15:04.160 --> 00:15:22.160]   (audience chattering continues)
[00:15:23.160 --> 00:15:27.160]   (audience chattering continues)
[00:15:27.160 --> 00:15:40.160]   (audience chattering continues)
[00:15:41.160 --> 00:15:45.160]   (audience chattering continues)
[00:15:45.160 --> 00:15:55.160]   - Well, good evening, everybody.
[00:15:55.160 --> 00:15:58.160]   For those of you guys who are either by the door,
[00:15:58.160 --> 00:16:01.160]   please make your way to your tables.
[00:16:01.160 --> 00:16:05.160]   It's really exciting to see all of you guys here.
[00:16:05.160 --> 00:16:10.160]   The room is so full and ready to study together.
[00:16:10.160 --> 00:16:14.160]   So per our usual just setup and schedule for the evening,
[00:16:14.160 --> 00:16:16.160]   we'll have our time of worship and then go straight
[00:16:16.160 --> 00:16:19.160]   into our time of discussion with our groups.
[00:16:19.160 --> 00:16:22.160]   Would you please join with me as we take a moment to pray
[00:16:22.160 --> 00:16:23.160]   and go before the Lord?
[00:16:23.160 --> 00:16:24.160]   Let's pray.
[00:16:24.160 --> 00:16:28.160]   Heavenly Father, we thank you so much for your grace.
[00:16:28.160 --> 00:16:30.160]   God, we thank you for your mercies,
[00:16:30.160 --> 00:16:32.160]   the strength that you give,
[00:16:32.160 --> 00:16:35.160]   and the provision you grant to us every single day.
[00:16:35.160 --> 00:16:38.160]   And we know, God, that you have ordained it,
[00:16:38.160 --> 00:16:41.160]   that we would receive strength and nourishment
[00:16:41.160 --> 00:16:42.160]   and more from your word.
[00:16:42.160 --> 00:16:44.160]   So what a privilege it is to come together
[00:16:44.160 --> 00:16:48.160]   to fellowship in this way, to dig through the scriptures,
[00:16:48.160 --> 00:16:49.160]   to share our insights,
[00:16:49.160 --> 00:16:52.160]   and I pray that it would be so fruitful to us.
[00:16:52.160 --> 00:16:55.160]   And God, as you see the church coming together
[00:16:55.160 --> 00:16:58.160]   over your truths, I pray, God, that you would be pleased
[00:16:58.160 --> 00:17:01.160]   and that all that we do is honoring to you, God.
[00:17:01.160 --> 00:17:04.160]   We thank you in Christ's name, amen.
[00:17:04.160 --> 00:17:26.160]   Sing "Marvelous Grace."
[00:17:26.160 --> 00:17:32.160]   Marvelous grace of our loving God,
[00:17:32.160 --> 00:17:38.160]   Grace that exceeds our sin and our guilt,
[00:17:38.160 --> 00:17:44.160]   Yonder on Calvary's mount outpoured,
[00:17:44.160 --> 00:17:50.160]   There where the blood of the Lamb was spilled.
[00:17:50.160 --> 00:17:56.160]   Grace, grace, God's grace,
[00:17:56.160 --> 00:18:02.160]   Grace that will pardon and cleanse within.
[00:18:02.160 --> 00:18:08.160]   Grace, grace, God's grace,
[00:18:08.160 --> 00:18:14.160]   Grace that is greater than all I say.
[00:18:15.160 --> 00:18:25.160]   [Guitar playing]
[00:18:25.160 --> 00:18:31.160]   Marvelous, infinite, matchless grace,
